"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
YBR160W,CDC28,YDR052C,DBF4,Phosphorylation,,,,,
YBR160W,CDC28,YAL040C,CLN3,Phosphorylation,,,,,
YBR160W,CDC28,YHL007C,STE20,Phosphorylation,,,,,
YBR160W,CDC28,YJL187C,SWE1,Phosphorylation,,,,,
YBR160W,CDC28,YER111C,SWI4,Phosphorylation,,,,,
YBR160W,CDC28,YDR146C,SWI5,Phosphorylation,,,,,
YBR160W,CDC28,YLR182W,SWI6,Phosphorylation,,,,,
YBR160W,CDC28,YGR186W,TFG1,Phosphorylation,,,,,
YBR160W,CDC28,YLR183C,TOS4,Phosphorylation,,,,,
YBR160W,CDC28,YLR386W,VAC14,Phosphorylation,,,,,
YBR160W,CDC28,YNL054W,VAC7,Phosphorylation,,,,,
YBR160W,CDC28,YIL056W,VHR1,Phosphorylation,,,,,
YBR160W,CDC28,YOR083W,WHI5,Phosphorylation,,,,,
YBR160W,CDC28,YDL025C,YDL025C,Phosphorylation,,,,,
YBR160W,CDC28,YDR130C,FIN1,Phosphorylation,,,,,
YBR160W,CDC28,YNR047W,YNR047W,Phosphorylation,,,,,
YMR001C,CDC5,YJR053W,BFA1,Phosphorylation,,,,,
YMR001C,CDC5,YMR055C,BUB2,Phosphorylation,,,,,
YMR001C,CDC5,YFR028C,CDC14,Phosphorylation,,,,,
YMR001C,CDC5,YAL024C,LTE1,Phosphorylation,,,,,
YMR001C,CDC5,YJL013C,MAD3,Phosphorylation,,,,,
YMR001C,CDC5,YJL076W,NET1,Phosphorylation,,,,,
YMR001C,CDC5,YJL187C,SWE1,Phosphorylation,,,,,
YDL017W,CDC7,YLR103C,CDC45,Phosphorylation,,,,,
YDL017W,CDC7,YBL023C,MCM2,Phosphorylation,,,,,
YDL017W,CDC7,YEL032W,MCM3,Phosphorylation,,,,,
YDL017W,CDC7,YPR019W,MCM4,Phosphorylation,,,,,
YDL017W,CDC7,YGL201C,MCM6,Phosphorylation,,,,,
YDL017W,CDC7,YBR060C,ORC2,Phosphorylation,,,,,
YDL017W,CDC7,YHR118C,ORC6,Phosphorylation,,,,,
YDL017W,CDC7,YIR008C,PRI1,Phosphorylation,,,,,
YDL017W,CDC7,YDR052C,DBF4,Phosphorylation,,,,,
YDL017W,CDC7,YNL312W,RFA2,Phosphorylation,,,,,
YBR274W,CHK1,YDR113C,PDS1,Phosphorylation,,,,,
YIL035C,CKA1,YKL112W,ABF1,Phosphorylation,,,,,
YIL035C,CKA1,YBR160W,CDC28,Phosphorylation,,,,,
YIL035C,CKA1,YKL160W,ELF1,Phosphorylation,,,,,
YIL035C,CKA1,YJR093C,FIP1,Phosphorylation,,,,,
YIL035C,CKA1,YDR043C,NRG1,Phosphorylation,,,,,
YIL035C,CKA1,YHL020C,OPI1,Phosphorylation,,,,,
YIL035C,CKA1,YER089C,PTC2,Phosphorylation,,,,,
YIL035C,CKA1,YDL081C,RPP1A,Phosphorylation,,,,,
YIL035C,CKA1,YDL130W,RPP1B,Phosphorylation,,,,,
YIL035C,CKA1,YOL039W,RPP2A,Phosphorylation,,,,,
YIL035C,CKA1,YDR382W,RPP2B,Phosphorylation,,,,,
YIL035C,CKA1,YLR079W,SIC1,Phosphorylation,,,,,
YIL035C,CKA1,YNL189W,SRP1,Phosphorylation,,,,,
YIL035C,CKA1,YKR092C,SRP40,Phosphorylation,,,,,
YIL035C,CKA1,YJR007W,SUI2,Phosphorylation,,,,,
YIL035C,CKA1,YPR041W,TIF5,Phosphorylation,,,,,
YIL035C,CKA1,YNL088W,TOP2,Phosphorylation,,,,,
YOR061W,CKA2,YKL112W,ABF1,Phosphorylation,,,,,
YOR061W,CKA2,YBR160W,CDC28,Phosphorylation,,,,,
YOR061W,CKA2,YKL160W,ELF1,Phosphorylation,,,,,
YOR061W,CKA2,YER089C,PTC2,Phosphorylation,,,,,
YOR061W,CKA2,YJR093C,FIP1,Phosphorylation,,,,,
YOR061W,CKA2,YML074C,FPR3,Phosphorylation,,,,,
YOR061W,CKA2,YHL020C,OPI1,Phosphorylation,,,,,
YOR061W,CKA2,YDL081C,RPP1A,Phosphorylation,,,,,
YOR061W,CKA2,YDL130W,RPP1B,Phosphorylation,,,,,
YOR061W,CKA2,YOL039W,RPP2A,Phosphorylation,,,,,
YOR061W,CKA2,YDR382W,RPP2B,Phosphorylation,,,,,
YOR061W,CKA2,YLR079W,SIC1,Phosphorylation,,,,,
YOR061W,CKA2,YNL189W,SRP1,Phosphorylation,,,,,
YOR061W,CKA2,YKR092C,SRP40,Phosphorylation,,,,,
YOR061W,CKA2,YJR007W,SUI2,Phosphorylation,,,,,
YOR061W,CKA2,YBR143C,SUP45,Phosphorylation,,,,,
YOR061W,CKA2,YPR041W,TIF5,Phosphorylation,,,,,
YOR061W,CKA2,YNL088W,TOP2,Phosphorylation,,,,,
