"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
YDR477W,SNF1,YMR037C,MSN2,Phosphorylation,,,,,
YDR477W,SNF1,YDR028C,REG1,Phosphorylation,,,,,
YDR477W,SNF1,YGL208W,SIP2,Phosphorylation,,,,,
YDR477W,SNF1,YFL021W,GAT1,Phosphorylation,,,,,
YDR477W,SNF1,YPL133C,RDS2,Phosphorylation,,,,,
YDR477W,SNF1,YDR422C,SIP1,Phosphorylation,,,,,
YDR477W,SNF1,YJL089W,SIP4,Phosphorylation,,,,,
YNR031C,SSK2,YJL128C,PBS2,Phosphorylation,,,,,
YCR073C,SSK22,YJL128C,PBS2,Phosphorylation,,,,,
YPL042C,SSN3,YPL248C,GAL4,Phosphorylation,,,,,
YPL042C,SSN3,YEL009C,GCN4,Phosphorylation,,,,,
YPL042C,SSN3,YDL005C,MED2,Phosphorylation,,,,,
YPL042C,SSN3,YMR037C,MSN2,Phosphorylation,,,,,
YPL042C,SSN3,YJL089W,SIP4,Phosphorylation,,,,,
YPL042C,SSN3,YHR084W,STE12,Phosphorylation,,,,,
YLR362W,STE11,YJL128C,PBS2,Phosphorylation,,,,,
YLR362W,STE11,YDL159W,STE7,Phosphorylation,,,,,
YHL007C,STE20,YDR224C,HTB1,Phosphorylation,,,,,
YHL007C,STE20,YBL002W,HTB2,Phosphorylation,,,,,
YHL007C,STE20,YKL129C,MYO3,Phosphorylation,,,,,
YHL007C,STE20,YLR362W,STE11,Phosphorylation,,,,,
YDL159W,STE7,YBL016W,FUS3,Phosphorylation,,,,,
YDL159W,STE7,YGR040W,KSS1,Phosphorylation,,,,,
YJL187C,SWE1,YBR160W,CDC28,Phosphorylation,,,,,
YBL088C,TEL1,YDL101C,DUN1,Phosphorylation,,,,,
YBL088C,TEL1,YMR224C,MRE11,Phosphorylation,,,,,
YBL088C,TEL1,YBL051C,PIN4,Phosphorylation,,,,,
YBL088C,TEL1,YPL153C,RAD53,Phosphorylation,,,,,
YBL088C,TEL1,YAR007C,RFA1,Phosphorylation,,,,,
YBL088C,TEL1,YNL312W,RFA2,Phosphorylation,,,,,
YBL088C,TEL1,YGL175C,SAE2,Phosphorylation,,,,,
YBL088C,TEL1,YDR369C,XRS2,Phosphorylation,,,,,
YJR066W,TOR1,YPR185W,APG13,Phosphorylation,,,,,
YJR066W,TOR1,YDR283C,GCN2,Phosphorylation,,,,,
YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,,,
YKL203C,TOR2,YBL105C,PKC1,Phosphorylation,,,,,
YKL203C,TOR2,YMR028W,TAP42,Phosphorylation,,,,,
YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,,,
YKL203C,TOR2,YMR104C,YPK2,Phosphorylation,,,,,
YGL179C,TOS3,YER027C,GAL83,Phosphorylation,,,,,
YGL179C,TOS3,YGL208W,SIP2,Phosphorylation,,,,,
YGL179C,TOS3,YDR477W,SNF1,Phosphorylation,,,,,
YJL164C,TPK1,YMR072W,ABF2,Phosphorylation,,,,,
YJL164C,TPK1,YDR216W,ADR1,Phosphorylation,,,,,
YJL164C,TPK1,YGL180W,ATG1,Phosphorylation,,,,,
YJL164C,TPK1,YIL033C,BCY1,Phosphorylation,,,,,
YJL164C,TPK1,YAL038W,CDC19,Phosphorylation,,,,,
YJL164C,TPK1,YGL116W,CDC20,Phosphorylation,,,,,
YJL164C,TPK1,YLR310C,CDC25,Phosphorylation,,,,,
YJL164C,TPK1,YLR133W,CKI1,Phosphorylation,,,,,
YJL164C,TPK1,YNL027W,CRZ1,Phosphorylation,,,,,
YJL164C,TPK1,YLR377C,FBP1,Phosphorylation,,,,,
YJL164C,TPK1,YJL155C,FBP26,Phosphorylation,,,,,
YJL164C,TPK1,YGL181W,GTS1,Phosphorylation,,,,,
YJL164C,TPK1,YMR037C,MSN2,Phosphorylation,,,,,
YJL164C,TPK1,YHL020C,OPI1,Phosphorylation,,,,,
YJL164C,TPK1,YGL248W,PDE1,Phosphorylation,,,,,
YJL164C,TPK1,YMR205C,"PFK2 ",Phosphorylation,,,,,
YJL164C,TPK1,YIL107C,PFK26,Phosphorylation,,,,,
YJL164C,TPK1,YOR347C,PYK2,Phosphorylation,,,,,
YJL164C,TPK1,YKL038W,RGT1,Phosphorylation,,,,,
YJL164C,TPK1,YFL033C,RIM15,Phosphorylation,,,,,
YJL164C,TPK1,YMR016C,SOK2,Phosphorylation,,,,,
YJL164C,TPK1,YPL232W,SSO1,Phosphorylation,,,,,
YJL164C,TPK1,YLL028W,TPO1,Phosphorylation,,,,,
YJL164C,TPK1,YJL141C,YAK1,Phosphorylation,,,,,
YJL164C,TPK1,YBR028C,YBR028C,Phosphorylation,,,,,
YPL203W,TPK2,YMR072W,ABF2,Phosphorylation,,,,,
YPL203W,TPK2,YGL180W,ATG1,Phosphorylation,,,,,
YPL203W,TPK2,YAL038W,CDC19,Phosphorylation,,,,,
YPL203W,TPK2,YGL116W,CDC20,Phosphorylation,,,,,
YPL203W,TPK2,YLR377C,FBP1,Phosphorylation,,,,,
YPL203W,TPK2,YJL155C,FBP26,Phosphorylation,,,,,
YPL203W,TPK2,YER109C,FLO8,Phosphorylation,,,,,
YPL203W,TPK2,YGL181W,GTS1,Phosphorylation,,,,,
YPL203W,TPK2,YMR037C,MSN2,Phosphorylation,,,,,
YPL203W,TPK2,YHL020C,OPI1,Phosphorylation,,,,,
YPL203W,TPK2,YMR205C,PFK2,Phosphorylation,,,,,
YPL203W,TPK2,YIL107C,PFK26,Phosphorylation,,,,,
YPL203W,TPK2,YKL038W,RGT1,Phosphorylation,,,,,
YPL203W,TPK2,YFL033C,RIM15,Phosphorylation,,,,,
YPL203W,TPK2,YOR140W,SFL1,Phosphorylation,,,,,
YPL203W,TPK2,YMR016C,SOK2,Phosphorylation,,,,,
YPL203W,TPK2,YLL028W,TPO1,Phosphorylation,,,,,
YPL203W,TPK2,YJL141C,YAK1,Phosphorylation,,,,,
YPL203W,TPK2,YBR028C,YBR028C,Phosphorylation,,,,,
YKL166C,TPK3,YMR072W,ABF2,Phosphorylation,,,,,
YKL166C,TPK3,YGL180W,ATG1,Phosphorylation,,,,,
YKL166C,TPK3,YAL038W,CDC19,Phosphorylation,,,,,
YKL166C,TPK3,YGL116W,CDC20,Phosphorylation,,,,,
YKL166C,TPK3,YNL027W,CRZ1,Phosphorylation,,,,,
YKL166C,TPK3,YLR377C,FBP1,Phosphorylation,,,,,
YKL166C,TPK3,YJL155C,FBP26,Phosphorylation,,,,,
YKL166C,TPK3,YGL181W,GTS1,Phosphorylation,,,,,
YKL166C,TPK3,YMR037C,MSN2,Phosphorylation,,,,,
YKL166C,TPK3,YHL020C,OPI1,Phosphorylation,,,,,
YKL166C,TPK3,YMR205C,PFK2,Phosphorylation,,,,,
YKL166C,TPK3,YIL107C,PFK26,Phosphorylation,,,,,
YKL166C,TPK3,YKL038W,RGT1,Phosphorylation,,,,,
YKL166C,TPK3,YFL033C,RIM15,Phosphorylation,,,,,
YKL166C,TPK3,YMR016C,SOK2,Phosphorylation,,,,,
YKL166C,TPK3,YJL141C,YAK1,Phosphorylation,,,,,
YKL166C,TPK3,YBR028C,YBR028C,Phosphorylation,,,,,
YBR097W,VPS15,YLR240W,VPS34,Phosphorylation,,,,,
YJL141C,YAK1,YIL033C,BCY1,Phosphorylation,,,,,
YJL141C,YAK1,YLR270W,DCS1,Phosphorylation,,,,,
YJL141C,YAK1,YNR052C,POP2,Phosphorylation,,,,,
YHR135C,YCK1,YBR021W,FUR4,Phosphorylation,,,,,
YHR135C,YCK1,YDR208W,MSS4,Phosphorylation,,,,,
YHR135C,YCK1,YDR277C,MTH1,Phosphorylation,,,,,
YHR135C,YCK1,YOR153W,PDR5,Phosphorylation,,,,,
YHR135C,YCK1,YKL178C,STE3,Phosphorylation,,,,,
YHR135C,YCK1,YGL008C,PMA1,Phosphorylation,,,,,
YHR135C,YCK1,YAL030W,SNC1,Phosphorylation,,,,,
YHR135C,YCK1,YOR047C,STD1,Phosphorylation,,,,,
YHR135C,YCK1,YDR463W,STP1,Phosphorylation,,,,,
YHR135C,YCK1,YJL156C,SSY5,Phosphorylation,,,,,
YHR135C,YCK1,MAL61,MAL61,Phosphorylation,,,,,
YHR135C,YCK1,YCL032W,STE50,Phosphorylation,,,,,
YHR135C,YCK1,YJR007W,SUI2,Phosphorylation,,,,,
YHR135C,YCK1,YLL028W,TPO1,Phosphorylation,,,,,
YNL154C,YCK2,YBR021W,FUR4,Phosphorylation,,,,,
YNL154C,YCK2,YDR208W,MSS4,Phosphorylation,,,,,
YNL154C,YCK2,YDR277C,MTH1,Phosphorylation,,,,,
YNL154C,YCK2,YCL032W,STE50,Phosphorylation,,,,,
YNL154C,YCK2,YOR153W,PDR5,Phosphorylation,,,,,
YNL154C,YCK2,YGL008C,PMA1,Phosphorylation,,,,,
YNL154C,YCK2,YAL030W,SNC1,Phosphorylation,,,,,
YNL154C,YCK2,YOR119C,RIO1,Phosphorylation,,,,,
YNL154C,YCK2,YDR463W,STP1,Phosphorylation,,,,,
YNL154C,YCK2,YKR048C,NAP1,Phosphorylation,,,,,
YNL154C,YCK2,MAL61,MAL61,Phosphorylation,,,,,
YNL154C,YCK2,YJL156C,SSY5,Phosphorylation,,,,,
YNL154C,YCK2,YOR047C,STD1,Phosphorylation,,,,,
YNL154C,YCK2,YKL178C,STE3,Phosphorylation,,,,,
YNL154C,YCK2,YJR007W,SUI2,Phosphorylation,,,,,
YER123W,YCK3,YJR007W,SUI2,Phosphorylation,,,,,
YER123W,YCK3,YDR080W,VPS41,Phosphorylation,,,,,
YOL128C,YGK3,YIL033C,BCY1,Phosphorylation,,,,,
YOL128C,YGK3,YGL144C,ROG1,Phosphorylation,,,,,
YOL128C,YGK3,YHR030C,SLT2,Phosphorylation,,,,,
YMR291W,YMR291W,YML058W,SML1,Phosphorylation,,,,,
YKL126W,YPK1,YMR109W,MYO5,Phosphorylation,,,,,
YKL126W,YPK1,YHR030C,SLT2,Phosphorylation,,,,,
YMR104C,YPK2,YMR109W,MYO5,Phosphorylation,,,,,
PKP1,PKP1,YER178W,PDA1,Phosphorylation,,,,,
"Known phosphatase-substrate relationships",,,,,,,,,
Phosphatase,,Substrate,,"Type of interaction",,,,,
"ORF name","Gene name","ORF name","Gene name",,,,,,
YML057W,CMP2,YKL101W,HSL1,Dephosphorylation,,,,,
YML057W,CMP2,YNL027W,CRZ1,Dephosphorylation,,,,,
YML057W,CMP2,YIL105C,SLM1,Dephosphorylation,,,,,
YML057W,CMP2,YNL047C,SLM2,Dephosphorylation,,,,,
YML057W,CMP2,YML007W,YAP1,Dephosphorylation,,,,,
YML057W,CMP2,YDR184C,ATC1,Dephosphorylation,,,,,
YML057W,CMP2,YOR324C,FRT1,Dephosphorylation,,,,,
YML057W,CMP2,YDR184C,LIC4,Dephosphorylation,,,,,
YLR433C,CNA1,YKL101W,HSL1,Dephosphorylation,,,,,
YLR433C,CNA1,YNL027W,CRZ1,Dephosphorylation,,,,,
YLR433C,CNA1,YIL105C,SLM1,Dephosphorylation,,,,,
YLR433C,CNA1,YNL047C,SLM2,Dephosphorylation,,,,,
YLR433C,CNA1,YML007W,YAP1,Dephosphorylation,,,,,
YLR433C,CNA1,YDR184C,ATC1,Dephosphorylation,,,,,
YLR433C,CNA1,YOR324C,FRT1,Dephosphorylation,,,,,
YLR433C,CNA1,YDR184C,LIC4,Dephosphorylation,,,,,
YMR277W,FCP1,YDL140C,RPO21,Dephosphorylation,,,,,
YER133W,GLC7,YMR037C,MSN2,Dephosphorylation,,,,,
YER133W,GLC7,YLR258W,GSY2,Dephosphorylation,,,,,
YER133W,GLC7,YFR015C,GSY1,Dephosphorylation,,,,,
YER133W,GLC7,YGL253W,HXK2,Dephosphorylation,,,,,
YER133W,GLC7,YBR010W,HHT1,Dephosphorylation,,,,,
YER133W,GLC7,YNL031C,HHT2,Dephosphorylation,,,,,
YER133W,GLC7,YDR432W,NPL3,Dephosphorylation,,,,,
YER133W,GLC7,YIR006C,PAN1,Dephosphorylation,,,,,
YER133W,GLC7,YGL035C,MIG1,Dephosphorylation,,,,,
YER133W,GLC7,YBL007C,SLA1,Dephosphorylation,,,,,
YER133W,GLC7,YOR058C,ASE1,Dephosphorylation,,,,,
YER133W,GLC7,YDR477W,SNF1,Dephosphorylation,,,,,
YER133W,GLC7,YLR259C,HSP60,Dephosphorylation,,,,,
YER133W,GLC7,YGR113W,DAM1,Dephosphorylation,,,,,
YER133W,GLC7,YLR263W,RED1,Dephosphorylation,,,,,
YER133W,GLC7,YDR028C,REG1,Dephosphorylation,,,,,
YER133W,GLC7,YDR422C,SIP1,Dephosphorylation,,,,,
YER133W,GLC7,YGR140W,CBF2,Dephosphorylation,,,,,
YDL134C,PPH21,YJL155C,FBP26,Dephosphorylation,,,,,
YDL134C,PPH21,YDR283C,GCN2,Dephosphorylation,,,,,
YDL134C,PPH21,YPR007C,SPO69,Dephosphorylation,,,,,
YDL134C,PPH21,YDR005C,MAF1,Dephosphorylation,,,,,
YDL134C,PPH21,YDL225W,SHS1,Dephosphorylation,,,,,
YDL134C,PPH21,YML064C,TEM1,Dephosphorylation,,,,,
YDL134C,PPH21,YMR032W,HOF1,Dephosphorylation,,,,,
YDL134C,PPH21,YBR160W,CDC28,Dephosphorylation,,,,,
YDL188C,PPH22,YJL155C,FBP26,Dephosphorylation,,,,,
YDL188C,PPH22,YDR283C,GCN2,Dephosphorylation,,,,,
YDL188C,PPH22,YPR007C,SPO69,Dephosphorylation,,,,,
YDL188C,PPH22,YDR005C,MAF1,Dephosphorylation,,,,,
YDL188C,PPH22,YDL225W,SHS1,Dephosphorylation,,,,,
YDL188C,PPH22,YML064C,TEM1,Dephosphorylation,,,,,
YDL188C,PPH22,YMR032W,HOF1,Dephosphorylation,,,,,
YDL188C,PPH22,YBR160W,CDC28,Dephosphorylation,,,,,
YDR075W,PPH3,YDR225W,HTA1,Dephosphorylation,,,,,
YGR123C,PPT1,YPL240C,HSP82,Dephosphorylation,,,,,
YML016C,PPZ1,YJL129C,TRK1,Dephosphorylation,,,,,
YML016C,PPZ1,YDR028C,REG1,Dephosphorylation,,,,,
YML016C,PPZ1,YHR030C,SLT2,Dephosphorylation,,,,,
YDR436W,PPZ2,YJL129C,TRK1,Dephosphorylation,,,,,
YDR436W,PPZ2,YHR030C,SLT2,Dephosphorylation,,,,,
YLL010C,PSR1,YMR037C,MSN2,Dephosphorylation,,,,,
YLR019W,PSR2,YMR037C,MSN2,Dephosphorylation,,,,,
YDL006W,PTC1,YLR113W,HOG1,Dephosphorylation,,,,,
YDL006W,PTC1,YHR030C,SLT2,Dephosphorylation,,,,,
YER089C,PTC2,YBR160W,CDC28,Dephosphorylation,,,,,
YER089C,PTC2,YLR113W,HOG1,Dephosphorylation,,,,,
YER089C,PTC2,YPL153C,RAD53,Dephosphorylation,,,,,
YER089C,PTC2,YDR217C,RAD9,Dephosphorylation,,,,,
YER089C,PTC2,YHR079C,IRE1,Dephosphorylation,,,,,
YBL056W,PTC3,YBR160W,CDC28,Dephosphorylation,,,,,
YBR125C,PTC4,YLR113W,HOG1,Dephosphorylation,,,,,
YOR090C,PTC5,YBR160W,CDC28,Dephosphorylation,,,,,
YDL047W,SIT4,YER040W,GLN3,Dephosphorylation,,,,,
YDL047W,SIT4,YPR040W,SDF1,Dephosphorylation,,,,,
YDL047W,SIT4,YHR030C,SLT2,Dephosphorylation,,,,,
YDL047W,SIT4,YDR283C,GCN2,Dephosphorylation,,,,,
YDL047W,SIT4,YLR384C,IKI3,Dephosphorylation,,,,,
YDL047W,SIT4,YPL232W,SSO1,Dephosphorylation,,,,,
YDL047W,SIT4,YMR183C,SSO2,Dephosphorylation,,,,,
YDL047W,SIT4,YNL183C,NPR1,Dephosphorylation,,,,,
YDL047W,SIT4,YFR040W,SAP155,Dephosphorylation,,,,,
YDL047W,SIT4,YJL098W,SAP185,Dephosphorylation,,,,,
YDL047W,SIT4,YKR028W,SAP190,Dephosphorylation,,,,,
YDL047W,SIT4,YLR442C,SIR3,Dephosphorylation,,,,,
YNL222W,SSU72,YDL140C,RPO21,Dephosphorylation,,,,,
YFR028C,CDC14,YAR019C,CDC15,Dephosphorylation,,,,,
YFR028C,CDC14,YJR053W,BFA1,Dephosphorylation,,,,,
YFR028C,CDC14,YAL024C,LTE1,Dephosphorylation,,,,,
YFR028C,CDC14,YBR156C,SLI15,Dephosphorylation,,,,,
YFR028C,CDC14,YLR182W,SWI6,Dephosphorylation,,,,,
YFR028C,CDC14,YDR146C,SWI5,Dephosphorylation,,,,,
YFR028C,CDC14,YLR079W,SIC1,Dephosphorylation,,,,,
YFR028C,CDC14,YJL076W,NET1,Dephosphorylation,,,,,
YFR028C,CDC14,YGL003C,CDH1,Dephosphorylation,,,,,
YFR028C,CDC14,YBL035C,POL12,Dephosphorylation,,,,,
YFR028C,CDC14,YBR060C,ORC2,Dephosphorylation,,,,,
YFR028C,CDC14,YHR118C,ORC6,Dephosphorylation,,,,,
YFR028C,CDC14,YPR119W,CLB2,Dephosphorylation,,,,,
YFR028C,CDC14,YOR058C,ASE1,Dephosphorylation,,,,,
YFR028C,CDC14,YDR130C,FIN1,Dephosphorylation,,,,,
YFR028C,CDC14,YKL108W,SLD2,Dephosphorylation,,,,,
YFR028C,CDC14,YNL112W,DBP2,Dephosphorylation,,,,,
YNL053W,MSG5,YBL016W,FUS3,Dephosphorylation,,,,,
YNL053W,MSG5,YHR030C,SLT2,Dephosphorylation,,,,,
YIL113W,SDP1,YHR030C,SLT2,Dephosphorylation,,,,,
YPR073C,LTP1,YML074C,FPR3,Dephosphorylation,,,,,
YMR036C,MIH1,YBR160W,CDC28,Dephosphorylation,,,,,
YOR208W,PTP2,YLR113W,HOG1,Dephosphorylation,,,,,
YOR208W,PTP2,YBL016W,FUS3,Dephosphorylation,,,,,
YOR208W,PTP2,YHR030C,SLT2,Dephosphorylation,,,,,
YOR208W,PTP2,YNL307C,MCK1,Dephosphorylation,,,,,
YER075C,PTP3,YLR113W,HOG1,Dephosphorylation,,,,,
YER075C,PTP3,YBL016W,FUS3,Dephosphorylation,,,,,
YER075C,PTP3,YHR030C,SLT2,Dephosphorylation,,,,,
YER075C,PTP3,YNL307C,MCK1,Dephosphorylation,,,,,
"Phosphorylation events that are known to depend on a kinase regulatory protein. The kinase regulatory protein (column A/B) associates with the kinase (columnC/D) to phosphorylate the substrate (column E/F)",,,,,,,,,
Regulator,,Kinase,,Substrate,,"Type of interaction",,,
"ORF name","Gene name","ORF name","Gene name","ORF name","Gene name",,,,
YGL019W,CKB1,YIL035C,CKA1,YBR160W,CDC28,Phosphorylation,,,
YGL019W,CKB1,YIL035C,CKA1,YNL189W,SRP1,Phosphorylation,,,
YGL019W,CKB1,YIL035C,CKA1,YNL088W,TOP2,Phosphorylation,,,
YGL019W,CKB1,YIL035C,CKA1,YPR041W,TIF5,Phosphorylation,,,
YGL019W,CKB1,YIL035C,CKA1,YKL160W,ELF1,Phosphorylation,,,
YGL019W,CKB1,YIL035C,CKA1,YJR007W,SUI2,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YBR160W,CDC28,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YNL189W,SRP1,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YNL088W,TOP2,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YPR041W,TIF5,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YKL160W,ELF1,Phosphorylation,,,
YGL019W,CKB1,YOR061W,CKA2,YJR007W,SUI2,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YBR160W,CDC28,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YNL189W,SRP1,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YNL088W,TOP2,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YPR041W,TIF5,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YKL160W,ELF1,Phosphorylation,,,
YOR039W,CKB2,YIL035C,CKA1,YJR007W,SUI2,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YBR160W,CDC28,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YNL189W,SRP1,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YNL088W,TOP2,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YPR041W,TIF5,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YKL160W,ELF1,Phosphorylation,,,
YOR039W,CKB2,YOR061W,CKA2,YJR007W,SUI2,Phosphorylation,,,
YBR135W,CKS1,YBR160W,CDC28,YJL092W,HPR5,Phosphorylation,,,
YBR135W,CKS1,YBR160W,CDC28,YLR079W,SIC1,Phosphorylation,,,
YJL006C,CTK2,YKL139W,CTK1,YDL140C,RPO21,Phosphorylation,,,
YML112W,CTK3,YKL139W,CTK1,YDL140C,RPO21,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YLR103C,CDC45,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YDL017W,CDC7,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YDR052C,DBF4,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YMR043W,MCM1,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YBL023C,MCM2,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YEL032W,MCM3,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YPR019W,MCM4,Phosphorylation,,,
YDR052C,DBF4,YDL017W,CDC7,YGL201C,MCM6,Phosphorylation,,,
YER027C,GAL83,YDR477W,SNF1,YJL089W,SIP4,Phosphorylation,,,
YER027C,GAL83,YDR477W,SNF1,YGL035C,MIG1,Phosphorylation,,,
YGL208W,SIP2,YDR477W,SNF1,YGL035C,MIG1,Phosphorylation,,,
YCL032W,STE50,YLR362W,STE11,YDL159W,STE7,Phosphorylation,,,
YCL032W,STE50,YLR362W,STE11,YJL128C,PBS2,Phosphorylation,,,
YNL006W,LST8,YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,
YNL006W,LST8,YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,
YOL078W,AVO1,YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,
YOL078W,AVO1,YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,
YMR068W,AVO2,YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,
YMR068W,AVO2,YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,
YER093C,TSC11,YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,
YER093C,TSC11,YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,
YJL058C,BIT61,YKL203C,TOR2,YOL078W,AVO1,Phosphorylation,,,
YJL058C,BIT61,YKL203C,TOR2,YER093C,TSC11,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YLR314C,CDC3,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YJL157C,FAR1,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YAL041W,CDC24,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YKL042W,SPC42,Phosphorylation,,,
YMR199W,CLN1,YBR160W,CDC28,YJL187C,SWE1,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YLR079W,SIC1,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YLR314C,CDC3,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YHL007C,STE20,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YJL157C,FAR1,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YOR083W,WHI5,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YAL041W,CDC24,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YDR103W,STE5,Phosphorylation,,,
YPL256C,CLN2,YBR160W,CDC28,YKL042W,SPC42,Phosphorylation,,,
YGR108W,CLB1,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YGR108W,CLB1,YBR160W,CDC28,YHR118C,ORC6,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YLR314C,CDC3,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YJL076W,NET1,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YNL068C,FKH2,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YEL032W,MCM3,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YJL187C,SWE1,Phosphorylation,,,
YPR119W,CLB2,YBR160W,CDC28,YKL042W,SPC42,Phosphorylation,,,
YDL155W,CLB3,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YDL155W,CLB3,YBR160W,CDC28,YPL269W,KAR9,Phosphorylation,,,
YDL155W,CLB3,YBR160W,CDC28,YMR165C,SMP2,Phosphorylation,,,
YLR210W,CLB4,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YLR210W,CLB4,YBR160W,CDC28,YPL269W,KAR9,Phosphorylation,,,
YLR210W,CLB4,YBR160W,CDC28,YMR165C,SMP2,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YDR130C,FIN1,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YKL108W,SLD2,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YJL194W,CDC6,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YHR118C,ORC6,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YEL032W,MCM3,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YGL003C,CDH1,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YKL042W,SPC42,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YPL269W,KAR9,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YJL187C,SWE1,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YDR356W,SPC110,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YNL068C,FKH2,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YLR079W,SIC1,Phosphorylation,,,
YPR120C,CLB5,YBR160W,CDC28,YOR083W,WHI5,Phosphorylation,,,
YGR109C,CLB6,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YGR109C,CLB6,YBR160W,CDC28,YLR182W,SWI6,Phosphorylation,,,
YAL040C,CLN3,YBR160W,CDC28,YLR314C,CDC3,Phosphorylation,,,
YAL040C,CLN3,YBR160W,CDC28,YAL024C,LTE1,Phosphorylation,,,
YAL040C,CLN3,YBR160W,CDC28,YOR083W,WHI5,Phosphorylation,,,
YAL040C,CLN3,YBR160W,CDC28,YJL157C,FAR1,Phosphorylation,,,
YAL040C,CLN3,YBR160W,CDC28,YBR200W,BEM1,Phosphorylation,,,
YPR025C,CCL1,YDL108W,KIN28,YDL140C,RPO21,Phosphorylation,,,
YNL025C,SSN8,YPL042C,SSN3,YHR084W,STE12,Phosphorylation,,,
