"List of most positive genetic interactions between proteins phosphatases and protein kinases.",,,,,,,,,,
"The kinase of interest (column A/B) is followed by the most positive genetic interaction score it has with a protein phosphatase (score: column C, kinase: column D/E), then the second most higherst score, then the third most highest score.",,,,,,,,,,
"Protein kinases","Protein kinase","highest score","highest score","highest score",2nd,2nd,2nd,3rd,3rd,3rd
ORF,"Gene name",score,ORF,gene,score,ORF,gene,score,ORF,gene
YDL025C,YDL025C,1.1917,YML016C,PPZ1,1.08,YNL099C,OCA1,0.7457,YKL190W,CNB1
YDL079C,MRK1,1.4153,YGL190C,CDC55,1.3546,YDL188C,PPH22,1.3075,YIL113W,SDP1
YDL101C,DUN1,1.9905,YLR433C,CNA1,1.7375,YBL046W,PSY4,1.5625,YAR014C,BUD14
YDL108W,KIN28,2.7321,YDL006W,PTC1,1.1186,YJL083W,TAX4,1.015,YML016C,PPZ1
YDL214C,PRR2,1.4369,YDR475C,JIP4,1.2685,YOR090C,PTC5,1.1332,YMR120C,ADE17
YDR122W,KIN1,1.7887,YIL153W,RRD1,1.3861,YDL047W,SIT4,1.2853,YPL152W,RRD2
YDR247W,VHS1,3.8342,YGL190C,CDC55,1.9968,YML109W,ZDS2,1.5875,YPL152W,RRD2
YDR283C,GCN2,3.1423,YNL032W,SIW14,2.9359,YBR126C,TPS1,2.9247,YCR095C,YCR095C
YDR466W,PKH3,2.8083,YBR276C,PPS1,1.5698,YIL153W,RRD1,1.4763,YKL190W,CNB1
YDR477W,SNF1,3.4831,YDL047W,SIT4,3.3166,YIL153W,RRD1,2.3573,YDR028C,REG1
YDR490C,PKH1,1.7537,YMR261C,TPS3,1.2898,YER134C,YER134C,1.0513,YDR075W,PPH3
YDR507C,GIN4,1.2695,YER134C,YER134C,1.1847,YGR161C,RTS3,1.1416,YIR026C,YVH1
YDR523C,SPS1,1.2491,YLR019W,PSR2,1.1781,YNL053W,MSG5,1.0284,YDL230W,PTP1
YER123W,YCK3,1.9394,YDR028C,REG1,1.6205,YDL047W,SIT4,1.4722,YOR014W,RTS1
YER129W,SAK1,2.7196,YDR028C,REG1,1.2388,YDR475C,JIP4,1.0926,YML016C,PPZ1
YFL029C,CAK1,4.2686,YDR028C,REG1,3.0086,YBR126C,TPS1,2.9755,YML100W,TSL1
YFL033C,RIM15,1.6503,YER134C,YER134C,1.584,YGR161C,RTS3,1.5713,YNL053W,MSG5
YFR014C,CMK1,2.2114,YGL190C,CDC55,2.107,YNL201C,PSY2,1.3964,YBR125C,PTC4
YGL021W,ALK1,1.9597,YER134C,YER134C,1.5623,YMR273C,ZDS1,1.2919,YHR075C,PPE1
YGL059W,YGL059W,1.424,YDR475C,JIP4,0.9476,YNL053W,MSG5,0.8971,YNL233W,BNI4
YGL083W,SCY1,3.3923,YDL047W,SIT4,1.4162,YPL228W,CET1,1.2945,YMR036C,MIH1
YGL158W,RCK1,1.6518,YNL099C,OCA1,1.3764,YGR161C,RTS3,1.2016,YPR073C,LTP1
YGL179C,TOS3,2.0939,YBR125C,PTC4,1.6856,YDR028C,REG1,1.4445,YJL083W,TAX4
YGL180W,ATG1,2.3008,YPL228W,CET1,2.0974,YML057W,CMP2,1.56,YNL056W,YNL056W
YGR040W,KSS1,3.155,YGL190C,CDC55,1.6038,YDL134C,PPH21,1.4573,YML109W,ZDS2
YGR052W,FMP48,2.7105,YDL006W,PTC1,1.3267,YBR276C,PPS1,1.1959,YGL190C,CDC55
YGR080W,TWF1,3.1084,YGL190C,CDC55,1.261,YOR227W,YOR227W,1.2058,YML016C,PPZ1
YGR092W,DBF2,3.5036,YAR014C,BUD14,1.4939,YDL134C,PPH21,1.3052,YMR261C,TPS3
YGR188C,BUB1,3.5252,YDL006W,PTC1,3.4553,YLR433C,CNA1,3.3172,YMR273C,ZDS1
YHL007C,STE20,2.7012,YAR014C,BUD14,2.4818,YNL053W,MSG5,2.3794,YLR273C,PIG1
YHR030C,SLT2,2.1816,YNL099C,OCA1,1.2134,YLR019W,PSR2,1.2009,YDR028C,REG1
YHR079C,IRE1,1.5081,YNL053W,MSG5,1.0961,YNL099C,OCA1,1.0956,YKR028W,SAP190
YHR082C,KSP1,1.5347,YIL153W,RRD1,1.3741,YBR125C,PTC4,1.1646,YDR028C,REG1
