kinase	target
FRK1	URA8
FRK1	YJL051W
FRK1	YKR047W
FRK1	YLR301W
FRK1	YMR196W
FRK1	YOR155C
HSL1	ANB1
IKS1	ALA1
IPL1	ARP8
ISR1	ALA1
KCC4	ARP8
KIN1	AML1
HSL1	ARP8
IKS1	CDC11
IPL1	DOT5
ISR1	CDC11
KCC4	BUD4
KIN1	CKB1
HSL1	CDC13
IKS1	CLC1
IPL1	DRS1
ISR1	CRZ1
KCC4	CRZ1
KIN1	DJP1
HSL1	CDH1
IKS1	CPR7
IPL1	GRX3
ISR1	FRS1
KCC4	DRE2
KIN1	RDS2
HSL1	ECM31
IKS1	CSN9
IPL1	MPD1
ISR1	FYV11
KCC4	FRS1
KIN1	YIL165C
HSL1	HGH1
IKS1	CUP12
IPL1	RCK2
ISR1	GSF2
KCC4	GRX1
HSL1	LSC2
IKS1	DON1
IPL1	RNA1
ISR1	LEU4
KCC4	GRX3
HSL1	REV7
IKS1	EKI1
IPL1	RPL7A
ISR1	QRI1
KCC4	MFT1
HSL1	VMA13
IKS1	GYL1
IPL1	RRP5
ISR1	RIM11
KCC4	NNF1
HSL1	YDR521W
IKS1	IMH1
IPL1	SCT1
ISR1	RIM4
KCC4	NTA1
HSL1	YGL034C
IKS1	MLS1
IPL1	SPT8
ISR1	RNR4
KCC4	PRS1
HSL1	YGR017W
IKS1	NCB2
IPL1	TIF11
ISR1	STI1
KCC4	RAD23
HSL1	YGR168C
IKS1	NKP1
IPL1	VPS75
ISR1	TOM70
KCC4	RPC19
HSL1	YIG1
IKS1	NKP2
IPL1	YBL095W
ISR1	TRZ1
KCC4	RPP2B
HSL1	NSL1
IKS1	YCF1
IPL1	YDJ1
ISR1	RTT106
HSL1	NUP49
IKS1	YCR064C
IPL1	YGR210C
ISR1	SCT1
HSL1	NUT2
IKS1	YDL183C
IPL1	YJR154W
ISR1	SEC2
HSL1	PEX19
IKS1	YGR130C
IPL1	YKR018C
ISR1	SIP5
HSL1	QRI1
IKS1	YGR168C
IPL1	YPL077C
ISR1	SPT8
HSL1	RNR4
IKS1	YKL091C
IPL1	YPT7
ISR1	WWM1
HSL1	RPC19
IKS1	YPL150W
ISR1	YGR021W
HSL1	RPN2
ISR1	YJR097W
HSL1	RPP2B
ISR1	YKL091C
HSL1	RTR1
HSL1	SHE2
HSL1	SRB7
HSL1	STI1
HSL1	TCI1
HSL1	TOM70
HSL1	TPD3
HSL1	VTA1
HSL1	YGR043C
HSL1	YHB1
HSL1	YHR214C-C
HSL1	YJL019W
HSL1	YJR070C
HSL1	YLR287C
HSL1	YML045W-A
HSL1	YRR1
KIN2	ADE1
KIN28	ARP8
KIN3	RRD1
KIN82	ARG82
KKQ8	ABZ1
KSP1	ARP8
KIN2	ADE17
KIN28	AUT1
KIN82	HSV2
KKQ8	ALA1
KSP1	GSY2
KIN2	AML1
KIN28	BUD4
KIN82	SKY1
KKQ8	CDC11
KSP1	LSB3
KIN2	ARG82
KIN28	CCT6
KIN82	YEL028W
KKQ8	CSN9
KSP1	MFT1
KIN2	BUD4
KIN28	DRE2
KKQ8	FYV11
KSP1	PFK2
KIN2	CAR2
KIN28	DRS1
KKQ8	GLN1
KSP1	RNR4
KIN2	CRZ1
KIN28	FRS1
KKQ8	PTC1
KSP1	SEC2
KIN2	CVT19
KIN28	POL30
KKQ8	QRI1
KSP1	SPT8
