P	Target	Mode
YNL307C	YHR052W	kinase
YLL010C	YHR052W	phosphatase
YMR139W	YOR028C	kinase
YJL164C	YOR028C	kinase
YOR119C	YGL019W	kinase
YBL105C	YLR133W	kinase
YJL164C	YLR133W	kinase
YBR160W	YNL298W	kinase
YBR160W	YPL256C	kinase
YJR059W	YPL256C	kinase
YBR160W	YAL040C	kinase
YBR160W	YDL156W	kinase
YML057W	YLR003C	phosphatase
YBR160W	YNL225C	kinase
YDL028C	YFR046C	kinase
YPL153C	YDR304C	kinase
YDL134C	YLR429W	phosphatase
YJL164C	YNL027W	kinase
YBR160W	YPR030W	kinase
YPL153C	YPR135W	kinase
YFL029C	YKL139W	kinase
YKL139W	YML112W	kinase
YLL019C	YML101C	kinase
YOR231W	YOR042W	kinase
YHR082C	YOR042W	kinase
YBR160W	YOR042W	kinase
YPR119W	YOR042W	kinase
YBR136W	YBR112C	kinase
YBL088C	YBR112C	kinase
YLL019C	YBR112C	kinase
YBR136W	YDR016C	kinase
YBL088C	YDR016C	kinase
YBR136W	YBR233W-A	kinase
YBL088C	YBR233W-A	kinase
YBR136W	YML070W	kinase
YBL088C	YML070W	kinase
YBR160W	YIR023W	kinase
YPL209C	YGR113W	kinase
YBR160W	YGR092W	kinase
YPR119W	YGR092W	kinase
YAR019C	YGR092W	kinase
YBR160W	YDR052C	kinase
YPR119W	YDR052C	kinase
YPL153C	YDR052C	kinase
YHL007C	YNL118C	kinase
YOL100W	YOR173W	kinase
YNL307C	YOR173W	kinase
YBR136W	YPL194W	kinase
YBL088C	YPL194W	kinase
YNL307C	YOR204W	kinase
YDL047W	YOR204W	phosphatase
YHR135C	YOR204W	kinase
YPL153C	YKL054C	kinase
YDL101C	YLR437C	kinase
YLR362W	YPL049C	kinase
YGL059W	YPL049C	kinase
YBR160W	YHR164C	kinase
YPR119W	YHR164C	kinase
YBR136W	YHR164C	kinase
YBL088C	YHR164C	kinase
YKL198C	YER088C	kinase
YBR160W	YER088C	kinase
YPR119W	YER088C	kinase
YBR160W	YPR175W	kinase
YBR136W	YDR121W	kinase
YBL088C	YDR121W	kinase
YJL164C	YPR183W	kinase
YDL047W	YLL018C	phosphatase
YDL028C	YIR010W	kinase
YBR160W	YIR010W	kinase
YFR028C	YIR010W	phosphatase
YBR136W	YGL043W	kinase
YBL088C	YGL043W	kinase
YPL153C	YDL101C	kinase
YBR136W	YDL101C	kinase
YBL088C	YDL101C	kinase
YDR490C	YHL016C	kinase
YOL100W	YHL016C	kinase
YBR136W	YPR023C	kinase
YBL088C	YPR023C	kinase
YLL010C	YKL204W	phosphatase
YNL307C	YKL204W	kinase
YLL010C	YMR171C	phosphatase
YBR160W	YBL101C	kinase
YPR119W	YBL101C	kinase
YDL101C	YBL101C	kinase
YBR160W	YJL201W	kinase
YDL230W	YGL222C	phosphatase
YBR160W	YBL047C	kinase
YBR125C	YBL047C	phosphatase
YLR019W	YBL047C	phosphatase
YML057W	YBL047C	phosphatase
YBL016W	YBL047C	kinase
YPL031C	YBL047C	kinase
YNL032W	YMR031C	phosphatase
YNL307C	YMR031C	kinase
YDR477W	YMR031C	kinase
YKL126W	YMR031C	kinase
YOL045W	YMR031C	kinase
YIR026C	YMR031C	phosphatase
YIL042C	YMR031C	kinase
YIL035C	YMR031C	kinase
YPL141C	YMR031C	kinase
YBR160W	YNL230C	kinase
YOL045W	YKL160W	kinase
YBR160W	YKL048C	kinase
YKL171W	YOL158C	kinase
YBR136W	YBR247C	kinase
YBL088C	YBR247C	kinase
YPL153C	YBR247C	kinase
YIL095W	YDL161W	kinase
YGR262C	YJR125C	kinase
YBR160W	YMR124W	kinase
YPR119W	YMR124W	kinase
YBR160W	YMR219W	kinase
YPL153C	YMR219W	kinase
YDR477W	YMR219W	kinase
YBL016W	YDR365C	kinase
YML057W	YDR365C	phosphatase
YDR477W	YOR051C	kinase
YPL153C	YOR033C	kinase
YBR160W	YBR102C	kinase
YPR119W	YBR102C	kinase
YBR160W	YFR019W	kinase
YBR160W	YJL157C	kinase
YPR119W	YJL157C	kinase
YPL256C	YJL157C	kinase
YJL164C	YLR377C	kinase
YNL307C	YCR034W	kinase
YBR160W	YDR130C	kinase
YPR119W	YDR130C	kinase
YIL035C	YJR093C	kinase
YOR061W	YJR093C	kinase
YGL019W	YJR093C	kinase
YOR039W	YJR093C	kinase
YBR160W	YER032W	kinase
YPR119W	YER032W	kinase
YBR160W	YNL068C	kinase
YPR119W	YNL068C	kinase
YBR160W	YPL221W	kinase
YBR160W	YNR047W	kinase
YOL045W	YNL135C	kinase
YHR082C	YML074C	kinase
YML057W	YML074C	phosphatase
YNR031C	YML074C	kinase
YIL035C	YML074C	kinase
YOR061W	YML074C	kinase
YGL019W	YML074C	kinase
YOR039W	YML074C	kinase
YNL053W	YML074C	phosphatase
YDL108W	YLR449W	kinase
YLR113W	YLL043W	kinase
YBR160W	YPL141C	kinase
YBR160W	YAL034C	kinase
YPL153C	YAL019W	kinase
YHR135C	YBR021W	kinase
YBL016W	YMR232W	kinase
YDL159W	YBL016W	kinase
YNL053W	YBL016W	phosphatase
YER075C	YBL016W	phosphatase
YIL035C	YGR196C	kinase
YBR160W	YOR178C	kinase
YPR119W	YOR178C	kinase
YPL042C	YPL248C	kinase
YNL025C	YPL248C	kinase
YBR160W	YPL248C	kinase
YDL108W	YPL248C	kinase
YPR025C	YPL248C	kinase
YDR477W	YER027C	kinase
YIL035C	YER027C	kinase
YOR061W	YER027C	kinase
YGL019W	YER027C	kinase
YOR039W	YER027C	kinase
YKL198C	YFL021W	kinase
YDL028C	YDR211W	kinase
YPL042C	YEL009C	kinase
YPR025C	YEL009C	kinase
YPL031C	YEL009C	kinase
YNL289W	YEL009C	kinase
YHR071W	YEL009C	kinase
YDR477W	YGR252W	kinase
YNL307C	YDL226C	kinase
YIL035C	YDL226C	kinase
YBR160W	YDL226C	kinase
YPR119W	YDL226C	kinase
YBR160W	YMR255W	kinase
YPR119W	YMR255W	kinase
YKL198C	YDR309C	kinase
YBR160W	YDR309C	kinase
YPR119W	YDR309C	kinase
YBR160W	YDR507C	kinase
YLR019W	YDR507C	phosphatase
YPR119W	YDR507C	kinase
YPL042C	YDR507C	kinase
YBR160W	YER054C	kinase
YPL141C	YPL137C	kinase
YBR160W	YAL031C	kinase
YBR160W	YDR096W	kinase
YBR136W	YER133W	kinase
YBL088C	YER133W	kinase
YPL141C	YMR311C	kinase
YDL101C	YDL207W	kinase
YDL025C	YEL046C	kinase
YKL139W	YDR508C	kinase
YKL048C	YHR005C	kinase
YKL139W	YDL022W	kinase
YJL164C	YPR160W	kinase
YOR061W	YMR281W	kinase
YKL139W	YKL152C	kinase
YKL126W	YKR067W	kinase
YDL028C	YJR090C	kinase
YGR262C	YER174C	kinase
YNL307C	YFR015C	kinase
YNL307C	YLR258W	kinase
YPL031C	YLR258W	kinase
YGL134W	YLR258W	kinase
YKL139W	YEL017W	kinase
YBR160W	YMR192W	kinase
YPR119W	YMR192W	kinase
YBR160W	YOR070C	kinase
YBR160W	YDL234C	kinase
YBR160W	YJL165C	kinase
YNL307C	YJL165C	kinase
YBR160W	YOR358W	kinase
YCR008W	YDL223C	kinase
YJL128C	YDL223C	kinase
YNL032W	YDL223C	phosphatase
YOL045W	YDL223C	kinase
YNL307C	YDL223C	kinase
YIL042C	YDL223C	kinase
YDL188C	YDL223C	phosphatase
YBR160W	YDL223C	kinase
YBR276C	YDL223C	phosphatase
YFR014C	YDL223C	kinase
YNL298W	YDL223C	kinase
YBR160W	YDR458C	kinase
YPR119W	YDR458C	kinase
YIR026C	YBL032W	phosphatase
YHR135C	YBL032W	kinase
YBR160W	YOR227W	kinase
