P	Target	Mode
YBR136W	YPL153C	kinase
YBL088C	YPL153C	kinase
YBR160W	YPL153C	kinase
YPR119W	YPL153C	kinase
YPL153C	YGL163C	kinase
YPL153C	YDR076W	kinase
YBR136W	YDR076W	kinase
YBR160W	YDR217C	kinase
YBR136W	YDR217C	kinase
YBL088C	YDR217C	kinase
YDR477W	YNL098C	kinase
YBR160W	YJR033C	kinase
YBR160W	YLR248W	kinase
YLR113W	YLR248W	kinase
YNL307C	YKL159C	kinase
YKL190W	YKL159C	phosphatase
YML057W	YKL159C	phosphatase
YLR433C	YKL159C	phosphatase
YPL203W	YOR220W	kinase
YHR030C	YOR220W	kinase
YDL101C	YMR075W	kinase
YDL017W	YJR021C	kinase
YBR160W	YLR263W	kinase
YBR160W	YDR195W	kinase
YPR119W	YDR195W	kinase
YBR160W	YDR028C	kinase
YBR136W	YOR346W	kinase
YBR136W	YAR007C	kinase
YBL088C	YAR007C	kinase
YJL106W	YNL312W	kinase
YBR136W	YNL312W	kinase
YBR136W	YJL173C	kinase
YBL088C	YJL173C	kinase
YBR160W	YOR217W	kinase
YPR119W	YOR217W	kinase
YPL153C	YLR176C	kinase
YBR160W	YOR127W	kinase
YPR119W	YOR127W	kinase
YPL031C	YDR379W	kinase
YBR160W	YDR379W	kinase
YPR119W	YDR379W	kinase
YBR160W	YPR115W	kinase
YPR119W	YPR115W	kinase
YBR160W	YDR137W	kinase
YJL164C	YKL038W	kinase
YBR160W	YKL038W	kinase
YBR160W	YBR275C	kinase
YBR136W	YBR275C	kinase
YBL088C	YBR275C	kinase
YJL164C	YFL033C	kinase
YPL031C	YFL033C	kinase
YOL001W	YFL033C	kinase
YBR160W	YFL033C	kinase
YIL035C	YOR119C	kinase
YOR061W	YOR119C	kinase
YGL019W	YOR119C	kinase
YOR039W	YOR119C	kinase
YKL198C	YPL208W	kinase
YDR247W	YPL208W	kinase
YBR160W	YPR018W	kinase
YPR119W	YPR018W	kinase
YHR030C	YPL089C	kinase
YDL101C	YNL002C	kinase
YDL101C	YIL066C	kinase
YDR477W	YOR018W	kinase
YBR160W	YLR371W	kinase
YPR119W	YLR371W	kinase
YPL153C	YDR156W	kinase
YNL307C	YDL150W	kinase
YPL153C	YER169W	kinase
YBR160W	YER169W	kinase
YBR160W	YDR418W	kinase
YPR119W	YDR418W	kinase
YGR203W	YDR418W	phosphatase
YNL183C	YGL031C	kinase
YDL047W	YML073C	phosphatase
YIL035C	YDL020C	kinase
YOR061W	YDL020C	kinase
YGL019W	YDL020C	kinase
YOR039W	YDL020C	kinase
YKL139W	YDL140C	kinase
YJL006C	YDL140C	kinase
YMR277W	YDL140C	phosphatase
YPR161C	YDL140C	kinase
YDL108W	YDL140C	kinase
YLR226W	YDL140C	kinase
YPR025C	YDL140C	kinase
YOR367W	YDL140C	phosphatase
YDR477W	YGR118W	kinase
YNL183C	YER074W	kinase
YBR028C	YBR181C	kinase
YBR160W	YIL153W	kinase
YPR119W	YIL153W	kinase
YML057W	YLR221C	phosphatase
YBR136W	YLR357W	kinase
YBL088C	YLR357W	kinase
YBR160W	YLR357W	kinase
YPR119W	YLR357W	kinase
YBR136W	YHR056C	kinase
YBL088C	YHR056C	kinase
YBR136W	YKR008W	kinase
YBL088C	YKR008W	kinase
YDR477W	YOL138C	kinase
YML057W	YBL103C	phosphatase
YDR477W	YDL025C	kinase
YBR160W	YOR014W	kinase
YPL150W	YOR014W	kinase
YPL153C	YHR154W	kinase
YBR136W	YHR154W	kinase
YBL088C	YHR154W	kinase
YDL006W	YOR216C	phosphatase
YPL031C	YDR388W	kinase
YDL127W	YDR388W	kinase
YBR160W	YDR159W	kinase
YBR160W	YDR389W	kinase
YPR119W	YDR389W	kinase
YBR136W	YGL175C	kinase
YBL088C	YGL175C	kinase
YBR160W	YGL175C	kinase
YBR160W	YER129W	kinase
YPR119W	YER129W	kinase
YPL042C	YPL274W	kinase
YKL139W	YPL274W	kinase
YGR262C	YPL274W	kinase
YBR136W	YJL098W	kinase
YBL088C	YJL098W	kinase
YKL198C	YDR351W	kinase
YIL095W	YOR329C	kinase
YDR490C	YHR205W	kinase
YJR066W	YHR205W	kinase
YBR160W	YER120W	kinase
YPR119W	YER120W	kinase
YDL134C	YDR178W	phosphatase
YBR160W	YGL056C	kinase
YKL139W	YBR214W	kinase
YBR160W	YBR214W	kinase
YBR160W	YLR166C	kinase
YBR160W	YPL085W	kinase
YKL139W	YPL085W	kinase
YDR477W	YNL272C	kinase
YPL204W	YPR181C	kinase
YBR160W	YDL195W	kinase
YPL153C	YDL195W	kinase
YCR091W	YDL195W	kinase
YIL035C	YOR254C	kinase
YOR061W	YOR254C	kinase
YGL019W	YOR254C	kinase
YOR039W	YOR254C	kinase
YLR240W	YDR170C	kinase
YBR160W	YDR170C	kinase
YJL164C	YLR026C	kinase
YBR160W	YMR086W	kinase
YPR119W	YMR086W	kinase
YDR477W	YKL105C	kinase
YBR160W	YKL105C	kinase
YBR160W	YLL003W	kinase
YJR066W	YLR403W	kinase
YBR136W	YGL066W	kinase
YBL088C	YGL066W	kinase
YBR160W	YOR057W	kinase
YIL035C	YOR057W	kinase
YOR061W	YOR057W	kinase
YGL019W	YOR057W	kinase
YOR039W	YOR057W	kinase
YFL029C	YPR161C	kinase
YDL028C	YDR393W	kinase
YLR113W	YER118C	kinase
YLL019C	YBL058W	kinase
YKL198C	YBL058W	kinase
YBR160W	YBL058W	kinase
YPL031C	YDL225W	kinase
YNL289W	YDL225W	kinase
YPL153C	YDL225W	kinase
YDL134C	YDL225W	phosphatase
YBR160W	YLR079W	kinase
YPL031C	YLR079W	kinase
YNL289W	YLR079W	kinase
YJL106W	YLR079W	kinase
YPL256C	YLR079W	kinase
YIL035C	YLR079W	kinase
YOR061W	YLR079W	kinase
YGL019W	YLR079W	kinase
YOR039W	YLR079W	kinase
YLR019W	YBR103W	phosphatase
YBR160W	YOL004W	kinase
YBR136W	YOL004W	kinase
YBL088C	YOL004W	kinase
YBR160W	YDR422C	kinase
YBR160W	YDL042C	kinase
YHR030C	YLR442C	kinase
YBR160W	YLR442C	kinase
YBR160W	YDR227W	kinase
YPR119W	YDR227W	kinase
YBR136W	YDR227W	kinase
YBL088C	YDR227W	kinase
YBR160W	YKR072C	kinase
YBR160W	YDR409W	kinase
YPR119W	YDR409W	kinase
YDR477W	YLR187W	kinase
YBR160W	YHR149C	kinase
YBR160W	YNL167C	kinase
YLR113W	YNL167C	kinase
YJL164C	YNL167C	kinase
YDL028C	YDR328C	kinase
YPL031C	YDR328C	kinase
YKL198C	YDR328C	kinase
YBR160W	YBL007C	kinase
YPR119W	YBL007C	kinase
YLR019W	YBL007C	phosphatase
YNR031C	YNL243W	kinase
YBR160W	YNL243W	kinase
YBR160W	YKL108W	kinase
YPR120C	YKL108W	kinase
YPL153C	YGL113W	kinase
YBR160W	YGL113W	kinase
YPR120C	YGL113W	kinase
YBR160W	YDR515W	kinase
YBR160W	YBR156C	kinase
YPR119W	YBR156C	kinase
YKL168C	YOR195W	kinase
YDR466W	YIL105C	kinase
YDR490C	YIL105C	kinase
YOL100W	YIL105C	kinase
YBR160W	YNL047C	kinase
YPL153C	YHR030C	kinase
YBR136W	YHR030C	kinase
YBL088C	YHR030C	kinase
YBR136W	YLR135W	kinase
YBL088C	YLR135W	kinase
YBR160W	YLR086W	kinase
YPR119W	YLR086W	kinase
YLR113W	YBR182C	kinase
YKL048C	YDR477W	kinase
YER133W	YDR477W	phosphatase
YDR028C	YDR477W	phosphatase
YPL153C	YOR290C	kinase
YBR160W	YDR006C	kinase
YBR136W	YMR016C	kinase
YBL088C	YMR016C	kinase
YBR160W	YLL021W	kinase
YPR119W	YLL021W	kinase
YNL032W	YLL021W	phosphatase
YBR160W	YGL093W	kinase
YDL028C	YGL093W	kinase
YBR160W	YDR356W	kinase
YDL028C	YDR356W	kinase
YDL028C	YMR117C	kinase
YKL198C	YPL124W	kinase
YBR160W	YPL124W	kinase
YPR119W	YPL124W	kinase
YPR106W	YPL124W	kinase
YDL028C	YPL124W	kinase
YPL209C	YKR037C	kinase
YDL028C	YKL042W	kinase
YBR136W	YLR146C	kinase
YBL088C	YLR146C	kinase
YPL042C	YHR136C	kinase
YPL179W	YHR136C	phosphatase
YBR136W	YPR133C	kinase
YBL088C	YPR133C	kinase
YNR031C	YPR133C	kinase
YLL019C	YPR133C	kinase
YLR362W	YHR152W	kinase
YBR160W	YHR152W	kinase
YFR028C	YHR152W	phosphatase
YBR160W	YER161C	kinase
YPR161C	YML010W	kinase
YLR226W	YML010W	kinase
YBR136W	YBR081C	kinase
YBL088C	YBR081C	kinase
YBR160W	YNL224C	kinase
YBR160W	YML034W	kinase
YPR119W	YML034W	kinase
YBR160W	YKR091W	kinase
YBR160W	YCL037C	kinase
YOL045W	YCL037C	kinase
YIL035C	YNL189W	kinase
YOR061W	YNL189W	kinase
YNL032W	YKR092C	phosphatase
YBR160W	YJL092W	kinase
YNL161W	YDR293C	kinase
YBR160W	YDR293C	kinase
YPR119W	YDR293C	kinase
YBR160W	YLR006C	kinase
YBR160W	YNR031C	kinase
YJL164C	YDR443C	kinase
YBR160W	YDR443C	kinase
YJL164C	YPL232W	kinase
YDL047W	YPL232W	phosphatase
YBL016W	YLR452C	kinase
YBR160W	YNL309W	kinase
YHR076W	YDR169C	phosphatase
YHL007C	YLR362W	kinase
YPL042C	YHR084W	kinase
YNL025C	YHR084W	kinase
YNL154C	YFL026W	kinase
YBR160W	YFL026W	kinase
YBR160W	YHL007C	kinase
YPR119W	YHL007C	kinase
YKL139W	YHL007C	kinase
YGL059W	YHL007C	kinase
YLR019W	YHL007C	phosphatase
YDR477W	YHL007C	kinase
YPL256C	YHL007C	kinase
YHL007C	YHL007C	kinase
YBL016W	YOR212W	kinase
YBR160W	YDR103W	kinase
YPL256C	YDR103W	kinase
YPR119W	YDR103W	kinase
YHR135C	YCL032W	kinase
YLR113W	YCL032W	kinase
YDL047W	YCL032W	phosphatase
YBR276C	YCL032W	phosphatase
YLR362W	YDL159W	kinase
YNL298W	YGR008C	kinase
YBR136W	YIL126W	kinase
YBL088C	YIL126W	kinase
YOR231W	YDL048C	kinase
YBR160W	YDL048C	kinase
YKL139W	YMR054W	kinase
YDR283C	YJR007W	kinase
YIL035C	YJR007W	kinase
YOR061W	YJR007W	kinase
YGL019W	YJR007W	kinase
YOR039W	YJR007W	kinase
YJL106W	YDR310C	kinase
YBR160W	YDR310C	kinase
YBR136W	YDR310C	kinase
YBL088C	YDR310C	kinase
YPR119W	YDR310C	kinase
YKL166C	YML052W	kinase
YKL139W	YPL032C	kinase
YDR466W	YPL032C	kinase
YMR001C	YJL187C	kinase
YBR160W	YJL187C	kinase
YNL298W	YJL187C	kinase
YDR477W	YAR042W	kinase
YBR136W	YJL176C	kinase
YBL088C	YJL176C	kinase
YBR160W	YER111C	kinase
YBR160W	YDR146C	kinase
YPR119W	YDR146C	kinase
YPL153C	YLR182W	kinase
YBR160W	YLR182W	kinase
YGR109C	YLR182W	kinase
YFR028C	YLR182W	phosphatase
YHR030C	YLR182W	kinase
YBR136W	YDR334W	kinase
YBL088C	YDR334W	kinase
YBR160W	YPR095C	kinase
YBR059C	YPR095C	kinase
YBR136W	YDR167W	kinase
YBL088C	YDR167W	kinase
YBR136W	YDR145W	kinase
YBL088C	YDR145W	kinase
YPL153C	YCR042C	kinase
YBR160W	YMR005W	kinase
YPR119W	YMR005W	kinase
YBR136W	YMR236W	kinase
YBL088C	YMR236W	kinase
YBR160W	YML072C	kinase
YPR119W	YML072C	kinase
YJR059W	YPL180W	kinase
YBR160W	YPL180W	kinase
YPR119W	YPL180W	kinase
YBR160W	YMR291W	kinase
YBR160W	YHR159W	kinase
YPR119W	YHR159W	kinase
YBL016W	YBR083W	kinase
YBR160W	YML064C	kinase
YPR119W	YML064C	kinase
YBR160W	YKR062W	kinase
YPR119W	YKR062W	kinase
YIR026C	YDR460W	phosphatase
YBR160W	YGR005C	kinase
YPR119W	YGR005C	kinase
YBR160W	YKL140W	kinase
YKL166C	YKL140W	kinase
YBR160W	YKR089C	kinase
YPR119W	YKR089C	kinase
YDL028C	YIL144W	kinase
YOL045W	YMR260C	kinase
YHR082C	YGR162W	kinase
YNL032W	YGR162W	phosphatase
YBR160W	YGL049C	kinase
YPL204W	YPR016C	kinase
YOL045W	YDL110C	kinase
YBR136W	YKL058W	kinase
YBL088C	YKL058W	kinase
YPL153C	YNL273W	kinase
YKL139W	YOL006C	kinase
YBR160W	YNL088W	kinase
YLL019C	YNL088W	kinase
YIL035C	YNL088W	kinase
YOR061W	YNL088W	kinase
YBL105C	YJR066W	kinase
YBL105C	YKL203C	kinase
YBR160W	YLR183C	kinase
YPR119W	YLR183C	kinase
YGL021W	YGR138C	kinase
YOL100W	YGR138C	kinase
YDR477W	YGR138C	kinase
YBR160W	YMR261C	kinase
YBR160W	YMR233W	kinase
YLL019C	YKR056W	kinase
YBR136W	YDL201W	kinase
YBL088C	YDL201W	kinase
YPL141C	YML028W	kinase
YBR160W	YER093C	kinase
YPR119W	YER093C	kinase
YIL035C	YML100W	kinase
YBR160W	YML100W	kinase
YNL307C	YML100W	kinase
YDL188C	YKL033W	phosphatase
YIL035C	YDL122W	kinase
YKL198C	YER151C	kinase
YDR477W	YER151C	kinase
YBR160W	YGR184C	kinase
YPL141C	YML013W	kinase
YOL045W	YKL035W	kinase
YBR160W	YPL020C	kinase
YBR160W	YIL031W	kinase
YPR119W	YIL031W	kinase
YMR139W	YDR207C	kinase
YNL307C	YDR207C	kinase
YDL079C	YDR207C	kinase
YPL141C	YDR207C	kinase
YJL164C	YJL130C	kinase
YBL105C	YBL039C	kinase
YJL164C	YBL039C	kinase
YBR160W	YML029W	kinase
YPL153C	YDL058W	kinase
YOR090C	YML093W	phosphatase
YJR059W	YML093W	kinase
YDL047W	YIL135C	phosphatase
YBR160W	YIL135C	kinase
YDL230W	YIL135C	phosphatase
YDL025C	YOR054C	kinase
YBR160W	YOR054C	kinase
YPL140C	YLR410W	kinase
YBR160W	YLR410W	kinase
YKL198C	YLR410W	kinase
YDR477W	YBR127C	kinase
YBR136W	YBR127C	kinase
YBL088C	YBR127C	kinase
YBR160W	YNL321W	kinase
YPR119W	YNL321W	kinase
YBR160W	YLL040C	kinase
YLR248W	YLL040C	kinase
YER123W	YDR080W	kinase
YDR477W	YDR372C	kinase
YJR059W	YDR372C	kinase
YBR160W	YLR337C	kinase
YDL047W	YPL019C	phosphatase
YKL139W	YPL019C	kinase
YPL179W	YPL019C	phosphatase
YBR160W	YML076C	kinase
YBR160W	YOR083W	kinase
YPR119W	YOR083W	kinase
YBR160W	YHL028W	kinase
YPR119W	YHL028W	kinase
YBR160W	YIL101C	kinase
YBR160W	YDR369C	kinase
YJL141C	YJL141C	kinase
YIL095W	YHR161C	kinase
YKL166C	YAR009C	kinase
YDR477W	YAR009C	kinase
YCR008W	YAR009C	kinase
YKL139W	YAR009C	kinase
YKL126W	YAR009C	kinase
YBR097W	YAR009C	kinase
YGL059W	YAR010C	kinase
YKL166C	YBL005W-A	kinase
YBR160W	YBL005W-A	kinase
YBR028C	YBR238C	kinase
YIL035C	YDR135C	kinase
YOR061W	YDR135C	kinase
YJL164C	YDR135C	kinase
YMR001C	YDR325W	kinase
YBR160W	YCL019W	kinase
YPR119W	YCL019W	kinase
YMR001C	YLR272C	kinase
YBR160W	YDR089W	kinase
YKL171W	YDR089W	kinase
YBR160W	YDR239C	kinase
YPR119W	YDR239C	kinase
YKL139W	YDR239C	kinase
YBR160W	YEL043W	kinase
YBR160W	YER041W	kinase
YDL047W	YER079W	phosphatase
YBR160W	YER079W	kinase
YKL166C	YER079W	kinase
YIL035C	YER079W	kinase
YBR160W	YFL042C	kinase
YNL307C	YGR054W	kinase
YBR160W	YGR125W	kinase
YPL141C	YGR125W	kinase
YGR262C	YGR126W	kinase
YKL166C	YGR130C	kinase
YKL126W	YGR130C	kinase
YBR160W	YGR237C	kinase
YPR119W	YGR237C	kinase
YKL198C	YDR451C	kinase
YIR026C	YHR097C	phosphatase
YPL179W	YHR097C	phosphatase
YKL198C	YHR097C	kinase
YBR160W	YIL024C	kinase
YPR119W	YIL024C	kinase
YBR160W	YIR007W	kinase
YBR160W	YJL193W	kinase
YOL100W	YKR018C	kinase
YBR160W	YLL032C	kinase
YPR119W	YLL032C	kinase
YBR160W	YLR049C	kinase
YPL141C	YLR257W	kinase
YLR113W	YLR257W	kinase
YDL134C	YLR257W	phosphatase
YKL198C	YLR257W	kinase
YKL166C	YMR045C	kinase
YBR160W	YMR196W	kinase
YBR160W	YNL058C	kinase
YPR119W	YNL058C	kinase
YNL307C	YNR014W	kinase
YKL139W	YNR014W	kinase
YLR240W	YOR022C	kinase
YDL134C	YDR057W	phosphatase
YBR160W	YML027W	kinase
YAL017W	YFR003C	kinase
YKL139W	YKL126W	kinase
YDR490C	YKL126W	kinase
YDR490C	YMR104C	kinase
YKL203C	YMR104C	kinase
YBR160W	YPL150W	kinase
YBR160W	YPR174C	kinase
YPR119W	YPR174C	kinase
YPL153C	YIL063C	kinase
YBR160W	YIL063C	kinase
YNL032W	YBR054W	phosphatase
YBR160W	YHR016C	kinase
YPR119W	YHR016C	kinase
YBR136W	YLR277C	kinase
YBL088C	YLR277C	kinase
YDR477W	YDR326C	kinase
YBR160W	YDR326C	kinase
YKL198C	YPL074W	kinase
YBR136W	YGR270W	kinase
YBL088C	YGR270W	kinase
YPL042C	YJL056C	kinase
YLR240W	YJL056C	kinase
YLR240W	YOL109W	kinase
YGR262C	YOL109W	kinase
YKL198C	YOL109W	kinase
YBR136W	YDR285W	kinase
YBL088C	YDR285W	kinase
YDR075W	YDR285W	phosphatase
YNL201C	YDR285W	phosphatase
YBR160W	YDR285W	kinase
YPR120C	YDR285W	kinase
YBR136W	YGR211W	kinase
YBL088C	YGR211W	kinase
YBR160W	YNR039C	kinase
YPR119W	YNR039C	kinase
YKL198C	YER033C	kinase
YBR160W	YER033C	kinase
YDR477W	YGL255W	kinase
YMR216C	YGL255W	kinase
YML057W	YGR285C	phosphatase
YBR059C	YER087W	
YNL020C	YNL272C	
YJL095W	YFL023W	
YFL029C	YDL220C	
YNL161W	YBL069W	
YAR019C	YER087W	
YBR059C	YDR188W	
YNL020C	YGR130C	
YJL095W	YER120W	
YFL029C	YLL008W	
YNL161W	YER036C	
YAR019C	YJR047C	
YBR059C	YGR256W	
YNL020C	YMR196W	
YJL095W	YIL104C	
YFL029C	YBR088C	
YNL161W	YOL070C	
YAR019C	YCL035C	
YBR059C	YML048W	
YJL095W	YJR097W	
YNL161W	YIL016W	
YAR019C	YLR258W	
YBR059C	YLR258W	
YAR019C	YMR139W	
YBR059C	YNL104C	
YNL161W	YBR169C	
YAR019C	YDR382W	
YBR059C	YMR004W	
YNL161W	YKR079C	
YAR019C	YPL201C	
YBR059C	YHR063C	
YNL161W	YFL010C	
YBR059C	YIL160C	
YNL161W	YDR132C	
YBR059C	YOL066C	
YNL161W	YER067W	
YBR059C	YMR139W	
YNL161W	YGL210W	
YBR059C	YCR052W	
YBR059C	YJL080C	
YBR059C	YNL272C	
YBR059C	YHR207C	
YBR059C	YGL213C	
YBR059C	YOR027W	
YBR059C	YKR079C	
YBR059C	YBL055C	
YBR059C	YGR287C	
YBR059C	YHR214C-C	
YBR059C	YJR111C	
YBR059C	YLR392C	
YBR059C	YMR196W	
YBR160W	YJR082C	
YDL017W	YJR082C	
YBR274W	YPR145W	
YNL298W	YEL029C	
YFR014C	YML022W	
YOL016C	YLR370C	
YBR160W	YKR080W	
YDL017W	YMR146C	
YBR274W	YBR252W	
YNL298W	YBR252W	
YFR014C	YMR116C	
YOL016C	YPL166W	
YBR160W	YBR031W	
YDL017W	YKR047W	
YBR274W	YJR082C	
YNL298W	YJR082C	
YFR014C	YJL188C	
YOL016C	YER119C	
YBR160W	YKL211C	
YBR274W	YBR177C	
YNL298W	YGR200C	
YFR014C	YDL143W	
YOL016C	YJL188C	
YBR160W	YCR016W	
YBR274W	YGR200C	
YNL298W	YBR031W	
YFR014C	YLR307W	
YOL016C	YDL143W	
YBR160W	YKL023W	
YBR274W	YDR516C	
YNL298W	YJL070C	
YFR014C	YNL111C	
YOL016C	YLR307W	
YBR160W	YHR174W	
YDL017W	YKL023W	
YBR274W	YJL167W	
YNL298W	YKL149C	
YBR160W	YBR019C	
YBR274W	YCR075C	
YNL298W	YOR264W	
YBR160W	YPL171C	
YBR274W	YIL065C	
YNL298W	YCR075C	
YBR160W	YDL236W	
YBR274W	YOR271C	
YNL298W	YHR104W	
YBR160W	YKL181W	
YBR274W	YER174C	
YNL298W	YER174C	
YBR160W	YMR146C	
YBR274W	YML048W	
YNL298W	YPR169W	
YBR160W	YNR046W	
YBR274W	YGR264C	
YNL298W	YJL124C	
YBR274W	YBR170C	
YNL298W	YER142C	
YBR160W	YKL210W	
YBR274W	YER153C	
YNL298W	YCL061C	
YBR160W	YKR047W	
YBR274W	YMR205C	
YNL298W	YKL167C	
YBR160W	YGR135W	
YDL017W	YKL142W	
YBR160W	YOR101W	
YDL017W	YDR335W	
YBR160W	YIL053W	
YDL017W	YJL076W	
YBR160W	YGR180C	
YDL017W	YMR153W	
YBR160W	YDR471W	
YDL017W	YBR129C	
YBR160W	YER139C	
YDL017W	YER154W	
YBR160W	YIL167W	
YDL017W	YKL164C	
YBR160W	YOR184W	
YDL017W	YNL201C	
YBR160W	YOR089C	
YDL017W	YGR258C	
YBR160W	YBR099C	
YDL017W	YBR087W	
YBR160W	YHR033W	
YDL017W	YIL053W	
YBR160W	YJL175W	
YDL017W	YMR154C	
YBR160W	YJR129C	
YDL017W	YJL177W	
YBR160W	YNR064C	
YDL017W	YPR187W	
YBR160W	YGL210W	
YDL017W	YIL167W	
YBR160W	YML001W	
YDL017W	YOR057W	
YBR160W	YHR008C	
YBR160W	YPL138C	
YBR160W	YDR416W	
YBR160W	YLR212C	
YBR160W	YMR071C	
YBR160W	YPR036W	
YBR160W	YBR071W	
YBR160W	YBR220C	
YBR160W	YDR344C	
YBR160W	YEL028W	
YBR160W	YER128W	
YBR160W	YGR205W	
YBR160W	YIL032C	
YKL139W	YMR041C	
YJL006C	YNR033W	
YGR092W	YEL029C	
YPR111W	YEL029C	
YKL048C	YLL008W	
YGR052W	YNL117W	
YKL139W	YLR438W	
YJL006C	YOR335C	
YGR092W	YBR177C	
YPR111W	YKR047W	
YKL048C	YLR060W	
YGR052W	YDL065C	
YKL139W	YDR188W	
YJL006C	YGR001C	
YGR092W	YGR200C	
YKL048C	YML062C	
YGR052W	YGR180C	
YKL139W	YNL027W	
YJL006C	YMR041C	
YGR092W	YKR080W	
YKL048C	YKL181W	
YGR052W	YHR200W	
YKL139W	YMR048W	
YJL006C	YJR076C	
YGR092W	YNR046W	
YKL048C	YMR235C	
YGR052W	YML013W	
YKL139W	YOL082W	
YJL006C	YGR167W	
YGR092W	YKR041W	
YKL048C	YCR052W	
YKL139W	YLR060W	
YJL006C	YDR256C	
YGR092W	YKR047W	
YKL048C	YER139C	
YKL139W	YDL103C	
YJL006C	YFL023W	
YKL048C	YEL012W	
YKL139W	YPL133C	
YJL006C	YPR035W	
YKL048C	YCR064C	
YKL139W	YER139C	
YJL006C	YDL065C	
YKL048C	YGR021W	
YKL139W	YFL010C	
YJL006C	YDL103C	
YKL048C	YJR097W	
YKL139W	YGR021W	
YJL006C	YGR180C	
YKL139W	YJR070C	
YJL006C	YER139C	
YKL139W	YKR018C	
YJL006C	YBL058W	
YKL139W	YPL077C	
YJL006C	YJL138C	
YKL139W	YKL091C	
YKL139W	YNR064C	
YPL141C	YJR047C	
YBL016W	YMR120C	
YDR283C	YGL190C	
YDR507C	YJR047C	
YJL165C	YCR016W	
YPL204W	YJR105W	
YPL141C	YNL027W	
YBL016W	YDR480W	
YDR283C	YGL043W	
YDR507C	YOR141C	
YPL204W	YPL061W	
YPL141C	YOL082W	
YBL016W	YGR200C	
YDR283C	YEL053C	
YDR507C	YGL187C	
YPL204W	YOR141C	
YPL141C	YOR260W	
YBL016W	YBR019C	
YDR283C	YOR056C	
YDR507C	YNL027W	
YPL204W	YPR145W	
YPL141C	YLR258W	
YBL016W	YKR080W	
YDR283C	YPL133C	
YDR507C	YIL010W	
YPL204W	YJR025C	
YPL141C	YJR062C	
YBL016W	YKL211C	
YDR283C	YBR154C	
YDR507C	YOR260W	
YPL204W	YEL029C	
YPL141C	YEL037C	
YBL016W	YLR236C	
YDR283C	YMR216C	
YDR507C	YCL035C	
YPL204W	YNL192W	
YPL141C	YMR139W	
YDR283C	YFR010W	
YDR507C	YLR258W	
YPL204W	YJR109C	
YPL141C	YJL138C	
YDR283C	YBL055C	
YDR507C	YMR110C	
YPL204W	YNL027W	
YPL141C	YEL012W	
YDR283C	YOR309C	
YDR507C	YEL053C	
YPL204W	YHR043C	
YPL141C	YFL010C	
YDR283C	YPR115W	
YDR507C	YPR083W	
YPL204W	YJR082C	
YPL141C	YBR053C	
YDR507C	YOR288C	
YPL204W	YGR200C	
YPL141C	YGR017W	
YDR507C	YMR153W	
YPL204W	YBR019C	
YPL141C	YPL201C	
YDR507C	YPL133C	
YPL204W	YDR309C	
YPL141C	YJR097W	
YDR507C	YMR235C	
YPL204W	YLR258W	
YPL141C	YJR154W	
YDR507C	YHR088W	
YPL204W	YGR223C	
YPL141C	YDL153C	
YDR283C	YOR306C	
YPL141C	YLR208W	
YDR283C	YPR083W	
YPL141C	YNL272C	
YDR283C	YGR028W	
YDR283C	YKR080W	
YDR283C	YMR004W	
YPL141C	YLR003C	
YDR283C	YLR285W	
YPL141C	YPL171C	
YPL141C	YGL134W	
YPL141C	YKL181W	
YPL141C	YHR074W	
YPL141C	YOR117W	
YPL141C	YMR216C	
YPL141C	YHR014W	
YPL141C	YNL066W	
YPL141C	YDL110C	
YPL141C	YER175C	
YPL141C	YKL210W	
YPL141C	YJR103W	
YPL141C	YJL051W	
YPL141C	YKR047W	
YPL141C	YLR301W	
YPL141C	YMR196W	
YPL141C	YOR155C	
YKL101W	YJR047C	
YJL057C	YOR335C	
YPL209C	YOR141C	
YPR106W	YOR335C	
YCL024W	YOR141C	
YDR122W	YGR001C	
YKL101W	YOR141C	
YJL057C	YJR076C	
YPL209C	YIL010W	
YPR106W	YJR076C	
YCL024W	YJR092W	
YDR122W	YGL019W	
YKL101W	YDL220C	
YJL057C	YGR167W	
YPL209C	YLL008W	
YPR106W	YNL027W	
YCL024W	YNL027W	
YDR122W	YIR004W	
YKL101W	YGL003C	
YJL057C	YJR032W	
YPL209C	YDR098C	
YPR106W	YLR060W	
YCL024W	YKR071C	
YDR122W	YPL133C	
YKL101W	YBR176W	
YJL057C	YDR179C	
YPL209C	YOR288C	
YPR106W	YFL023W	
YCL024W	YLR060W	
YDR122W	YIL165C	
YKL101W	YGR187C	
YJL057C	YHR055C	
YPL209C	YLR248W	
YPR106W	YML048W	
YCL024W	YCL035C	
YKL101W	YGR244C	
YJL057C	YDR273W	
YPL209C	YMR235C	
YPR106W	YNL104C	
YCL024W	YDR098C	
YKL101W	YIL139C	
YJL057C	YDR147W	
YPL209C	YGL076C	
YPR106W	YDL103C	
YCL024W	YML062C	
YKL101W	YPR036W	
YJL057C	YMR192W	
YPL209C	YMR229C	
YPR106W	YMR139W	
YCL024W	YJR112W	
YKL101W	YDR521W	
YJL057C	YLR309C	
YPL209C	YBL011W	
YPR106W	YHL024W	
YCL024W	YJR062C	
YKL101W	YGL034C	
YJL057C	YNL117W	
YPL209C	YLR055C	
YPR106W	YGR180C	
YCL024W	YKL181W	
YKL101W	YGR017W	
YJL057C	YDR397C	
YPL209C	YMR260C	
YPR106W	YOR027W	
YCL024W	YEL037C	
YKL101W	YGR168C	
