P	Target
YBR160W	YIR010W
YFR028C	YIR010W
YBR136W	YGL043W
YBL088C	YGL043W
YPL153C	YDL101C
YBR136W	YDL101C
YBL088C	YDL101C
YDR490C	YHL016C
YOL100W	YHL016C
YBR136W	YPR023C
YBL088C	YPR023C
YLL010C	YKL204W
YNL307C	YKL204W
YLL010C	YMR171C
YBR160W	YBL101C
YPR119W	YBL101C
YDL101C	YBL101C
YBR160W	YJL201W
YDL230W	YGL222C
YBR160W	YBL047C
YBR125C	YBL047C
YLR019W	YBL047C
YML057W	YBL047C
YBL016W	YBL047C
YPL031C	YBL047C
YNL032W	YMR031C
YNL307C	YMR031C
YDR477W	YMR031C
YKL126W	YMR031C
YOL045W	YMR031C
YIR026C	YMR031C
YIL042C	YMR031C
YIL035C	YMR031C
YPL141C	YMR031C
YBR160W	YNL230C
YOL045W	YKL160W
YBR160W	YKL048C
YKL171W	YOL158C
YBR136W	YBR247C
YBL088C	YBR247C
YPL153C	YBR247C
YIL095W	YDL161W
YGR262C	YJR125C
YBR160W	YMR124W
YPR119W	YMR124W
YBR160W	YMR219W
YPL153C	YMR219W
YDR477W	YMR219W
YBL016W	YDR365C
YML057W	YDR365C
YDR477W	YOR051C
YPL153C	YOR033C
YBR160W	YBR102C
YPR119W	YBR102C
YBR160W	YFR019W
YBR160W	YJL157C
YPR119W	YJL157C
YPL256C	YJL157C
YJL164C	YLR377C
YNL307C	YCR034W
YBR160W	YDR130C
YPR119W	YDR130C
YIL035C	YJR093C
YOR061W	YJR093C
YGL019W	YJR093C
YOR039W	YJR093C
YBR160W	YER032W
YPR119W	YER032W
YBR160W	YNL068C
YPR119W	YNL068C
YBR160W	YPL221W
YBR160W	YNR047W
YOL045W	YNL135C
YHR082C	YML074C
YML057W	YML074C
YNR031C	YML074C
YIL035C	YML074C
YOR061W	YML074C
YGL019W	YML074C
YOR039W	YML074C
YNL053W	YML074C
YDL108W	YLR449W
YLR113W	YLL043W
YBR160W	YPL141C
YBR160W	YAL034C
YPL153C	YAL019W
YHR135C	YBR021W
YBL016W	YMR232W
YDL159W	YBL016W
YNL053W	YBL016W
YER075C	YBL016W
YIL035C	YGR196C
YBR160W	YOR178C
YPR119W	YOR178C
YPL042C	YPL248C
YNL025C	YPL248C
YBR160W	YPL248C
YDL108W	YPL248C
YPR025C	YPL248C
YDR477W	YER027C
YIL035C	YER027C
YOR061W	YER027C
YGL019W	YER027C
YOR039W	YER027C
YKL198C	YFL021W
YDL028C	YDR211W
YPL042C	YEL009C
YPR025C	YEL009C
YPL031C	YEL009C
YNL289W	YEL009C
YHR071W	YEL009C
YDR477W	YGR252W
YNL307C	YDL226C
YIL035C	YDL226C
YBR160W	YDL226C
YPR119W	YDL226C
YBR160W	YMR255W
YPR119W	YMR255W
YKL198C	YDR309C
YBR160W	YDR309C
YPR119W	YDR309C
YBR160W	YDR507C
YLR019W	YDR507C
YPR119W	YDR507C
