	r	p	ψ
T1	1.0	1.0	0.6357561205528413
T2	1.0	1.0	0.32268633272651887
T3	1.0	1.0	0.579707841711314
T4	0.0003235189593861262	0.0004382281060806523	0.00016914655524830302
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.359703279856748	0.35967618986535244	0.0
O2	0.18535069905796273	0.185471906661824	0.0
O3	0.05458472944288284	0.05833758730156236	0.0
O4	0.7031163391264545	0.7032853359598525	0.0
