/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_1
loss	sse	Lt	Lp
1154.62234	1152.90591	15.38042	10.21346
1001.89499	999.99183	16.22952	11.43103
896.20330	893.38503	21.81425	14.14354
815.14558	811.38923	26.24191	16.76482
747.30210	742.61866	29.47761	19.18728
672.54015	666.55015	32.47785	22.25457
624.15161	617.11688	34.07194	24.33202
579.32591	571.75625	34.77542	25.39630
547.73447	540.26218	34.76975	25.40055
521.73859	514.45704	34.66213	25.23389
499.75952	492.53781	34.69396	25.25670
480.47425	473.15987	34.95988	25.46788
460.12614	452.64653	35.30254	25.80240
444.79544	437.19868	35.49113	26.07107
430.64420	422.94313	35.67139	26.31028
417.44242	409.61927	35.85285	26.55887
405.05056	397.07006	36.02727	26.83415
393.34246	385.19255	36.20127	27.12258
382.17992	373.87297	36.36191	27.39981
369.41622	360.91342	36.55485	27.74047
357.25345	348.56990	36.72518	28.06353
347.56578	338.72380	36.86522	28.33423
338.26964	329.24993	37.00395	28.62987
327.58437	318.36467	37.15320	28.97263
317.39079	307.98601	37.30612	29.27483
307.66157	298.08898	37.44895	29.54767
299.90077	290.17962	37.57486	29.76970
290.98996	281.09327	37.71830	30.03424
282.47448	272.42181	37.83689	30.27282
274.34730	264.13346	37.96155	30.51655
267.84313	257.50290	38.05240	30.70382
261.55600	251.09722	38.14990	30.88311
255.49710	244.90661	38.25239	31.05164
248.46208	237.75023	38.35908	31.23316
241.67327	230.86396	38.45490	31.40198
235.12062	224.21845	38.56537	31.56258
229.81956	218.85152	38.65426	31.68114
223.65765	212.60781	38.77116	31.82241
218.69830	207.55967	38.86961	31.95143
213.85891	202.65976	38.95895	32.06866
209.15531	197.90267	39.06243	32.17927
204.57715	193.27736	39.14691	32.28905
199.23363	187.88457	39.27488	32.40478
194.08763	182.67628	39.39222	32.53860
189.93318	178.47226	39.48926	32.64638
185.09733	173.59115	39.59792	32.76360
181.18639	169.64197	39.68867	32.85664
176.62716	165.05057	39.79440	32.95918
172.21711	160.61508	39.89216	33.05570
168.65067	157.03154	39.97664	33.13417
164.49699	152.86280	40.06948	33.22384
161.13777	149.49135	40.14739	33.29945
157.86185	146.21707	40.22622	33.36879
154.04208	142.40308	40.30723	33.46053
150.34532	138.70988	40.39198	33.55940
147.36595	135.72704	40.45745	33.64438
143.89461	132.25073	40.51905	33.74089
141.08742	129.44379	40.56014	33.81327
138.35149	126.72338	40.60056	33.88188
135.69135	124.06754	40.64450	33.95466
132.58561	120.97944	40.67943	34.03964
129.58151	117.98596	40.70792	34.12202
127.14983	115.57251	40.72757	34.18991
124.31967	112.76022	40.73620	34.26865
121.57454	110.03461	40.77039	34.34124
118.92671	107.39125	40.77685	34.42129
116.36336	104.84241	40.76748	34.49451
113.87398	102.36398	40.77403	34.56368
111.46987	99.96516	40.76908	34.63009
109.52204	98.02443	40.77217	34.68220
107.63327	96.14043	40.76826	34.73158
105.42091	93.94972	40.75653	34.78396
103.62904	92.17218	40.75280	34.82165
101.88228	90.44839	40.74382	34.85356
100.17874	88.76379	40.73666	34.88758
98.52287	87.13396	40.71701	34.92163
96.58634	85.22728	40.70248	34.95997
94.71061	83.37984	40.68998	34.99501
93.19401	81.88640	40.67083	35.02556
91.71511	80.42465	40.67163	35.04997
89.97936	78.73245	40.64652	35.07094
88.30143	77.08397	40.62870	35.09236
86.68016	75.48355	40.62449	35.11341
85.35538	74.19769	40.59175	35.12327
84.07285	72.93698	40.58101	35.13738
82.57419	71.46614	40.57460	35.14846
80.87071	69.81317	40.55113	35.15527
79.46800	68.43100	40.54664	35.17681
78.10399	67.10289	40.51632	35.19706
77.00240	66.01740	40.52438	35.21203
75.70803	64.75719	40.49607	35.22850
74.65834	63.73635	40.47438	35.24009
73.63438	62.73647	40.46423	35.25326
72.63007	61.76183	40.43209	35.26671
71.64951	60.80767	40.41336	35.27664
70.69371	59.87675	40.39724	35.28452
69.75605	58.96454	40.37860	35.29176
68.65468	57.89992	40.35117	35.29529
67.58214	56.85763	40.33327	35.29891
66.53554	55.84988	40.29367	35.30181
65.51584	54.86082	40.27348	35.30167
64.52015	53.90191	40.24664	35.29720
63.55279	52.96661	40.22236	35.29623
62.60691	52.05638	40.19487	35.29638
61.69003	51.16363	40.17577	35.29404
60.79109	50.29784	40.15117	35.29154
59.91605	49.45102	40.12250	35.29937
59.20608	48.76200	40.10453	35.30367
58.37032	47.95560	40.08483	35.30794
57.69069	47.29888	40.05711	35.31129
56.88786	46.52699	40.03630	35.31719
56.11358	45.77318	40.01613	35.32672
55.47295	45.16055	39.99987	35.33052
54.84854	44.55782	39.97683	35.33619
54.11599	43.85077	39.96054	35.34366
53.40022	43.16644	39.92479	35.34960
52.82164	42.60092	39.91856	35.35744
52.25245	42.05141	39.89623	35.36813
51.69103	41.51151	39.87129	35.37674
51.14460	40.98528	39.85230	35.38452
50.60320	40.46511	39.84364	35.39163
49.97147	39.85535	39.81743	35.40115
49.34980	39.26227	39.79585	35.40760
48.84124	38.77370	39.77920	35.41195
48.24118	38.20168	39.75556	35.41758
47.75013	37.73359	39.73490	35.42030
47.17501	37.18235	39.71711	35.42511
46.70734	36.73587	39.68772	35.43399
46.24852	36.29640	39.67259	35.43794
45.79901	35.86394	39.65068	35.44522
45.26885	35.35603	39.62912	35.45748
44.74990	34.86002	39.60791	35.46756
44.23757	34.37149	39.58829	35.47929
43.73845	33.89205	39.57801	35.48555
43.32886	33.50435	39.55351	35.49110
42.84371	33.04355	39.53598	35.49645
