/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_2
loss	sse	Lt	Lp
7.41210	3.10843	25.01670	32.05065
7.36030	3.06500	25.01818	32.03605
7.30898	3.02290	25.00070	32.01993
7.25725	2.98296	24.98708	32.00118
7.20057	2.93587	24.97672	31.98281
7.14379	2.88816	24.96666	31.96211
7.09564	2.85173	24.95044	31.94443
7.05211	2.81487	24.94705	31.92479
6.99829	2.77047	24.93083	31.90747
6.94599	2.72999	24.91334	31.88591
6.89497	2.68907	24.90361	31.86463
6.84586	2.65270	24.88386	31.84196
6.79564	2.61120	24.87825	31.81950
6.75741	2.58325	24.85900	31.80221
6.71302	2.54527	24.86346	31.78016
6.67457	2.51622	24.83778	31.76306
6.62941	2.48175	24.82705	31.74174
6.58755	2.44825	24.82034	31.72329
6.55179	2.42139	24.79909	31.71068
6.51246	2.38612	24.80115	31.69519
6.46406	2.35175	24.77908	31.66468
6.42537	2.32104	24.77387	31.64913
6.39247	2.29715	24.75120	31.63625
6.35661	2.26959	24.74639	31.61596
6.31855	2.23991	24.73733	31.59846
6.28399	2.21341	24.71894	31.58334
6.25551	2.18975	24.71697	31.57030
6.22118	2.16399	24.70255	31.55256
6.19167	2.14367	24.68168	31.54142
6.15533	2.11583	24.66856	31.52584
6.12743	2.09798	24.65613	31.50823
6.09708	2.07075	24.65236	31.49533
6.06522	2.04850	24.62746	31.48035
6.03016	2.02141	24.62309	31.45947
6.00098	1.99987	24.59842	31.45205
5.97004	1.97602	24.58844	31.43483
5.94669	1.95750	24.57890	31.42466
5.92588	1.94287	24.57090	31.41268
5.89758	1.91959	24.55685	31.40304
5.87467	1.90163	24.55197	31.39224
5.84684	1.88247	24.53404	31.37904
5.82320	1.86409	24.52393	31.36855
5.79786	1.84631	24.50980	31.35445
5.77149	1.82615	24.50677	31.33994
5.75200	1.80786	24.49984	31.33493
5.72805	1.79287	24.48234	31.32352
5.70801	1.77693	24.47506	31.31083
5.68392	1.75896	24.46490	31.30063
5.65951	1.74234	24.44688	31.29016
5.63653	1.72608	24.42874	31.28001
5.61843	1.70825	24.43492	31.27278
5.58830	1.68710	24.42223	31.25637
5.56403	1.67076	24.39658	31.24409
5.53739	1.65213	24.38869	31.22947
5.51803	1.64016	24.37136	31.21920
5.49506	1.62231	24.35581	31.21372
5.47526	1.60477	24.36178	31.20216
5.45774	1.59517	24.34172	31.19532
5.44098	1.58083	24.32697	31.18711
5.42466	1.56972	24.32743	31.17547
5.40300	1.55675	24.31568	31.16188
5.38740	1.54240	24.30839	31.15753
5.36774	1.52847	24.29071	31.15307
5.35032	1.51692	24.27829	31.14494
5.33574	1.50411	24.27099	31.13903
5.31988	1.49467	24.26358	31.12965
5.30034	1.48015	24.25085	31.12209
5.28646	1.47014	24.24070	31.11468
5.27188	1.45874	24.23591	31.10627
5.25751	1.44931	24.22572	31.10083
5.24381	1.43620	24.22446	31.09531
5.22617	1.42478	24.21359	31.08779
5.21326	1.41539	24.20626	31.08224
5.19476	1.40231	24.19463	31.07477
5.17814	1.39108	24.17681	31.07135
5.16084	1.37993	24.16333	31.06338
5.14502	1.36780	24.15966	31.05625
5.12789	1.35479	24.14134	31.04998
5.11372	1.34481	24.13966	31.04179
5.09667	1.33281	24.13183	31.02966
5.08193	1.31902	24.12387	31.02922
5.06610	1.31143	24.10693	31.01782
5.05087	1.29990	24.09429	31.01053
5.03484	1.28656	24.09369	31.00262
5.02280	1.27956	24.08362	30.99320
5.01191	1.27041	24.07864	30.98661
4.99777	1.25933	24.07524	30.97797
4.98442	1.24971	24.06255	30.97411
4.96911	1.24099	24.05383	30.96278
4.95535	1.22937	24.04826	30.95425
4.94058	1.22177	24.03007	30.94307
4.92911	1.20936	24.03861	30.93686
4.91362	1.20125	24.01943	30.92575
4.90293	1.19315	24.01782	30.91865
4.89067	1.18408	24.00730	30.91072
4.88072	1.17578	24.00464	30.90934
4.86847	1.16892	23.99023	30.89920
4.85432	1.15818	23.98528	30.88986
4.84355	1.15126	23.97942	30.88045
4.83022	1.14246	23.96953	30.87232
4.81837	1.13238	23.96128	30.86379
4.81027	1.12606	23.95930	30.85958
4.80090	1.11907	23.95592	30.85159
4.79076	1.11230	23.94872	30.84192
4.78097	1.10649	23.93231	30.83632
4.77134	1.09799	23.93713	30.83598
4.76093	1.09015	23.92753	30.83655
4.75045	1.08504	23.91344	30.83539
4.74346	1.07769	23.91107	30.83801
4.73288	1.06948	23.91544	30.83799
4.72203	1.06351	23.89898	30.83822
4.71465	1.05395	23.90916	30.84007
4.70768	1.05194	23.89681	30.83685
4.69726	1.04477	23.88281	30.83793
4.68941	1.03902	23.88384	30.83643
4.67973	1.03163	23.87617	30.83393
4.67060	1.02433	23.87082	30.83480
4.66338	1.01898	23.86693	30.83119
4.65510	1.01534	23.85586	30.82729
4.64607	1.00826	23.85736	30.82477
4.63922	1.00123	23.84937	30.82835
4.63102	0.99658	23.84385	30.82499
4.62194	0.98848	23.84209	30.82493
4.61501	0.98543	23.83408	30.82139
4.60659	0.97781	23.82951	30.82263
4.59650	0.97301	23.81559	30.82031
4.59032	0.96695	23.81188	30.82104
4.58515	0.96155	23.81553	30.81797
4.57611	0.95734	23.80565	30.81645
4.57043	0.95247	23.79869	30.81603
4.56199	0.94565	23.80181	30.81763
