P	Target	Relationship
YBR059C	YMR004W	kinase
YBR059C	YMR139W	kinase
YBR059C	YMR196W	kinase
YBR059C	YNL104C	kinase
YBR059C	YNL272C	kinase
YBR059C	YOL066C	kinase
YBR059C	YOR027W	kinase
YBR059C	YOR329C	kinase
YBR059C	YPR095C	kinase
YBR097W	YAR009C	kinase
YBR097W	YDL173W	kinase
YBR097W	YLR240W	kinase
YBR125C	YBL047C	phosphatase
YBR125C	YLR113W	phosphatase
YBR136W	YAR007C	kinase
YBR136W	YBL002W	kinase
YBR136W	YBL003C	kinase
YBR136W	YBL046W	kinase
YBR136W	YBL051C	kinase
YBR136W	YBR072W	kinase
YBR136W	YBR081C	kinase
YBR136W	YBR112C	kinase
YBR136W	YBR127C	kinase
YBR136W	YBR136W	kinase
YBR136W	YBR233W-A	kinase
YBR136W	YBR236C	kinase
YBR136W	YBR247C	kinase
YBR136W	YBR274W	kinase
YBR136W	YBR275C	kinase
YBR136W	YCL061C	kinase
YBR136W	YCR057C	kinase
YBR136W	YDL003W	kinase
YBR136W	YDL101C	kinase
YBR136W	YDL102W	kinase
YBR136W	YDL201W	kinase
YBR136W	YDL220C	kinase
YBR136W	YDR016C	kinase
YBR136W	YDR076W	kinase
YBR136W	YDR097C	kinase
YBR136W	YDR113C	kinase
YBR136W	YDR121W	kinase
YBR136W	YDR138W	kinase
YBR136W	YDR145W	kinase
YBR136W	YDR167W	kinase
YBR136W	YDR217C	kinase
YBR136W	YDR225W	kinase
YBR136W	YDR227W	kinase
YBR136W	YDR285W	kinase
YBR136W	YDR310C	kinase
YBR136W	YDR334W	kinase
YBR136W	YDR499W	kinase
YBR136W	YEL037C	kinase
YBR136W	YER095W	kinase
YBR136W	YER133W	kinase
YBR136W	YER169W	kinase
YBR136W	YFL013C	kinase
YBR136W	YFL014W	kinase
YBR136W	YGL043W	kinase
YBR136W	YGL066W	kinase
YBR136W	YGL116W	kinase
YBR136W	YGL150C	kinase
YBR136W	YGL175C	kinase
YBR136W	YGR211W	kinase
YBR136W	YGR240C	kinase
YBR136W	YGR244C	kinase
YBR136W	YGR270W	kinase
YBR136W	YHR030C	kinase
