P	Target
YAR019C	YGR092W
YBL016W	YBL047C
YBL016W	YBR083W
YBL016W	YDR365C
YBL016W	YLR452C
YBL016W	YMR232W
YBL016W	YOR212W
YBR160W	YAL024C
YBR160W	YAL031C
YBR160W	YAL038W
YBR160W	YAL040C
YBR160W	YAR002W
YBR160W	YAR033W
YBR160W	YBL005W-A
YBR160W	YBL007C
YBR160W	YBL024W
YBR160W	YBL035C
YBR160W	YBL046W
YBR160W	YBL047C
YBR160W	YBL051C
YBR160W	YBL058W
YBR160W	YBL084C
YBR160W	YBL085W
YBR160W	YBL101C
YBR160W	YBR038W
YBR160W	YBR059C
YBR160W	YBR060C
YBR160W	YBR068C
YBR160W	YBR102C
YBR160W	YBR156C
YBR160W	YBR200W
YBR160W	YBR214W
YBR160W	YBR245C
YBR160W	YCL014W
YBR160W	YCL019W
YBR160W	YCR088W
YBR160W	YDL017W
YBR160W	YDL042C
YBR160W	YDL048C
YBR160W	YDL088C
YBR160W	YDL089W
YBR160W	YDL099W
YBR160W	YDL131W
YBR160W	YDL156W
YBR160W	YDL173W
YBR160W	YDL182W
YBR160W	YDL195W
YBR160W	YDL220C
YBR160W	YDL223C
YBR160W	YDL226C
YBR160W	YDL234C
YBR160W	YDR001C
YBR160W	YDR006C
YBR160W	YDR028C
YBR160W	YDR052C
YBR160W	YDR089W
YBR160W	YDR096W
YBR160W	YDR097C
YBR160W	YDR103W
YBR160W	YDR130C
YBR160W	YDR137W
YBR160W	YDR146C
YBR160W	YDR159W
YBR160W	YDR170C
YBR160W	YDR216W
YBR160W	YDR217C
YBR160W	YDR227W
YBR160W	YDR285W
YBR160W	YDR293C
YBR160W	YDR309C
YBR160W	YDR310C
YBR160W	YDR326C
YBR160W	YDR348C
YBR160W	YDR356W
YBR160W	YDR369C
YBR160W	YDR379W
YBR160W	YDR389W
YBR160W	YDR409W
YBR160W	YDR422C
YBR160W	YDR436W
YBR160W	YDR439W
YBR160W	YDR443C
YBR160W	YDR507C
YBR160W	YDR515W
YBR160W	YEL032W
YBR160W	YEL043W
YBR160W	YER032W
YBR160W	YER033C
YBR160W	YER054C
YBR160W	YER075C
YBR160W	YER079W
YBR160W	YER088C
YBR160W	YER093C
YBR160W	YER111C
YBR160W	YER114C
YBR160W	YER120W
YBR160W	YER129W
YBR160W	YER149C
YBR160W	YER155C
YBR160W	YER161C
YBR160W	YER167W
YBR160W	YER169W
YBR160W	YFL007W
YBR160W	YFL026W
YBR160W	YFL033C
YBR160W	YFL034C-B
YBR160W	YFL042C
YBR160W	YFR019W
YBR160W	YFR028C
YBR160W	YGL003C
YBR160W	YGL035C
YBR160W	YGL049C
YBR160W	YGL090W
YBR160W	YGL093W
YBR160W	YGL113W
YBR160W	YGL175C
YBR160W	YGL197W
YBR160W	YGR005C
YBR160W	YGR092W
YBR160W	YGR097W
YBR160W	YGR125W
YBR160W	YGR178C
YBR160W	YGR184C
YBR160W	YGR253C
YBR160W	YHL007C
YBR160W	YHL028W
YBR160W	YHL029C
YBR160W	YHR036W
YBR160W	YHR094C
YBR160W	YHR102W
YBR160W	YHR118C
YBR160W	YHR149C
YBR160W	YHR152W
YBR160W	YHR158C
YBR160W	YHR159W
YBR160W	YHR164C
YBR160W	YHR166C
YBR160W	YIL024C
YBR160W	YIL031W
YBR160W	YIL033C
YBR160W	YIL046W
YBR160W	YIL063C
YBR160W	YIL101C
YBR160W	YIL106W
YBR160W	YIL112W
YBR160W	YIL114C
YBR160W	YIL115C
YBR160W	YIL122W
YBR160W	YIL135C
YBR160W	YIL153W
YBR160W	YIR007W
YBR160W	YIR010W
YBR160W	YIR023W
YBR160W	YJL013C
YBR160W	YJL020C
YBR160W	YJL076W
YBR160W	YJL084C
YBR160W	YJL092W
YBR160W	YJL095W
YBR160W	YJL146W
YBR160W	YJL157C
YBR160W	YJL187C
YBR160W	YJL193W
YBR160W	YJL194W
YBR160W	YJL201W
YBR160W	YJR033C
YBR160W	YJR059W
YBR160W	YJR070C
YBR160W	YJR083C
YBR160W	YKL005C
YBR160W	YKL022C
YBR160W	YKL038W
