P	Target
PKP1	YER178W
YAL009W	YMR165C
YAL017W	YFR003C
YAR018C	YIL144W
YAR019C	YGR092W
YAR019C	YIL106W
YBL009W	YLR335W
YBL016W	YBL047C
YBL016W	YBR083W
YBL016W	YDR103W
YBL016W	YDR365C
YBL016W	YDR480W
YBL016W	YHR084W
YBL016W	YJL157C
YBL016W	YLR310C
YBL016W	YLR452C
YBL016W	YMR232W
YBL016W	YNL053W
YBL016W	YNL271C
YBL016W	YOR212W
YBL016W	YPL049C
YBL056W	YBR160W
YBL056W	YLR113W
YBL088C	YAR007C
YBL088C	YBL002W
YBL088C	YBL046W
YBL088C	YBL051C
YBL088C	YBR072W
YBL088C	YBR081C
YBL088C	YBR112C
YBL088C	YBR127C
YBL088C	YBR136W
YBL088C	YBR233W-A
YBL088C	YBR236C
YBL088C	YBR247C
YBL088C	YBR275C
YBL088C	YCL061C
YBL088C	YCR057C
YBL088C	YDL003W
YBL088C	YDL101C
YBL088C	YDL102W
YBL088C	YDL201W
YBL088C	YDL220C
YBL088C	YDR016C
YBL088C	YDR097C
YBL088C	YDR121W
YBL088C	YDR138W
YBL088C	YDR145W
YBL088C	YDR167W
YBL088C	YDR217C
YBL088C	YDR227W
YBL088C	YDR285W
YBL088C	YDR310C
YBL088C	YDR334W
YBL088C	YDR369C
YBL088C	YEL037C
YBL088C	YER133W
YBL088C	YFL013C
YBL088C	YFL014W
YBL088C	YGL043W
YBL088C	YGL066W
YBL088C	YGL150C
YBL088C	YGL175C
YBL088C	YGR211W
YBL088C	YGR240C
YBL088C	YGR244C
YBL088C	YGR270W
YBL088C	YHR030C
YBL088C	YHR040W
YBL088C	YHR056C
YBL088C	YHR154W
YBL088C	YHR164C
YBL088C	YIL072W
YBL088C	YIL126W
YBL088C	YIL130W
YBL088C	YJL098W
YBL088C	YJL173C
YBL088C	YJL176C
YBL088C	YJR006W
YBL088C	YJR060W
YBL088C	YJR089W
YBL088C	YKL058W
YBL088C	YKL112W
YBL088C	YKR008W
YBL088C	YKR090W
YBL088C	YLL036C
YBL088C	YLR095C
YBL088C	YLR135W
YBL088C	YLR146C
YBL088C	YLR153C
YBL088C	YLR175W
YBL088C	YLR277C
YBL088C	YLR288C
YBL088C	YLR335W
YBL088C	YLR357W
YBL088C	YLR399C
YBL088C	YLR418C
YBL088C	YML070W
YBL088C	YMR016C
YBL088C	YMR167W
YBL088C	YMR224C
YBL088C	YMR236W
YBL088C	YMR309C
YBL088C	YNL123W
YBL088C	YNL312W
YBL088C	YOL004W
YBL088C	YOR123C
YBL088C	YOR189W
YBL088C	YOR304W
YBL088C	YOR368W
YBL088C	YOR372C
YBL088C	YPL023C
YBL088C	YPL153C
YBL088C	YPL194W
YBL088C	YPR023C
YBL088C	YPR034W
YBL088C	YPR133C
YBL105C	YBL039C
YBL105C	YBR023C
YBL105C	YDR356W
YBL105C	YHL020C
YBL105C	YHR030C
YBL105C	YJL095W
YBL105C	YJR066W
YBL105C	YKL203C
YBL105C	YLL028W
YBL105C	YLR133W
YBL105C	YMR205C
YBR028C	YBR181C
YBR028C	YBR238C
YBR059C	YBR059C
YBR059C	YBR157C
YBR059C	YDL161W
YBR059C	YLR206W
YBR059C	YPR095C
YBR097W	YAR009C
YBR097W	YDL173W
YBR097W	YLR240W
YBR125C	YBL047C
YBR125C	YLR113W
YBR136W	YAR007C
YBR136W	YBL002W
YBR136W	YBL003C
YBR136W	YBL046W
YBR136W	YBL051C
YBR136W	YBR072W
YBR136W	YBR081C
YBR136W	YBR112C
YBR136W	YBR127C
YBR136W	YBR136W
YBR136W	YBR233W-A
YBR136W	YBR236C
YBR136W	YBR247C
YBR136W	YBR274W
YBR136W	YBR275C
YBR136W	YCL061C
YBR136W	YCR057C
YBR136W	YDL003W
YBR136W	YDL101C
YBR136W	YDL102W
YBR136W	YDL201W
YBR136W	YDL220C
YBR136W	YDR016C
YBR136W	YDR076W
YBR136W	YDR097C
YBR136W	YDR121W
YBR136W	YDR138W
YBR136W	YDR145W
YBR136W	YDR167W
YBR136W	YDR217C
YBR136W	YDR225W
YBR136W	YDR227W
YBR136W	YDR285W
YBR136W	YDR310C
YBR136W	YDR334W
YBR136W	YDR499W
YBR136W	YEL037C
YBR136W	YER133W
YBR136W	YER169W
YBR136W	YFL013C
YBR136W	YFL014W
YBR136W	YGL043W
YBR136W	YGL066W
YBR136W	YGL116W
YBR136W	YGL150C
YBR136W	YGL175C
YBR136W	YGR211W
YBR136W	YGR240C
YBR136W	YGR244C
YBR136W	YGR270W
YBR136W	YHR030C
YBR136W	YHR040W
YBR136W	YHR056C
YBR136W	YHR154W
YBR136W	YHR164C
YBR136W	YIL072W
YBR136W	YIL126W
YBR136W	YIL130W
YBR136W	YJL092W
YBR136W	YJL098W
YBR136W	YJL173C
YBR136W	YJL176C
YBR136W	YJR006W
YBR136W	YJR035W
YBR136W	YJR060W
YBR136W	YJR089W
YBR136W	YKL058W
YBR136W	YKL112W
YBR136W	YKR008W
YBR136W	YLL036C
YBR136W	YLR095C
YBR136W	YLR135W
YBR136W	YLR146C
YBR136W	YLR153C
YBR136W	YLR175W
YBR136W	YLR176C
YBR136W	YLR265C
YBR136W	YLR277C
YBR136W	YLR288C
YBR136W	YLR335W
YBR136W	YLR357W
YBR136W	YLR399C
YBR136W	YLR418C
YBR136W	YML070W
YBR136W	YMR016C
YBR136W	YMR167W
YBR136W	YMR236W
YBR136W	YNL123W
YBR136W	YNL312W
YBR136W	YOL004W
YBR136W	YOR123C
YBR136W	YOR189W
YBR136W	YOR304W
YBR136W	YOR346W
YBR136W	YOR368W
YBR136W	YOR372C
YBR136W	YPL023C
YBR136W	YPL153C
YBR136W	YPL194W
YBR136W	YPR019W
YBR136W	YPR023C
YBR136W	YPR034W
YBR136W	YPR133C
YBR160W	YAL024C
YBR160W	YAL031C
YBR160W	YAL034C
YBR160W	YAL038W
YBR160W	YAL040C
YBR160W	YAL041W
YBR160W	YAR002W
YBR160W	YAR033W
YBR160W	YBL005W-A
YBR160W	YBL007C
YBR160W	YBL009W
YBR160W	YBL024W
YBR160W	YBL035C
YBR160W	YBL046W
YBR160W	YBL047C
YBR160W	YBL051C
YBR160W	YBL056W
YBR160W	YBL058W
YBR160W	YBL084C
YBR160W	YBL085W
YBR160W	YBL101C
YBR160W	YBL105C
YBR160W	YBR020W
YBR160W	YBR038W
YBR160W	YBR059C
YBR160W	YBR060C
YBR160W	YBR068C
YBR160W	YBR102C
YBR160W	YBR156C
YBR160W	YBR160W
YBR160W	YBR200W
YBR160W	YBR214W
YBR160W	YBR245C
YBR160W	YBR275C
