P	Target
PKP1	YER178W
YAR018C	YIL144W
YAR019C	YGR092W
YAR019C	YIL106W
YBL016W	YBR083W
YBL016W	YDR103W
YBL016W	YDR480W
YBL016W	YHR084W
YBL016W	YJL157C
YBL016W	YLR310C
YBL016W	YLR452C
YBL016W	YNL053W
YBL016W	YNL271C
YBL016W	YOR212W
YBL016W	YPL049C
YBL056W	YBR160W
YBL088C	YAR007C
YBL088C	YBL051C
YBL088C	YDL101C
YBL088C	YDR369C
YBL088C	YGL175C
YBL088C	YMR224C
YBL088C	YNL312W
YBL088C	YPL153C
YBL105C	YBL039C
YBL105C	YBR023C
YBL105C	YDR356W
YBL105C	YHL020C
YBL105C	YHR030C
YBL105C	YJL095W
YBL105C	YLL028W
YBL105C	YLR133W
YBR059C	YDL161W
YBR059C	YLR206W
YBR097W	YLR240W
YBR125C	YLR113W
YBR136W	YAR007C
YBR136W	YBL051C
YBR136W	YBR274W
YBR136W	YCL061C
YBR136W	YDL101C
YBR136W	YDR076W
YBR136W	YDR217C
YBR136W	YDR499W
YBR136W	YER169W
YBR136W	YGL116W
YBR136W	YGL175C
YBR136W	YHR154W
YBR136W	YJL092W
YBR136W	YLR135W
YBR136W	YLR176C
YBR136W	YLR265C
YBR136W	YNL312W
YBR136W	YOR189W
YBR136W	YPL153C
YBR160W	YAL024C
YBR160W	YAL040C
YBR160W	YAL041W
YBR160W	YAR002W
YBR160W	YBL009W
YBR160W	YBL056W
YBR160W	YBL084C
YBR160W	YBL085W
YBR160W	YBL105C
YBR160W	YBR020W
YBR160W	YBR160W
YBR160W	YBR200W
YBR160W	YCL055W
YBR160W	YCR065W
YBR160W	YDL017W
YBR160W	YDL025C
YBR160W	YDL028C
YBR160W	YDL106C
YBR160W	YDL126C
YBR160W	YDR052C
YBR160W	YDR103W
YBR160W	YDR113C
YBR160W	YDR130C
YBR160W	YDR146C
YBR160W	YDR162C
YBR160W	YDR176W
YBR160W	YDR356W
YBR160W	YDR501W
YBR160W	YDR507C
