	T1	T2	T3	T4	P1	P2	P3	P4
T1	-8.8576360825857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-6.169755420679666	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-8.293264531813918	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-5.825565845876698	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.931233818056317	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.705287211727925	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.892887061329437	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.282569038390538
O1	4.051416693062747e-5	-2.515083132621248	4.051328805884325e-5	4.0512318988422415e-5	4.0514196296835095e-5	0.11366362051237149	4.051417113398358e-5	4.051416516766473e-5
O2	2.86043011249965	-0.0063709805196713945	-0.00637301477466949	-0.0063721572816550906	2.860410125697678	-0.006372802633038674	-0.006374021618910583	-0.006374010867664031
O3	-2.787793359708111e-5	-2.7873942337965918e-5	-2.787680740552117e-5	-1.1535596887572266	-2.7877979143029962e-5	-2.7876533076086378e-5	0.9221485290211716	-2.787793099131503e-5
O4	-0.005704783154983752	-0.005699899156389345	2.122910973258228	-0.005701690472555966	-0.005704913205314075	-0.005702707734202596	-0.0057047985341809725	2.1228885994605737
