loss	sse	Lp	epoch	time
7260490.23478	7818277.78120	14408.45985	75	2020-02-06T21:22:17.442
7180879.92369	7733226.41735	14408.91659	76	2020-02-06T21:48:54.492
7103329.16272	7650374.29167	14409.35639	77	2020-02-06T22:15:11.557
7027647.88432	7569505.55554	14409.76750	78	2020-02-06T22:41:35.982
6953667.93153	7490428.40993	14410.14657	79	2020-02-06T23:07:17.93
6881246.85376	7412980.16786	14410.50473	80	2020-02-06T23:33:09.31
6810270.74821	7337030.79313	14410.85593	81	2020-02-06T23:58:41.919
6740656.64139	7262484.62296	14411.20745	82	2020-02-07T00:24:39.98
6672351.58692	7189280.03893	14411.55682	83	2020-02-07T00:50:56.318
6605329.85106	7117386.97068	14411.91598	84	2020-02-07T01:17:26.841
6539589.12840	7046802.51873	14412.28754	85	2020-02-07T01:43:52.941
6475145.37618	6977545.10915	14412.66019	86	2020-02-07T02:09:47.613
6412026.68350	6909647.68708	14413.03414	87	2020-02-07T02:36:06.534
6350266.81010	6843150.58876	14413.41842	88	2020-02-07T03:03:13.954
6289899.23789	6778094.70969	14413.83100	89	2020-02-07T03:29:23.024
6230951.83950	6714515.51355	14414.27297	90	2020-02-07T03:55:02.241
6173442.59671	6652438.28717	14414.73620	91	2020-02-07T04:21:54.3
6117376.66930	6591874.87209	14415.21665	92	2020-02-07T04:48:05.705
6062745.49467	6532821.97034	14415.71740	93	2020-02-07T05:13:57.889
6009526.57713	6475260.94629	14416.23260	94	2020-02-07T05:40:29.787
5957684.21447	6419158.85527	14416.75864	95	2020-02-07T06:06:09.781
5907171.78443	6364470.50461	14417.30034	96	2020-02-07T06:32:23.93
5857934.40351	6311141.19510	14417.85518	97	2020-02-07T06:58:37.4
5809911.72912	6259109.80332	14418.42547	98	2020-02-07T07:24:54.681
5763041.02946	6208311.95020	14419.00312	99	2020-02-07T07:51:16.256
5717259.59801	6158682.95383	14419.58786	100	2020-02-07T08:17:31.268
5672507.17758	6110160.38574	14420.17924	101	2020-02-07T08:43:26.698
5628727.97443	6062686.09866	14420.77888	102	2020-02-07T09:09:44.167
5585871.85391	6016207.63987	14421.38160	103	2020-02-07T09:35:47.727
5543894.86941	5970679.02020	14421.98556	104	2020-02-07T10:02:27.073
5502759.50235	5926060.85989	14422.59184	105	2020-02-07T10:28:45.728
5462434.13643	5882319.98143	14423.20338	106	2020-02-07T10:55:01.438
