loss	sse	Lt	Lp	epoch	time
57399.35665	50547.61801	23919.12061	486.73169	1	2019-12-09T14:25:59.283
56137.85826	49718.24351	23948.66621	468.47102	4	2019-12-09T14:42:33.245
55619.88915	49179.07114	24087.64513	468.80880	7	2019-12-09T14:59:17.41
55085.92531	48722.32967	24217.71547	463.95080	10	2019-12-09T15:15:47.526
54664.20387	48308.48782	24337.44157	464.25083	13	2019-12-09T15:32:37.11
54283.13906	47925.75480	24451.94063	465.09326	16	2019-12-09T15:49:25.775
53955.44494	47586.56025	24552.12214	466.99365	19	2019-12-09T16:06:44.653
53653.65149	47282.98851	24633.47823	468.66663	22	2019-12-09T16:23:50.142
53385.47244	47007.73218	24700.27305	470.95620	25	2019-12-09T16:40:33.615
53144.74962	46759.39979	24752.66275	473.30586	28	2019-12-09T16:57:28.328
52924.12457	46533.59848	24793.09722	475.58968	31	2019-12-09T17:14:25.571
52721.49198	46329.17844	24823.19127	477.81090	34	2019-12-09T17:31:12.497
52536.74683	46141.05239	24847.33746	480.09300	37	2019-12-09T17:47:45.813
52365.07406	45967.57869	24867.20190	482.30574	40	2019-12-09T18:04:20.069
52205.24515	45807.27149	24885.40277	484.38180	43	2019-12-09T18:20:45.634
52055.92590	45658.00437	24900.08606	486.39655	46	2019-12-09T18:38:10.812
51918.71452	45519.34765	24913.06260	488.36810	49	2019-12-09T18:54:35.808
51788.31063	45390.17802	24925.33302	490.22182	52	2019-12-09T19:11:25.048
51667.78216	45268.67705	24937.40173	492.11278	55	2019-12-09T19:27:54.705
51552.96028	45154.38769	24947.54311	493.82135	58	2019-12-09T19:44:40.263
51443.66666	45046.54796	24956.75779	495.51890	61	2019-12-09T20:00:42.38
51339.92569	44945.08473	24965.54317	497.07684	64	2019-12-09T20:17:18.314
51243.02742	44847.74311	24975.62969	498.74053	67	2019-12-09T20:33:23.69
51150.83905	44755.70859	24983.84714	500.37702	70	2019-12-09T20:49:23.319
51063.30322	44667.97107	24991.17080	501.98589	73	2019-12-09T21:06:11.792
50978.50968	44585.34164	24997.56410	503.46893	76	2019-12-09T21:22:18.303
50898.58739	44505.13190	25004.56086	505.01271	79	2019-12-09T21:38:34.936
50821.81416	44429.57572	25008.73715	506.54373	82	2019-12-09T21:55:09.189
50748.03024	44356.92136	25013.79913	508.07897	85	2019-12-09T22:12:11.367
50678.16661	44286.20414	25018.58585	509.67679	88	2019-12-09T22:28:33.536
50610.14333	44219.76495	25021.46494	511.12629	91	2019-12-09T22:45:25.126
50544.61423	44156.24543	25025.82846	512.53730	94	2019-12-09T23:01:54.211
50482.74897	44095.33206	25029.39379	513.93069	97	2019-12-09T23:18:22.329
50422.48851	44036.70076	25032.61032	515.32482	100	2019-12-09T23:35:08.043
50364.63275	43979.83778	25036.04597	516.72905	103	2019-12-09T23:51:26.21
50308.67950	43925.52595	25039.04999	518.03893	106	2019-12-10T00:08:04.96
