_	r	p	ψ
TF1	1.0	1.0	0.0021587930687989565
TF2	1.0	1.0	0.18338905115023613
KP1	0.0004542723434782927	0.00047268303931605193	0.0007126661999651931
KP2	1.0	1.0	0.000990235215985909
KP3	0.0886629844172181	0.08902011347443	0.09022010909616855
O1	0.9992412034230503	0.9975323375200257	0.0
