_	r	p	ψ
TF1	1.0	1.0	0.4400909093220275
TF2	0.00022328820756669295	0.00027439125144648253	0.00018112126221943715
KP1	1.0	1.0	1.0
KP2	1.0	1.0	0.499999999992305
KP3	0.5531981622639581	0.5520000956340065	0.5480492419735071
O1	0.06036207305024466	0.06176045492444389	0.0
