_	r	p	ψ
T1	1.0	1.0	0.6762423483616902
T2	1.0	1.0	0.9972276141565366
P1	1.0	1.0	1.0
P2	0.0005915725126747508	0.0008204400049101414	0.0008204400049101414
O1	0.4678391381717745	0.46520537597333705	0.0
O2	0.578387630978202	0.5784796998331024	0.0
