_	r	p	ψ
T1	1.0	1.0	0.607358389770312
T2	1.0	1.0	0.195252468576488
P1	0.000796628738977332	0.0066593555686300385	0.005313062144886878
P2	1.0	1.0	0.5718511976156423
O1	0.03448602880412475	0.03449739916471287	0.0
O2	0.4378399750990748	0.43504591733178843	0.0
