t	r_T1	r_T2	r_P1	r_P2	r_O1	r_O2	p_T1	p_T2	p_P1	p_P2	p_O1	p_O2	ψ_T1	ψ_T2	ψ_P1	ψ_P2
0.0	1.0	1.0	1.0	1.0	0.002740362681969281	1.0	1.0	1.0	1.0	1.0	0.0027403626819692815	1.0	0.03992423625734658	0.9322006431793048	1.0	1.0
0.09379383813518612	1.0	1.0	1.0	1.0	0.0047135960633382734	0.9997962157014979	1.0	1.0	1.0	1.0	0.0027447056945377225	0.9999998333929419	0.045762229776818736	0.9243654560461384	0.9980264836683937	0.9978775951767521
0.8211500399014354	1.0	1.0	1.0	1.0	0.019621180427681694	0.99721090637063	1.0	1.0	1.0	1.0	0.003064499435245325	0.999982330481832	0.0893044704056391	0.8665740094781942	0.9829998020805496	0.9817718791336406
1.8211500399014353	1.0	1.0	1.0	1.0	0.03891064327624366	0.991059600097282	1.0	1.0	1.0	1.0	0.004275365970355402	0.9998825445805343	0.14447141845989397	0.7950289567586792	0.963121974423524	0.9606183258967245
2.8211500399014353	1.0	1.0	1.0	1.0	0.05669371277823841	0.9824929293305819	1.0	1.0	1.0	1.0	0.00628113302483492	0.9996530565805927	0.1946918213077375	0.7315849594965843	0.9441129921368618	0.940556380949397
3.8211500399014353	1.0	1.0	1.0	1.0	0.07286327755992542	0.9720885472881956	1.0	1.0	1.0	1.0	0.008973683257826817	0.9992586435653864	0.24045067018967878	0.675232563783544	0.9259348786221829	0.921529712920538
4.821150039901435	1.0	1.0	1.0	1.0	0.0873397756513179	0.9603100865697934	1.0	1.0	1.0	1.0	0.012245532468250641	0.9986739327723424	0.2821801076386714	0.6251019789360145	0.9085513172105648	0.903484897363977
5.821150039901435	1.0	1.0	1.0	1.0	0.10008270764981429	0.9475208393075131	1.0	1.0	1.0	1.0	0.01599134341879281	0.9978812986470955	0.32026580981107866	0.5804417755547948	0.8919275786082352	0.886371266749493
6.821150039901435	1.0	1.0	1.0	1.0	0.111097519129798	0.9340046935895643	1.0	1.0	1.0	1.0	0.02010980005316636	0.996869133452224	0.3550525243556321	0.540601121719357	0.8760304515135601	0.870140768194881
7.821150039901435	1.0	1.0	1.0	1.0	0.12043627654553053	0.9199843442918109	1.0	1.0	1.0	1.0	0.024505570925744652	0.9956305005776975	0.3868488847825111	0.5050149244707991	0.8608281762667128	0.8547478285396151
8.821150039901436	1.0	1.0	1.0	1.0	0.12819226120023697	0.9056354758112652	1.0	1.0	1.0	1.0	0.029091069166994363	0.9941620985942712	0.4159316037139507	0.47319136457702127	0.8462903813994681	0.8401492263812527
9.821150039901436	1.0	1.0	1.0	1.0	0.13449015556782995	0.8910974667364324	1.0	1.0	1.0	1.0	0.03378777330130312	0.9924634630262662	0.44254913185558953	0.4447014089480689	0.8323880229583579	0.8263039707152735
10.821150039901436	1.0	1.0	1.0	1.0	0.1394742742002618	0.8764814209409408	1.0	1.0	1.0	1.0	0.0385269824235049	0.9905363471575052	0.4669248564981936	0.4191699622013034	0.8190933264799685	0.8131731858375911
11.821150039901436	1.0	1.0	1.0	1.0	0.1432971592124661	0.8618762165461071	1.0	1.0	1.0	1.0	0.04324999758956183	0.9883842376844256	0.48925990241240064	0.39626838081786353	0.8063797315024542	0.8007200021865561
12.821150039901436	1.0	1.0	1.0	1.0	0.14611012238097743	0.8473530989305917	1.0	1.0	1.0	1.0	0.04790781244996491	0.9860119725951512	0.5097355887822094	0.37570812324043257	0.7942218385024137	0.7889094528179507
13.821150039901436	1.0	1.0	1.0	1.0	0.14805642389423324	0.8329692023166159	1.0	1.0	1.0	1.0	0.052460444107322285	0.9834254372504263	0.5285155880464611	0.35723534960532666	0.7825953581511153	0.777708375222289
14.821150039901436	1.0	1.0	1.0	1.0	0.1492670634868666	0.8187702775082801	1.0	1.0	1.0	1.0	0.056876043257490974	0.9806313208858116	0.5457478259429983	0.3406263175154345	0.771477062788697	0.7670853182087398
15.821150039901436	1.0	1.0	1.0	1.0	0.14985874615151193	0.804792826093571	1.0	1.0	1.0	1.0	0.06112990445993335	0.9776369202658726	0.5615661564806507	0.32568344686879314	0.7608447400193933	0.7570104535942116
16.821150039901436	1.0	1.0	1.0	1.0	0.1499334393650858	0.7910657864384507	1.0	1.0	1.0	1.0	0.06520346754216505	0.9744499804911783	0.5760918408368285	0.3122319484646746	0.7506771483350809	0.7474554924496362
17.821150039901436	1.0	1.0	1.0	1.0	0.14957896636819268	0.7776118777629061	1.0	1.0	1.0	1.0	0.0690833703938794	0.9710785653461139	0.5894348551582489	0.3001169288693365	0.740953974678487	0.7383936056682799
18.821150039901436	1.0	1.0	1.0	1.0	0.14887018818327574	0.7644486807632633	1.0	1.0	1.0	1.0	0.0727605874983828	0.9675309513338063	0.6016950488170161	0.2892008985959133	0.7316557938612783	0.7297993486330497
19.821150039901436	1.0	1.0	1.0	1.0	0.1478704530721864	0.751589513272703	1.0	1.0	1.0	1.0	0.07622966937991123	0.9638155408521821	0.6129631717504994	0.279361622642608	0.7227640297559571	0.7216485897712678
20.821150039901436	1.0	1.0	1.0	1.0	0.14663310360686785	0.7390441449934892	1.0	1.0	1.0	1.0	0.07948808537602922	0.9599407909474897	0.6233217870132897	0.2704902623247132	0.7142609181840299	0.7139184427963073
21.821150039901436	1.0	1.0	1.0	1.0	0.14520291709214658	0.7268193847706323	1.0	1.0	1.0	1.0	0.0825356644908696	0.9559151548267613	0.6328460825278178	0.2624897655177376	0.706129471426308	0.7065872024458321
