_	r	p	ψ
TF1	1.0	1.0	0.4400909093645446
TF2	1.0	1.0	0.001879757116863697
KP1	1.0	1.0	1.0
KP2	1.0	1.0	0.4999999999996365
KP3	0.00020491895389748965	0.00024141086613497183	0.00038867853908383903
O1	0.06175613243679449	0.06488788093333338	0.0
