_	r	p	ψ
T1	1.0	1.0	0.7348456106467488
T2	0.0003986490784848086	0.007038312007518059	0.0016866920167523747
P1	1.0	1.0	0.5282261068743593
P2	1.0	1.0	0.5718511976697442
O1	0.002761484824074626	0.0027865888227051163	0.0
O2	0.3866903406505331	0.3879288177244473	0.0
