t	r_TF1	r_TF2	r_KP1	r_KP2	r_KP3	r_O1	p_TF1	p_TF2	p_KP1	p_KP2	p_KP3	p_O1	ψ_TF1	ψ_TF2	ψ_KP1	ψ_KP2	ψ_KP3
221.2748059226132	1.0	1.0	1.0	1.0	0.001570556552734492	0.47877013660725154	1.0	1.0	1.0	1.0	0.01619720933049483	0.5668941763951487	0.44009090936670464	0.17422878226200642	1.0	0.49999999999999956	0.050159575810484816
222.2748059226132	1.0	1.0	1.0	1.0	0.001533979061768174	0.4754329609046924	1.0	1.0	1.0	1.0	0.01587390345742893	0.5641148602690345	0.44009090936670464	0.1722243763013864	1.0	0.49999999999999956	0.04930852308018316
223.2748059226132	1.0	1.0	1.0	1.0	0.0014983805606564036	0.4720872191222814	1.0	1.0	1.0	1.0	0.015556938311290484	0.5613181438792175	0.44009090936670464	0.17023459073497024	1.0	0.49999999999999956	0.04847071153105498
224.2748059226132	1.0	1.0	1.0	1.0	0.0014637348469148119	0.46873343350340946	1.0	1.0	1.0	1.0	0.015246195234465462	0.5585043087523452	0.44009090936670464	0.1682594825309402	1.0	0.49999999999999956	0.047645967581831775
225.2748059226132	1.0	1.0	1.0	1.0	0.0014300164193637307	0.4653721315803911	1.0	1.0	1.0	1.0	0.014941557618189251	0.5556736439482776	0.44009090936670464	0.16629910500620124	1.0	0.49999999999999956	0.04683411904671005
226.2748059226132	1.0	1.0	1.0	1.0	0.0013972004593579004	0.4620038458638267	1.0	1.0	1.0	1.0	0.014642910872589293	0.5528264459858143	0.44009090936670464	0.164353507859964	1.0	0.49999999999999956	0.046034995151270484
227.2748059226132	1.0	1.0	1.0	1.0	0.0013652628125185619	0.45862911352465807	1.0	1.0	1.0	1.0	0.014350142396980266	0.5499630187609911	0.44009090936670464	0.1624227372083258	1.0	0.49999999999999956	0.04524842654725613
228.2748059226132	1.0	1.0	1.0	1.0	0.001334179970954485	0.4552484760693384	1.0	1.0	1.0	1.0	0.01406314155041721	0.5470836734579565	0.44009090936670464	0.1605068356198162	1.0	0.49999999999999956	0.04447424532624449
229.2748059226132	1.0	1.0	1.0	1.0	0.001303929055958848	0.45186247900855525	1.0	1.0	1.0	1.0	0.013781799622511505	0.5441887284524518	0.44009090936670464	0.1586058421518742	1.0	0.49999999999999956	0.04371228503224752
230.2748059226132	1.0	1.0	1.0	1.0	0.0012744878011692316	0.44847167151996026	1.0	1.0	1.0	1.0	0.013506009804514312	0.5412785092079314	0.44009090936670464	0.15671979238822303	1.0	0.49999999999999956	0.04296238067327286
231.2748059226132	1.0	1.0	1.0	1.0	0.0012458345361783343	0.4450766061053731	1.0	1.0	1.0	1.0	0.01323566716067161	0.5383533481643719	0.44009090936670464	0.15484871847710938	1.0	0.49999999999999956	0.04222436873187908
232.2748059226132	1.0	1.0	1.0	1.0	0.001217948170583341	0.4416778382429408	1.0	1.0	1.0	1.0	0.012970668599854683	0.5354135846198338	0.44009090936670464	0.15299264917037267	1.0	0.49999999999999956	0.04149808717475665
233.2748059226132	1.0	1.0	1.0	1.0	0.0011908081784622103	0.4382759260347452	1.0	1.0	1.0	1.0	0.012710912847469525	0.532459564604851	0.44009090936670464	0.15115160986331094	1.0	0.49999999999999956	0.040783375461366005
234.2748059226132	1.0	1.0	1.0	1.0	0.0011643945832654492	0.43487142985036176	1.0	1.0	1.0	1.0	0.012456300417648279	0.5294916407497371	0.44009090936670464	0.14932562263530924	1.0	0.49999999999999956	0.040080074551663146
235.2748059226132	1.0	1.0	1.0	1.0	0.0011386879431122578	0.43146491196688275	1.0	1.0	1.0	1.0	0.012206733585725563	0.5265101721449104	0.44009090936670464	0.1475147062911965	1.0	0.49999999999999956	0.03938802691294259
236.2748059226132	1.0	1.0	1.0	1.0	0.001113669336480219	0.42805693620592544	1.0	1.0	1.0	1.0	0.011962116361002178	0.5235155241943525	0.44009090936670464	0.14571887640329734	1.0	0.49999999999999956	0.03870707652582686
237.2748059226132	1.0	1.0	1.0	1.0	0.001089320348278002	0.4246480675681529	1.0	1.0	1.0	1.0	0.011722354459798445	0.5205080684623277	0.44009090936670464	0.14393814535414454	1.0	0.49999999999999956	0.03803706888943098
238.2748059226132	1.0	1.0	1.0	1.0	0.001065623056290827	0.42123887186584014	1.0	1.0	1.0	1.0	0.011487355278799094	0.5174881825135026	0.44009090936670464	0.1421725223798189	1.0	0.49999999999999956	0.03737785102572978
239.2748059226132	1.0	1.0	1.0	1.0	0.0010425600179887135	0.41782991535402325	1.0	1.0	1.0	1.0	0.011257027868691405	0.5144562497466194	0.44009090936670464	0.14042201361388243	1.0	0.49999999999999956	0.03672927148315521
240.2748059226132	1.0	1.0	1.0	1.0	0.001020114257687806	0.4144217643607694	1.0	1.0	1.0	1.0	0.011031282908098022	0.5114126592218853	0.44009090936670464	0.13868662213187197	1.0	0.49999999999999956	0.03609118033945016
241.2748059226132	1.0	1.0	1.0	1.0	0.0009982692540553215	0.4110149849171102	1.0	1.0	1.0	1.0	0.010810032677805628	0.5083578054822548	0.44009090936670464	0.1369663479963194	1.0	0.49999999999999956	0.035463429203804776
