cancel	mean_k	vec	norm	lam	AUC_T_sum	AUC_P_sum	AUC_Tpos_sum	AUC_Tneg_sum	AUC_Ppos_sum	AUC_Pneg_sum	AUC_sum_sum
false	false	false	1	0	24.65	18.250000000000004	23.09090909090909	24.90909090909091	17.28571428571429	20.142857142857146	128.32857142857142
true	false	true	1	1	24.35	17.666666666666664	23.272727272727273	24.454545454545453	19.571428571428573	19	128.31536796536795
true	false	false	0	3	24.4	18.166666666666668	24.727272727272727	24.727272727272727	17.71428571428571	18.57142857142857	128.30692640692638
false	false	false	2	0	24.499999999999996	19.166666666666668	25	23.18181818181818	14.57142857142857	21.85714285714286	128.2770562770563
true	true	true	1	4	24	20.249999999999996	23.090909090909093	24.363636363636363	18	18.571428571428573	128.27597402597402
true	true	true	0	0	24.65	17.083333333333332	24.727272727272727	24.90909090909091	18.571428571428573	18.28571428571429	128.2268398268398
true	true	true	2	0	24.65	17.416666666666668	24.90909090909091	24.636363636363637	18.571428571428573	18	128.18354978354978
false	false	false	1	3	24.299999999999997	19.916666666666668	23.181818181818183	24.363636363636363	19.571428571428573	16.57142857142857	127.90497835497835
false	true	false	1	3	24.4	17.666666666666668	24.909090909090907	24.545454545454543	17.714285714285715	18.28571428571429	127.52121212121214
true	true	false	0	4	24.7	19.166666666666668	24	22.363636363636363	19.71428571428572	17.42857142857143	127.37316017316016
true	false	false	1	1	23.849999999999998	19.083333333333332	23.636363636363637	24.18181818181818	17.142857142857146	19.42857142857143	127.3229437229437
true	false	false	2	0	24.7	18.333333333333332	25	24.818181818181817	17.285714285714285	17.142857142857142	127.28008658008656
false	false	false	0	0	24.65	17.583333333333332	24.09090909090909	24.90909090909091	20.428571428571427	15.57142857142857	127.23333333333332
true	false	true	2	4	24.25	19.916666666666668	21.90909090909091	23.727272727272727	18.285714285714285	19.14285714285714	127.23160173160174
true	false	true	1	4	24.499999999999996	18.833333333333332	23.000000000000004	24	18.714285714285715	18.14285714285714	127.19047619047618
true	false	false	2	4	24.449999999999996	17.583333333333332	23.81818181818182	24	18.142857142857146	19.142857142857142	127.13722943722942
false	false	false	0	4	24.7	19.166666666666664	21.18181818181818	24.636363636363637	20.28571428571429	17	126.97056277056278
false	true	false	2	3	24.099999999999998	18.583333333333336	24.90909090909091	23.454545454545453	17.428571428571427	18.428571428571427	126.90411255411254
false	false	false	0	3	23.849999999999998	17.166666666666668	25	23.909090909090907	16.57142857142857	20.142857142857142	126.64004329004328
true	true	false	2	3	24.749999999999996	18.916666666666668	24.09090909090909	24.727272727272727	16.285714285714285	17.571428571428573	126.34199134199135
true	false	true	0	3	24.299999999999997	18.666666666666668	25	24.636363636363637	15.857142857142856	17.857142857142858	126.317316017316
false	true	false	1	4	24.15	18.75	22.727272727272727	24.636363636363633	18.571428571428573	17.42857142857143	126.26363636363635
false	false	false	2	4	24.199999999999996	19.083333333333336	24.090909090909093	23	16.714285714285715	19.14285714285714	126.23138528138529
false	true	false	0	4	24.799999999999997	18.416666666666668	22.909090909090907	24.72727272727273	19	16.285714285714285	126.1387445887446
false	true	true	1	0	24.449999999999996	18.999999999999996	24.90909090909091	24.545454545454547	14.428571428571429	18.42857142857143	125.76168831168829
false	true	false	1	1	24.299999999999997	19.999999999999996	23.272727272727273	23.727272727272727	17.428571428571427	17	125.72857142857143
false	false	false	2	1	24.199999999999996	17.75	23.727272727272727	24.36363636363636	17.71428571428571	17.857142857142858	125.61233766233768
false	true	false	1	0	24.65	17.5	24.09090909090909	24.81818181818182	16.857142857142858	17.142857142857142	125.05909090909091
false	true	true	2	3	24.299999999999997	18.583333333333332	25	24.454545454545457	15.571428571428571	17	124.90930735930736
true	false	false	0	0	24.049999999999997	17.083333333333332	23.09090909090909	24.636363636363637	16.428571428571427	19.42857142857143	124.71774891774892
true	true	false	2	1	23.900000000000002	18.916666666666664	23.09090909090909	22.818181818181817	17.714285714285715	18.142857142857142	124.58290043290043
false	false	true	2	0	24.400000000000002	17.833333333333332	23.727272727272723	23.90909090909091	17.42857142857143	17.14285714285714	124.44112554112556
true	true	false	2	0	24	16.583333333333336	24.545454545454547	23.727272727272727	16.42857142857143	18.571428571428573	123.85606060606061
true	false	true	0	4	24.35	17.166666666666668	22.18181818181818	24.636363636363633	17.714285714285715	17.71428571428571	123.7634199134199
true	true	true	1	0	24.7	18.083333333333332	24.09090909090909	24	16.857142857142858	15.999999999999998	123.73138528138529
false	true	false	0	0	24.75	18.083333333333336	24.90909090909091	24.81818181818182	13.285714285714283	17.714285714285715	123.56060606060609
true	true	false	0	0	24.65	16.25	24.72727272727273	24.90909090909091	15.42857142857143	17	122.96493506493508
false	true	true	1	1	24.249999999999996	17.416666666666668	23.363636363636363	23.363636363636367	17.71428571428572	16.71428571428571	122.82251082251082
true	true	true	1	3	23.849999999999998	17.33333333333333	23.636363636363633	23.545454545454543	16.28571428571429	18	122.6508658008658
false	true	true	1	3	24.349999999999998	18	25	21.27272727272727	16.714285714285715	17	122.33701298701298
false	true	true	0	1	23.9	17.833333333333332	21.636363636363637	23.636363636363637	19.285714285714285	15.999999999999996	122.29177489177489
false	true	true	2	0	24.35	18.333333333333332	23.181818181818183	24.72727272727273	17.428571428571427	13.999999999999998	122.02099567099566
true	true	false	1	0	24.849999999999998	17.916666666666668	24.90909090909091	23.090909090909093	13.142857142857142	17.714285714285715	121.62380952380951
false	false	false	1	4	23.749999999999996	16.666666666666668	23.727272727272723	24.363636363636363	17.42857142857143	15.428571428571425	121.3647186147186
false	true	false	0	3	24.4	17.583333333333332	25	23.000000000000004	15.571428571428571	15.285714285714286	120.84047619047618
false	false	true	1	3	23.9	17.916666666666668	23.81818181818182	22.636363636363637	14.857142857142856	16.71428571428571	119.8426406926407
true	true	true	1	1	24.399999999999995	18	23.09090909090909	23.636363636363633	14.85714285714286	15.714285714285714	119.69870129870131
true	false	true	2	3	24.049999999999997	17.750000000000004	24.09090909090909	21.09090909090909	15.428571428571425	16.285714285714285	118.6961038961039
