_	r	p	ψ
T1	1.0	1.0	0.6263287006017118
T2	1.0	1.0	0.4437065308967894
P1	1.0	1.0	1.0
P2	0.5402884547012471	0.5404392533794974	0.5410568558143
O1	0.32660155196379115	0.33093553097317835	0.0
