_	r	p	ψ
T1	0.001216615868310333	0.0015635238523876776	0.001562209272815024
T2	1.0	1.0	0.34173551831696225
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
O1	0.01968736166788389	0.02024027123029177	0.0
O2	0.9976273046244214	0.9937073328690175	0.0
