t	r_T1	r_T2	r_P1	r_P2	r_O1	p_T1	p_T2	p_P1	p_P2	p_O1	ψ_T1	ψ_T2	ψ_P1	ψ_P2
0.0	1.0	1.0	1.0	0.5402884547012471	0.32660155196379115	1.0	1.0	1.0	0.5404392533794974	0.33093553097317835	0.6263287006017118	0.4437065308967894	1.0	0.5410568558143
0.28698961382659577	1.0	0.9943020325491834	1.0	0.5402884539249477	0.3265937597052135	1.0	0.9999787365889776	1.0	0.5404381765026269	0.3309070794562862	0.6263287006068682	0.4437025142261657	1.0	0.5410516598217667
1.2869896138265957	1.0	0.9747003610530329	1.0	0.5402884512986311	0.32656689601359334	1.0	0.9995788791112705	1.0	0.5404344838681685	0.3308089973700209	0.6263287006241739	0.4436844673352269	1.0	0.5410338239693385
2.286989613826596	1.0	0.9554853121223029	1.0	0.5402884487903514	0.32653986496996934	1.0	0.9986903517222803	1.0	0.5404308822416998	0.33071252976604265	0.626328700640496	0.4436511291089161	1.0	0.5410163993898407
3.286989613826596	1.0	0.9366492600293547	1.0	0.5402884463948063	0.32651127600111085	1.0	0.9973355593835032	1.0	0.5404273693815393	0.3306176216912531	0.6263287006558902	0.44359169136113247	1.0	0.5409993767675924
4.286989613826596	1.0	0.918184729456089	1.0	0.5402884441069316	0.3264791293915279	1.0	0.9955361369167198	1.0	0.5404239431011648	0.33052418077121926	0.6263287006704095	0.44349648006181075	1.0	0.5409827469927595
5.286989613826596	1.0	0.9000843925272746	1.0	0.5402884419218901	0.3264409239539688	1.0	0.9933129726328574	1.0	0.5404206012678575	0.33043206549721554	0.6263287006841034	0.4433568741864907	1.0	0.5409665011569678
6.286989613826596	1.0	0.8823410659023909	1.0	0.5402884398350621	0.3263937535669636	1.0	0.9906862312778407	1.0	0.5404173418013816	0.3303410760909204	0.626328700697019	0.44316522961978716	1.0	0.5409506305490027
7.286989613826596	1.0	0.8649477079248317	1.0	0.5402884378420354	0.32633439354428156	1.0	0.9876753763144791	1.0	0.5404141626726945	0.3302509476471142	0.6263287007092003	0.4429148078166503	1.0	0.5409351266505983
8.286989613826595	1.0	0.8478974158273367	1.0	0.5402884359385957	0.3262593777187519	1.0	0.9842991915589224	1.0	0.5404110619026895	0.3301613452824323	0.6263287007206894	0.4425997089421793	1.0	0.5409199811323089
9.286989613826595	1.0	0.8311834229925447	1.0	0.5402884341207178	0.32616506704936127	1.0	0.9805758021897097	1.0	0.5404080375609689	0.33007186104354413	0.6263287007315252	0.44221480922667333	1.0	0.5409051858494662
10.286989613826595	1.0	0.8147990962675778	1.0	0.5402884323845575	0.32604771049455694	1.0	0.976522695146945	1.0	0.5404050877646474	0.32998201235129293	0.6263287007417452	0.44175570228762834	1.0	0.540890732838218
11.286989613826595	1.0	0.7987379333315938	1.0	0.5402884307264431	0.3259034988350941	1.0	0.9721567389386544	1.0	0.5404022106771844	0.3298912417785469	0.6263287007513842	0.4412186441845691	1.0	0.5408766143116468
12.286989613826595	1.0	0.7829935601152602	1.0	0.5402884291428678	0.32572861207559867	1.0	0.9674942028709159	1.0	0.5403994045072457	0.3297989179789638	0.6263287007604754	0.4406005019859833	1.0	0.5408628226559682
13.286989613826595	1.0	0.767559728271127	1.0	0.5402884276304823	0.32551926100446466	1.0	0.9625507757178964	1.0	0.5403966675075917	0.32970433760170303	0.6263287007690499	0.4398987056402534	1.0	0.5408493504268068
14.286989613826595	1.0	0.7524303126938932	1.0	0.5402884261860876	0.32527172344611416	1.0	0.9573415838474926	1.0	0.5403939979739946	0.32960672804347346	0.6263287007771369	0.439111202954394	1.0	0.5408361903455481
15.286989613826595	1.0	0.7375993090895837	1.0	0.5402884248066285	0.3249823756974835	1.0	0.9518812088178419	1.0	0.5403913942441804	0.3295052509042935	0.6263287007847642	0.43823641749564607	1.0	0.5408233352957648
16.286989613826595	1.0	0.723060831592672	1.0	0.540288423489187	0.324647719601453	1.0	0.9461837044595526	1.0	0.5403888546967982	0.32939900602706756	0.626328700791958	0.43727320924158863	1.0	0.5408107783197171
17.286989613826595	1.0	0.7088091104302018	1.0	0.5402884222309761	0.3242644056734721	1.0	0.940262613458095	1.0	0.5403863777504142	0.32928703601364423	0.6263287007987429	0.43622083781443655	1.0	0.5407985126149248
18.286989613826595	1.0	0.6948384896319822	1.0	0.5402884210293339	0.32382925266359724	1.0	0.934130983450402	1.0	0.5403839618625302	0.32916833112149785	0.6263287008051421	0.43507892814463883	1.0	0.5407865315308091
19.286989613826595	1.0	0.6811434247859469	1.0	0.5402884198817184	0.32333926390435447	1.0	0.92780138264934	1.0	0.5403816055286265	0.32904183445564733	0.6263287008111776	0.4338474384178038	1.0	0.5407748285654047
20.286989613826595	1.0	0.6677184808377856	1.0	0.5402884187857012	0.32279164076510547	1.0	0.9212859150093395	1.0	0.5403793072812277	0.3289064473799624	0.6263287008168701	0.43252663016738485	1.0	0.5407633973621393
21.286989613826595	1.0	0.6545583299339769	1.0	0.5402884177389635	0.3221837935058174	1.0	0.9145962349461089	1.0	0.5403770656889926	0.32876103508067606	0.6263287008222389	0.4311170403834928	1.0	0.5407522317066799
22.286989613826595	1.0	0.6416577493073636	1.0	0.5402884167392904	0.32151334979720525	1.0	0.9077435616229994	1.0	0.5403748793558248	0.3286044322227871	0.6263287008273026	0.4296194555156871	1.0	0.540741325523844
23.286989613826595	1.0	0.6290116192044342	1.0	0.5402884157845667	0.32077816115005764	1.0	0.9007386928162479	1.0	0.5403727469200067	0.32843544864715374	0.6263287008320785	0.4280348872546569	1.0	0.5407306728745758
