t	r_T1	r_T2	r_P1	r_P2	r_O1	r_O2	p_T1	p_T2	p_P1	p_P2	p_O1	p_O2	ψ_T1	ψ_T2	ψ_P1	ψ_P2
0.0	1.0	1.0	1.0	1.0	0.034562247043517964	0.3866930823273829	1.0	1.0	1.0	1.0	0.034664430292004604	0.39225405181125683	0.7348459432023426	0.1952524437932224	0.5282267173482413	0.5718512432201509
0.2816810426033908	0.9932773153980801	1.0	1.0	1.0	0.034561632287547175	0.38669304917781183	0.9999790541718622	1.0	1.0	1.0	0.0346630836028686	0.3922261006767887	0.7348458468541621	0.1952524441639038	0.528226709527859	0.5718512425374195
1.2816810426033909	0.9697741073700592	1.0	1.0	1.0	0.03455948521731315	0.38669297337530023	0.99957295011333	1.0	1.0	1.0	0.034658380139673726	0.39212799966485	0.7348374825738522	0.19525244543612924	0.5282266825464333	0.5718512401943071
2.281681042603391	0.946827272691301	1.0	1.0	1.0	0.03455739230082066	0.3866932059339779	0.9986671604272236	1.0	1.0	1.0	0.0346537951965922	0.3920316387492667	0.7347995666427888	0.1952524466427887	0.5282266567443461	0.5718512379721087
3.281681042603391	0.9244236407638426	1.0	1.0	1.0	0.03455535217174953	0.38669430461444104	0.9972846673938139	1.0	1.0	1.0	0.034649325789389396	0.3919369971002983	0.7347117150249174	0.19525244778725923	0.5282266320700494	0.5718512358645846
4.281681042603391	0.9025503527671475	1.0	1.0	1.0	0.03455336349827533	0.3866970791362248	0.9954476649884548	1.0	1.0	1.0	0.034644969008846005	0.3918440664504572	0.734555834371483	0.19525244887274412	0.5282266084742482	0.5718512338658173
5.281681042603391	0.8811948542776378	1.0	1.0	1.0	0.03455142498219727	0.3867025503341755	0.9931775828918599	1.0	1.0	1.0	0.03464072201887913	0.3917528549692154	0.7343159447901054	0.1952524499022818	0.5282265859098022	0.5718512319701944
6.281681042603391	0.8603448880629398	1.0	1.0	1.0	0.03454953535808823	0.386711913623865	0.9904951098148528	1.0	1.0	1.0	0.034636582054710104	0.3916633903836526	0.7339780146699301	0.19525245087875429	0.5282265643316317	0.5718512301723933
7.281681042603391	0.8399884870467056	1.0	1.0	1.0	0.03454769339246629	0.38672650645262474	0.9874202161563844	1.0	1.0	1.0	0.0346325464210778	0.3915757224319374	0.7335298067852433	0.19525245180489528	0.5282265436966274	0.5718512284673658
8.281681042603392	0.8201139674399722	1.0	1.0	1.0	0.03454589788298729	0.3867477794171578	0.9839721760131086	1.0	1.0	1.0	0.034628612490496466	0.3914899247292868	0.7329607349489532	0.19525245268329774	0.5282265239635641	0.5718512268503246
9.281681042603392	0.800709922035118	1.0	1.0	1.0	0.03454414765765784	0.3867772707378955	0.9801695885583213	1.0	1.0	1.0	0.034624777701556864	0.39140609611905725	0.732261730533296	0.19525245351642112	0.5282265050930186	0.5718512253167293
10.281681042603392	0.7817652136585653	1.0	1.0	1.0	0.03454244157406827	0.38681658379297545	0.976030398807593	1.0	1.0	1.0	0.03462103955726969	0.3913243615749478	0.7314251182182133	0.19525245430659832	0.5282264870472909	0.5718512238622736
11.281681042603392	0.7632689687784723	1.0	1.0	1.0	0.034540778518644996	0.38686736742983957	0.9715719177879603	1.0	1.0	1.0	0.03461739562345026	0.3912448727139898	0.7304445003682436	0.19525245505604208	0.5282264697903288	0.5718512224828737
12.281681042603392	0.7452105712637452	1.0	1.0	1.0	0.034539157405921866	0.3869312987891017	0.9668108421270918	1.0	1.0	1.0	0.034613843527143466	0.39116780797408546	0.7293146494766444	0.1952524557668512	0.528226453287656	0.5718512211746564
13.281681042603392	0.7275796562907889	1.0	1.0	1.0	0.03453757717782991	0.3870100683928365	0.9617632730784069	1.0	1.0	1.0	0.03461038095508795	0.3910933725043556	0.7280314081509692	0.19525245644101646	0.528226437506303	0.5718512199339483
14.281681042603392	0.7103661043944973	1.0	1.0	1.0	0.03453603680300512	0.38710536726723255	0.9564447349976952	1.0	1.0	1.0	0.03460700565221856	0.391021797811464	0.726591596147611	0.19525245708042607	0.5282264224147415	0.5718512187572657
15.281681042603392	0.6935600356600714	1.0	1.0	1.0	0.03453453527611371	0.3872188758872385	0.9508701932863707	1.0	1.0	1.0	0.03460371542020619	0.3909533412003997	0.7249929239940295	0.19525245768687105	0.5282264079828211	0.5718512176413048
16.28168104260339	0.6771518040523289	1.0	1.0	1.0	0.03453307161719453	0.38735225474808954	0.9450540718160884	1.0	1.0	1.0	0.03460050811603401	0.3908882850439057	0.7232339127666363	0.19525245826205015	0.5282263941817094	0.5718512165829318
17.28168104260339	0.6611319918792522	1.0	1.0	1.0	0.034531644871018036	0.3875071363852179	0.9390102698490574	1.0	1.0	1.0	0.034597381650609244	0.3908269359108246	0.7213138196197345	0.19525245880757466	0.5282263809838342	0.5718512155791752
18.28168104260339	0.6454914043865964	1.0	1.0	1.0	0.03453025410646157	0.3876851186798681	0.9327521784679982	1.0	1.0	1.0	0.034594333987409576	0.3907696235800741	0.7192325686866177	0.1952524593249729	0.5282263683628287	0.5718512146272164
19.28168104260339	0.630221064480455	1.0	1.0	1.0	0.034528898415900414	0.38788775930265745	0.9262926965293194	1.0	1.0	1.0	0.03459136314116342	0.3907166999637391	0.7169906869980301	0.1952524598156944	0.528226356293478	0.5718512137243825
20.28168104260339	0.6153122075747547	1.0	1.0	1.0	0.03452757691461424	0.38811657116128523	0.9196442461527249	1.0	1.0	1.0	0.03458846717656307	0.39066853795985884	0.7145892450857808	0.19525246028111407	0.5282263447516699	0.5718512128681384
