/home/WIN/cdegma/PKTFX/data/dream/lambda_01/1_2
loss	sse	Lt	Lp
762.15428	760.59708	13.03490	17.97160
639.28146	636.89423	14.65728	25.91249
583.31868	579.13694	18.52619	33.66227
543.74012	537.24050	20.50485	39.51018
516.03192	508.47093	21.43976	41.27024
485.53100	477.68951	22.19905	41.78401
458.93965	450.22427	23.22872	43.00094
439.39539	429.82593	23.99900	44.15044
418.14874	407.93830	24.65108	45.23108
398.92535	388.14627	25.10243	46.32379
384.33118	373.19518	25.37388	47.14527
370.89977	359.50436	25.60828	47.90348
355.91274	344.28826	25.84225	48.74223
344.29610	332.53392	26.04215	49.38054
333.33508	321.40882	26.25250	49.99603
323.04166	310.99318	26.43640	50.54626
313.26703	301.13010	26.62245	51.02824
302.12391	289.90326	26.86701	51.50622
291.52107	279.32836	27.07709	51.89466
283.09659	270.91871	27.28606	52.19003
273.48935	261.26565	27.52586	52.56067
264.35618	252.09050	27.73664	52.91198
255.66610	243.38199	27.95329	53.20592
247.40771	235.12379	28.15809	53.47697
239.53531	227.24629	28.37524	53.71665
233.25192	220.94341	28.54546	53.91145
224.86606	212.56179	28.75622	54.13999
219.15504	206.85406	28.91275	54.27764
212.61282	200.30124	29.08382	54.45737
206.37137	194.06547	29.24375	54.62574
201.38927	189.09653	29.36870	54.73205
195.66331	183.39636	29.51967	54.84373
190.18582	177.95128	29.64614	54.94253
184.95351	172.75776	29.76670	55.02011
179.95106	167.76802	29.87943	55.10634
175.93805	163.78962	29.96831	55.15085
171.29699	159.18158	30.06576	55.19925
166.82842	154.77048	30.14839	55.25488
162.54550	150.53603	30.23809	55.30151
159.09939	147.13627	30.30033	55.33239
155.77977	143.83643	30.35640	55.36564
152.55313	140.64254	30.40955	55.39225
148.81932	136.96119	30.45950	55.42087
145.21563	133.41699	30.50183	55.42360
141.73068	130.00859	30.55075	55.41088
138.36677	126.71107	30.60371	55.39277
135.11317	123.55156	30.63780	55.35395
132.49005	120.98702	30.68040	55.33284
129.44198	118.01531	30.71733	55.31454
126.97728	115.60699	30.76647	55.28729
124.10516	112.80274	30.81272	55.24871
121.79016	110.52821	30.83241	55.22599
119.52876	108.32882	30.86335	55.17923
116.89222	105.75744	30.89307	55.11650
114.34464	103.27394	30.92997	55.04946
111.86437	100.86130	30.95681	54.97723
109.45756	98.52594	30.97557	54.90717
107.11969	96.25706	31.00695	54.83633
104.85369	94.06514	31.01440	54.75816
102.65750	91.93066	31.03729	54.66781
100.86403	90.20552	31.05287	54.58102
99.11869	88.51813	31.07565	54.49458
97.41341	86.87727	31.07545	54.40143
95.41766	84.95565	31.09330	54.28570
93.47253	83.08944	31.10693	54.17079
91.89826	81.57530	31.11583	54.07810
90.35321	80.09085	31.13687	53.98124
88.84486	78.64983	31.12978	53.87688
87.07155	76.95759	31.14176	53.74609
85.62811	75.58664	31.14883	53.63816
84.21905	74.23600	31.16216	53.52821
82.56203	72.66611	31.16525	53.38110
80.94408	71.13120	31.17311	53.24600
79.62378	69.88518	31.17205	53.12591
77.82345	68.18323	31.17418	52.95220
76.32072	66.76515	31.17310	52.80636
74.85003	65.37943	31.16901	52.66323
73.41525	64.02792	31.16771	52.52249
72.00957	62.71178	31.16085	52.37751
70.63996	61.42045	31.16022	52.24251
69.51809	60.37528	31.14789	52.11986
68.42161	59.34072	31.15227	52.00391
67.12822	58.13424	31.13897	51.86460
66.07703	57.15519	31.12633	51.74804
64.84158	55.99073	31.13018	51.61200
63.63487	54.86185	31.10559	51.46937
62.64881	53.93849	31.09783	51.35503
61.68767	53.03409	31.07837	51.24606
60.74304	52.14108	31.08048	51.13323
59.81500	51.27530	31.05924	51.01476
58.72568	50.25473	31.04195	50.87824
57.84082	49.42049	31.02960	50.77691
56.79927	48.43659	31.02586	50.65742
55.94089	47.63922	31.01342	50.54658
54.93632	46.69265	31.01125	50.42811
54.11784	45.92992	30.99795	50.32169
53.15419	45.02279	30.99421	50.20561
52.21091	44.13555	30.98949	50.08734
51.28890	43.27307	30.96895	49.96746
50.38516	42.42364	30.97828	49.84048
49.65072	41.73099	30.96931	49.73954
48.92980	41.06009	30.95435	49.63618
48.21898	40.38395	30.95726	49.54111
47.52084	39.73512	30.94088	49.43687
46.69533	38.96098	30.94268	49.31404
45.89568	38.20533	30.92376	49.20348
45.23607	37.59149	30.92169	49.10024
44.46224	36.86535	30.90741	48.97588
43.70491	36.16076	30.90242	48.85625
43.08333	35.57652	30.89842	48.75984
42.35407	34.89609	30.87928	48.64579
41.64084	34.22240	30.87934	48.53814
41.05724	33.68015	30.87673	48.44006
40.47967	33.15029	30.85655	48.34048
39.91803	32.61439	30.86105	48.25392
39.25208	32.00038	30.84604	48.14375
38.49605	31.28605	30.83867	48.02446
37.96503	30.79231	30.82987	47.93456
37.34463	30.20644	30.82431	47.83450
36.73176	29.63191	30.81550	47.73902
36.13589	29.07312	30.80468	47.64101
35.54611	28.53081	30.78370	47.53920
34.97496	27.99225	30.78898	47.44742
34.50656	27.55384	30.76707	47.37088
33.95445	27.04233	30.74979	47.28105
33.41202	26.53763	30.73749	47.18532
32.88280	26.04447	30.72373	47.10279
32.36818	25.56500	30.71183	47.02064
31.86359	25.09171	30.69933	46.94270
31.36662	24.63240	30.67645	46.86678
30.80519	24.10591	30.66469	46.77282
30.33452	23.67339	30.64175	46.69271
29.87339	23.23906	30.62878	46.61806
29.42318	22.81722	30.61841	46.55232
28.98137	22.41120	30.59412	46.47429
28.54740	22.00477	30.58702	46.40640
28.19058	21.68081	30.57202	46.35019
27.84251	21.35208	30.56651	46.29375
27.50218	21.03690	30.54326	46.23765
27.16701	20.72248	30.54596	46.18061
26.77575	20.35529	30.53159	46.11563
26.38905	19.99671	30.51717	46.05068
26.00760	19.64673	30.50607	45.97991
25.64307	19.30203	30.50303	45.91651
25.27801	18.96194	30.49031	45.85290
24.86530	18.57612	30.48418	45.77868
24.57627	18.30631	30.47055	45.73172
24.23759	17.98786	30.46675	45.67944
23.90315	17.67313	30.46009	45.62961
23.57682	17.36534	30.45132	45.58771
23.26349	17.06366	30.44688	45.55092
22.94729	16.76829	30.44043	45.50224
22.64058	16.47701	30.44120	45.46314
22.38971	16.24072	30.42947	45.42452
22.13865	16.00670	30.42203	45.38967
21.80418	15.68883	30.40659	45.34337
21.51757	15.41795	30.40407	45.30714
21.28743	15.19437	30.40172	45.28656
21.01720	14.93132	30.39542	45.25610
20.74201	14.67912	30.38563	45.21734
20.52614	14.46267	30.38803	45.19840
20.30855	14.26101	30.37482	45.16809
20.05703	14.01302	30.37955	45.14159
19.80380	13.77761	30.36559	45.10661
19.59838	13.57993	30.36991	45.08429
19.35648	13.35016	30.35086	45.05378
19.16039	13.16111	30.35635	45.02944
18.92808	12.93248	30.36313	44.99611
18.69775	12.71509	30.34800	44.96908
18.47028	12.49837	30.34594	44.93257
18.28901	12.32189	30.33465	44.91557
18.06934	12.11283	30.33576	44.88305
17.85312	11.90890	30.31526	44.85242
