	r	p	ψ
T1	1.0	1.0	0.6357561205528379
T2	1.0	1.0	0.322686334937297
T3	1.0	1.0	0.579707841711314
T4	1.0	1.0	0.3465428938069971
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.3596816642754366	0.35879815874994886	0.0
O2	0.1863176014818583	0.19024825236690693	0.0
O3	0.7391932497961246	0.7356005361021731	0.0
O4	0.7036031831708279	0.7073949144947764	0.0
