	r	p	ψ
T1	0.00039621405790805155	0.00040279642537676877	0.00025840608187737454
T2	1.0	1.0	0.32268633272653935
T3	1.0	1.0	0.579707841711314
T4	1.0	1.0	0.34654289359686863
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.3597032352137457	0.35967322055534307	0.0
O2	0.9967644310039887	0.9928627250835304	0.0
O3	0.740723545442077	0.740556054031249	0.0
O4	0.7031177784138392	0.7033033338674781	0.0
