	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.833896430786105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.031818288346245	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-8.257476502683902	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-8.036311302263178	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.873866874663996	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.285589721736644	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.742476418160014	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.282035608818929
O1	6.10559492423609e-5	-1.8862734802035988	6.102746270154579e-5	6.10560172922128e-5	6.105644212264576e-5	0.6042333205339796	6.105187258245399e-5	6.104936721784152e-5
O2	1.6770670261259952	-0.005338495724277557	-0.005332833098057248	-0.00533881160102244	1.6731704848521496	-0.005338408019168439	-0.005337763801225015	-0.0053371996796797916
O3	0.002162726560238519	0.002162376875567642	0.0021572632588250885	-2.6061687306227324	0.0021629606230108268	0.0021622794578525224	0.1692150090924612	0.002161058563275466
O4	-0.0007102054879958113	-0.0007101661769656082	0.3508496808585619	-0.0007102082104874352	-0.000710227335924045	-0.0007101545080220689	-0.0007100688097168577	0.35114000862740186
