/home/WIN/cdegma/PKTFX/data/dream/lambda_01/3_2
loss	sse	Lt	Lp
880.78183	878.52854	19.41743	14.11022
796.75989	794.86239	16.15540	14.18048
736.31094	734.09141	18.02546	15.92521
681.02464	678.12918	21.48235	19.06064
637.19515	633.54743	24.45093	22.38582
587.16217	582.37425	27.54009	26.91415
549.53293	543.59834	29.58650	30.62231
505.41580	498.18668	31.32818	34.03523
478.41900	470.77267	31.89079	35.24654
454.89368	447.01086	32.28506	36.09179
430.11479	421.86710	32.80333	37.24325
411.44028	402.81214	33.17934	38.29952
390.69897	381.66049	33.65137	39.45119
374.50151	365.15731	34.04216	40.35167
359.17748	349.51438	34.41142	41.27353
344.62931	334.61944	34.78618	42.24410
330.82356	320.45816	35.14794	43.21213
317.72658	307.02093	35.50291	44.12827
302.88552	291.82523	35.88245	45.16169
291.20527	279.87468	36.17449	45.92601
278.00743	266.34653	36.49436	46.81070
265.65682	253.69909	36.77951	47.60398
254.14652	241.91704	37.01352	48.33594
243.41815	230.94379	37.26836	49.02655
233.37662	220.70677	37.48677	49.64374
223.97847	211.14123	37.71095	50.24677
215.15771	202.19434	37.92015	50.79355
208.23903	195.15805	38.07479	51.23860
200.37425	187.19528	38.25066	51.74073
194.15246	180.91430	38.37509	52.13052
188.19544	174.91375	38.46928	52.54583
181.44820	168.04473	38.59588	53.05699
175.06381	161.56204	38.67376	53.50408
169.95418	156.37874	38.71562	53.83266
165.06603	151.43475	38.74777	54.13668
159.43655	145.79284	38.76918	54.45816
153.21425	139.50559	38.80233	54.86089
148.94025	135.25612	38.80267	55.10490
144.02983	130.35171	38.81710	55.34788
140.08520	126.43773	38.82715	55.52664
134.81877	121.19810	38.80918	55.78258
130.49890	116.92284	38.80768	55.97433
126.38936	112.83231	38.79422	56.18731
122.45189	108.93002	38.75764	56.37498
119.29694	105.80507	38.74286	56.51961
116.24676	102.79409	38.72298	56.65538
113.30979	99.90036	38.69104	56.78442
109.90676	96.55829	38.64433	56.91036
107.17589	93.87252	38.62123	56.99884
104.04110	90.78942	38.56081	57.10518
101.02304	87.83605	38.50118	57.18481
98.61485	85.47568	38.44704	57.23180
96.27705	83.19876	38.39551	57.26302
93.56274	80.56322	38.34749	57.27859
91.38311	78.45566	38.29462	57.28355
88.86197	76.01978	38.22298	57.28144
86.83879	74.05233	38.19055	57.27650
84.47992	71.78521	38.12773	57.25116
82.21802	69.61823	38.05041	57.22218
80.04629	67.52303	37.99159	57.20347
78.28460	65.85752	37.92218	57.15754
76.25593	63.91109	37.85541	57.10358
74.29303	62.05286	37.78792	57.01897
72.71502	60.55594	37.72945	56.94972
71.18076	59.11029	37.67275	56.85622
69.41484	57.44069	37.59568	56.77930
67.99213	56.09421	37.54764	56.72921
66.34722	54.53646	37.48106	56.66803
65.01879	53.29532	37.41071	56.60819
63.74383	52.08261	37.35173	56.54964
62.49900	50.90877	37.30221	56.48978
61.28397	49.77579	37.24285	56.42842
60.10796	48.67654	37.18542	56.36307
58.75160	47.40736	37.11650	56.27635
57.65806	46.37567	37.06469	56.21142
56.38373	45.18716	36.99294	56.12310
55.35229	44.22521	36.93989	56.04729
54.35065	43.29243	36.88948	55.96463
53.38009	42.39030	36.83332	55.88067
52.43464	41.51565	36.77826	55.78378
51.32968	40.49367	36.71408	55.68275
50.44238	39.67079	36.66456	55.58618
49.57554	38.87536	36.61152	55.48932
48.73945	38.09170	36.56993	55.40208
47.75980	37.19979	36.50086	55.28231
46.97072	36.46520	36.46726	55.18904
46.19524	35.76092	36.42590	55.08931
45.29644	34.93815	36.36108	54.96973
