/home/WIN/cdegma/PKTFX/data/dream/lambda_01/3_4
loss	sse	Lt	Lp
495.31860	493.12299	19.12777	13.88171
446.65171	444.96195	14.81387	13.26343
414.62449	412.72530	16.03869	14.50555
387.28547	384.92773	18.65812	16.83838
362.69187	359.75657	21.23556	20.03369
343.61249	340.12282	23.02851	23.16429
325.54113	321.40893	24.57116	26.48655
308.42756	303.56001	25.91679	29.73301
289.19247	283.43914	27.19609	33.10722
271.29832	264.84877	28.17644	35.68132
254.62446	247.68246	28.99558	37.68046
239.18202	231.82945	29.76973	39.45208
224.88174	217.19298	30.40354	41.03581
211.71451	203.69553	30.90555	42.52512
199.57305	191.31093	31.31066	43.78164
188.41436	179.90732	31.65019	44.90186
178.15789	169.44129	31.87693	45.87265
168.67301	159.81220	32.03778	46.67951
159.92973	150.95041	32.15351	47.35185
151.85293	142.78791	32.25175	47.93054
144.37465	135.24823	32.34187	48.44464
137.45908	128.25507	32.40865	48.94473
131.02634	121.76810	32.45743	49.44120
125.02952	115.74374	32.47726	49.86571
119.40203	110.10777	32.49555	50.22011
114.97674	105.68926	32.51844	50.48018
110.78051	101.50318	32.53958	50.73369
106.78374	97.53331	32.53636	50.96439
102.23183	93.02463	32.53414	51.19748
97.94160	88.76911	32.56646	51.43539
94.53365	85.41027	32.55949	51.60720
91.26670	82.19834	32.58033	51.73546
87.54364	78.52059	32.60405	51.89156
84.57639	75.59931	32.61992	52.01653
81.18670	72.26202	32.63553	52.13838
77.95500	69.09404	32.64284	52.25674
75.38705	66.57230	32.65226	52.33682
72.91192	64.15200	32.66527	52.39046
70.52887	61.82749	32.66846	52.41839
67.79248	59.15909	32.66165	52.44443
65.60584	57.02110	32.67475	52.48548
63.50039	54.97402	32.66361	52.49972
61.07336	52.61647	32.65693	52.49616
58.75356	50.37643	32.63034	52.49139
56.90562	48.57734	32.62190	52.48906
54.76130	46.52257	32.59636	52.45091
53.05161	44.87442	32.57537	52.44641
51.40515	43.28947	32.55832	52.43203
49.52067	41.47047	32.52862	52.41068
