P	Target	Relationship
YAL017W	YJR060W	-
YAL017W	YMR070W	-
YAR019C	YBR160W	-
YAR019C	YGR092W	kinase
YAR019C	YMR139W	-
YBL016W	YBR083W	kinase
YBL016W	YDL159W	-
YBL016W	YHR084W	kinase
YBL016W	YNL053W	kinase
YBL016W	YPL049C	kinase
YBL056W	YBR160W	phosphatase
YBL056W	YLR113W	phosphatase
YBL088C	YBR112C	kinase
YBL088C	YBR136W	kinase
YBL088C	YDL101C	kinase
YBL088C	YDR310C	kinase
YBL088C	YER133W	kinase
YBL088C	YHR030C	kinase
YBL088C	YJR060W	kinase
YBL088C	YKL112W	kinase
YBL088C	YMR016C	kinase
YBL088C	YNL312W	kinase
YBL088C	YOR372C	kinase
YBL088C	YPL153C	kinase
YBL105C	YER111C	-
YBL105C	YGL035C	-
YBL105C	YHL020C	kinase
YBL105C	YHR030C	kinase
YBL105C	YJL095W	kinase
YBL105C	YJR066W	kinase
YBL105C	YKL126W	-
YBL105C	YKL203C	kinase
YBL105C	YMR036C	-
YBL105C	YOL100W	-
YBL105C	YPL089C	-
YBL105C	YPL256C	-
YBR059C	YBR059C	kinase
YBR059C	YMR139W	-
YBR097W	YLR240W	kinase
YBR125C	YLR113W	phosphatase
YBR136W	YBR112C	kinase
YBR136W	YBR136W	kinase
YBR136W	YDL101C	kinase
YBR136W	YDR310C	kinase
YBR136W	YER133W	kinase
YBR136W	YER169W	kinase
YBR136W	YHR030C	kinase
YBR136W	YJR060W	kinase
YBR136W	YKL112W	kinase
YBR136W	YLR176C	kinase
YBR136W	YMR016C	kinase
YBR136W	YNL312W	kinase
YBR136W	YOR372C	kinase
YBR136W	YPL153C	kinase
YBR160W	YBL056W	kinase
YBR160W	YBL105C	kinase
YBR160W	YBR059C	kinase
YBR160W	YBR160W	kinase
YBR160W	YCL055W	kinase
YBR160W	YCR065W	kinase
YBR160W	YDL017W	kinase
YBR160W	YDL025C	kinase
YBR160W	YDL028C	kinase
YBR160W	YDL048C	kinase
YBR160W	YDL056W	-
YBR160W	YDL106C	kinase
YBR160W	YDR028C	kinase
YBR160W	YDR146C	kinase
YBR160W	YDR216W	kinase
YBR160W	YDR310C	kinase
YBR160W	YDR436W	kinase
YBR160W	YDR451C	-
YBR160W	YDR501W	kinase
YBR160W	YDR507C	kinase
YBR160W	YER075C	kinase
YBR160W	YER111C	kinase
YBR160W	YER129W	kinase
YBR160W	YER161C	kinase
YBR160W	YER169W	kinase
YBR160W	YFL029C	-
YBR160W	YFL033C	kinase
YBR160W	YFL034C-B	kinase
YBR160W	YFR028C	kinase
YBR160W	YGL035C	kinase
YBR160W	YGR092W	kinase
YBR160W	YGR097W	kinase
YBR160W	YGR109C	-
YBR160W	YGR188C	-
YBR160W	YHL007C	kinase
YBR160W	YHR030C	-
YBR160W	YHR102W	kinase
YBR160W	YIL101C	kinase
YBR160W	YIR023W	kinase
YBR160W	YJL095W	kinase
YBR160W	YJL106W	kinase
YBR160W	YJL165C	kinase
YBR160W	YJL187C	kinase
YBR160W	YJR059W	kinase
YBR160W	YKL038W	kinase
YBR160W	YKL048C	kinase
YBR160W	YKL062W	kinase
YBR160W	YKL101W	kinase
YBR160W	YKL116C	kinase
YBR160W	YKL168C	kinase
YBR160W	YKL185W	kinase
YBR160W	YKR099W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR131C	kinase
YBR160W	YLR182W	kinase
YBR160W	YLR183C	kinase
YBR160W	YLR248W	kinase
YBR160W	YML016C	kinase
YBR160W	YML027W	kinase
YBR160W	YML076C	kinase
YBR160W	YMR001C	kinase
YBR160W	YMR036C	kinase
YBR160W	YMR291W	kinase
YBR160W	YNL068C	kinase
YBR160W	YNL161W	kinase
YBR160W	YNL167C	kinase
YBR160W	YNL289W	-
YBR160W	YNL298W	kinase
YBR160W	YNL309W	kinase
YBR160W	YNR031C	kinase
YBR160W	YNR047W	kinase
YBR160W	YOL100W	kinase
YBR160W	YOR358W	kinase
YBR160W	YOR372C	kinase
YBR160W	YPL031C	-
YBR160W	YPL141C	kinase
YBR160W	YPL153C	kinase
YBR160W	YPL209C	kinase
YBR160W	YPL248C	kinase
YBR160W	YPL256C	kinase
YBR160W	YPR119W	-
YCL024W	YDR507C	-
YCL024W	YNL027W	-
YCR008W	YDL006W	-
YCR073C	YJL128C	kinase
YCR073C	YLR113W	-
YCR091W	YKL126W	-
YCR091W	YMR216C	-
YDL006W	YHR030C	phosphatase
YDL006W	YLR113W	phosphatase
YDL017W	YDL017W	kinase
YDL017W	YMR001C	-
YDL017W	YMR043W	kinase
YDL017W	YNL312W	kinase
YDL025C	YMR216C	-
YDL028C	YGR188C	-
YDL028C	YMR139W	-
YDL028C	YPL204W	kinase
YDL047W	YDR283C	phosphatase
YDL047W	YER040W	phosphatase
YDL047W	YHR030C	phosphatase
YDL047W	YNL183C	phosphatase
YDL079C	YDR207C	kinase
YDL079C	YHR030C	-
YDL101C	YDR216W	kinase
YDL101C	YLR176C	kinase
YDL101C	YMR075W	kinase
YDL101C	YPL153C	-
YDL108W	YPL248C	kinase
YDL108W	YPR025C	-
YDL134C	YBR160W	phosphatase
YDL134C	YDR283C	phosphatase
YDL134C	YER040W	phosphatase
YDL134C	YMR036C	phosphatase
YDL159W	YBL016W	kinase
YDL159W	YGR040W	kinase
YDL188C	YBR160W	phosphatase
YDL188C	YDR283C	phosphatase
YDL188C	YMR036C	phosphatase
YDL235C	YHR206W	-
YDL235C	YIL147C	-
YDR028C	YDR477W	phosphatase
YDR028C	YMR037C	phosphatase
YDR122W	YGL019W	-
YDR122W	YPL133C	-
YDR247W	YMR216C	-
YDR283C	YDR283C	-
YDR283C	YMR216C	-
YDR283C	YPL133C	-
YDR436W	YHR030C	phosphatase
YDR466W	YNL099C	-
YDR477W	YBR112C	-
YDR477W	YDL025C	kinase
YDR477W	YDR028C	kinase
YDR477W	YDR043C	-
YDR477W	YDR122W	kinase
YDR477W	YDR216W	kinase
YDR477W	YER028C	kinase
YDR477W	YER040W	kinase
YDR477W	YER129W	-
YDR477W	YFL021W	kinase
YDR477W	YGL035C	kinase
YDR477W	YGL073W	kinase
YDR477W	YGL179C	-
YDR477W	YHL007C	kinase
YDR477W	YJL089W	kinase
YDR477W	YKL038W	-
YDR477W	YKL139W	-
YDR477W	YMR037C	kinase
YDR477W	YMR280C	kinase
YDR477W	YNL025C	-
YDR477W	YPL031C	-
YDR477W	YPL042C	-
YDR477W	YPL133C	kinase
YDR490C	YBL105C	kinase
YDR490C	YDR283C	-
YDR490C	YHR205W	kinase
YDR490C	YJL164C	-
YDR490C	YKL126W	kinase
YDR490C	YKL166C	-
YDR490C	YPL203W	-
YDR507C	YBR160W	-
YDR507C	YCL024W	-
YDR507C	YDR507C	-
YDR507C	YJL187C	-
YDR507C	YKL048C	kinase
YDR507C	YKL101W	-
YDR507C	YNL027W	-
YDR507C	YPL133C	-
YDR523C	YGL019W	-
YDR523C	YPL133C	-
YER075C	YBL016W	phosphatase
YER075C	YHR030C	phosphatase
YER075C	YLR113W	phosphatase
YER075C	YNL307C	phosphatase
YER089C	YBR160W	phosphatase
YER089C	YHR079C	phosphatase
YER089C	YLR113W	phosphatase
YER089C	YPL153C	phosphatase
YER123W	YHR135C	-
YER129W	YDR028C	kinase
YER129W	YDR477W	kinase
YER133W	YDR028C	phosphatase
YER133W	YDR477W	phosphatase
YER133W	YGL035C	phosphatase
YER133W	YMR037C	phosphatase
YFL029C	YBR160W	kinase
YFL029C	YDL108W	kinase
YFL029C	YJL106W	kinase
YFL029C	YKL139W	kinase
YFL029C	YPL256C	-
YFL029C	YPR119W	-
YFL033C	YDR207C	kinase
YFL033C	YGL073W	-
YFL033C	YHR205W	-
YFL033C	YJL164C	-
YFL033C	YMR037C	-
YFL033C	YPL031C	-
YFL034C-B	YFR028C	kinase
YFR028C	YAR019C	phosphatase
YFR028C	YDR146C	phosphatase
YFR028C	YLR182W	phosphatase
YFR028C	YPR119W	phosphatase
YGL019W	YBR160W	kinase
YGL019W	YDL020C	kinase
YGL019W	YDR043C	kinase
YGL019W	YER089C	kinase
YGL019W	YHL020C	kinase
YGL019W	YKL112W	kinase
YGL019W	YOR119C	kinase
YGL059W	YHL007C	kinase
YGL059W	YPL049C	kinase
YGL158W	YDL006W	-
YGL158W	YDR423C	-
YGL158W	YLR113W	-
YGL179C	YDR477W	kinase
YGL179C	YGL035C	-
YGL180W	YGL180W	-
YGR040W	YDL006W	-
YGR040W	YDL159W	-
YGR040W	YHR084W	kinase
YGR040W	YPL049C	kinase
YGR092W	YBR160W	-
YGR092W	YFR028C	kinase
YGR109C	YLR182W	kinase
YGR188C	YPL153C	kinase
YHL007C	YAR019C	-
YHL007C	YGL019W	-
YHL007C	YHL007C	kinase
YHL007C	YLR113W	-
YHL007C	YLR362W	kinase
YHL007C	YPL256C	-
YHR030C	YBL105C	-
YHR030C	YDL006W	-
YHR030C	YER111C	kinase
YHR030C	YFL031W	-
YHR030C	YHR030C	-
YHR030C	YIL113W	-
YHR030C	YJL095W	-
YHR030C	YKL126W	-
YHR030C	YKL161C	-
YHR030C	YLR113W	-
YHR030C	YLR182W	kinase
YHR030C	YNL025C	-
YHR030C	YNL053W	kinase
YHR030C	YNL289W	-
YHR030C	YOR208W	-
YHR030C	YOR231W	-
YHR030C	YPL089C	kinase
YHR030C	YPL140C	kinase
YHR071W	YEL009C	kinase
YHR079C	YFL031W	-
YHR079C	YHR079C	kinase
YHR102W	YFL034C-B	-
YHR102W	YLR131C	-
YHR102W	YNL161W	-
YHR135C	YDR463W	kinase
YHR135C	YER123W	-
YHR135C	YMR036C	-
YHR135C	YNL154C	-
