loss	sse	Lt	Lp	epoch	time
245797.95353	244037.19221	26.00509	56.76479	1	2019-12-16T20:06:26.99
243391.12003	242746.71199	93.10274	62.05107	4	2019-12-16T20:45:32.806
241795.50652	241410.51497	154.10432	66.65485	7	2019-12-16T21:26:23.347
240961.00461	239859.05443	209.60734	86.70583	10	2019-12-16T22:07:08.765
238792.71239	237605.04869	260.53703	144.68926	13	2019-12-16T22:47:08.555
234946.68072	232359.94349	306.24076	217.97337	16	2019-12-16T23:27:15.462
233246.81345	230224.24898	330.17637	218.29698	19	2019-12-17T00:07:44.479
232860.46573	230402.09600	346.44952	207.14039	22	2019-12-17T00:49:25.894
231462.95489	229032.64212	364.29930	217.34297	25	2019-12-17T01:30:25.547
229439.92136	226704.04172	382.97016	236.81327	28	2019-12-17T02:11:06.436
228194.67137	224478.33289	399.50801	264.91601	31	2019-12-17T02:51:04.594
227345.10952	223313.81979	408.85519	276.02283	34	2019-12-17T03:31:45.583
226145.86012	222528.76137	413.19928	276.43811	37	2019-12-17T04:12:28.162
225450.48594	221863.78968	418.60141	281.82459	40	2019-12-17T04:52:34.549
224246.73938	220591.15926	426.36121	295.66087	43	2019-12-17T05:33:14.543
223596.85542	219318.59407	434.39821	312.93477	46	2019-12-17T06:13:41.534
222874.30509	218445.29298	439.94914	323.15869	49	2019-12-17T06:54:35.326
222143.69670	217851.75227	444.11664	330.22275	52	2019-12-17T07:35:12.946
221504.10503	217131.36605	448.94165	339.98435	55	2019-12-17T08:15:57.26
220745.74017	216264.88444	454.33033	352.66804	58	2019-12-17T08:56:18.144
220210.16754	215559.17985	458.86971	364.28741	61	2019-12-17T09:36:55.553
219549.43870	215005.76008	462.30890	374.21203	64	2019-12-17T10:18:03.7
219005.04048	214432.21673	465.71300	385.42401	67	2019-12-17T10:58:48.105
218532.48146	213809.37009	469.29709	397.91288	70	2019-12-17T11:39:41.688
218112.89547	213248.18938	472.55718	410.16043	73	2019-12-17T12:21:42.856
217656.95069	212755.14957	475.51453	421.62793	76	2019-12-17T13:03:00.153
217123.59724	212260.10862	478.57221	433.73406	79	2019-12-17T13:43:53.516
216696.43563	211741.13330	481.83506	446.72881	82	2019-12-17T14:25:34.141
216226.59653	211239.26626	485.06045	459.96887	85	2019-12-17T15:06:13.316
215811.24739	210760.13414	488.10923	473.18215	88	2019-12-17T15:47:29.27
215458.72548	210284.70463	491.12423	486.60886	91	2019-12-17T16:28:22.398
215008.19209	209824.43934	494.10367	499.93445	94	2019-12-17T17:09:14.032
214601.31577	209365.14850	497.07898	513.57585	97	2019-12-17T17:49:44.741
214175.77596	208908.99393	500.05238	527.28879	100	2019-12-17T18:30:54.03
213826.60845	208464.30267	502.94171	541.11334	103	2019-12-17T19:11:34.847
213427.12602	208025.01889	505.66217	554.77017	106	2019-12-17T19:52:38.945
213057.95216	207599.15670	508.19741	568.55812	109	2019-12-17T20:33:39.744
212751.48480	207184.45819	510.54595	582.20127	112	2019-12-17T21:14:28.044
212397.92743	206781.91826	512.75424	595.64764	115	2019-12-17T21:54:19.522
211996.10891	206388.68437	514.77183	608.84168	118	2019-12-17T22:35:13.836
211716.43019	205994.96372	516.64978	622.10869	121	2019-12-17T23:16:03.651
211386.86759	205621.72370	518.29873	635.13421	124	2019-12-17T23:57:18.863
211085.68944	205263.26699	519.78643	647.95273	127	2019-12-18T00:37:07.706
210855.47000	204904.27954	521.10604	660.58602	130	2019-12-18T01:17:24.4
210499.76590	204563.60613	522.22330	672.89815	133	2019-12-18T01:58:09.964
210180.55731	204232.99528	523.19035	685.03535	136	2019-12-18T02:38:58.386
209970.91284	203910.34478	524.01987	697.15393	139	2019-12-18T03:20:03.172
209650.40006	203603.78483	524.73002	708.87346	142	2019-12-18T04:01:27.015
209463.37083	203300.13242	525.42285	720.57134	145	2019-12-18T04:42:49.352
209194.29843	203005.09052	525.98635	732.01286	148	2019-12-18T05:23:56.744
208942.44736	202720.12606	526.42415	743.18962	151	2019-12-18T06:05:38.594
208652.64153	202447.08402	526.79516	754.29423	154	2019-12-18T06:46:29.724
208445.67519	202178.91795	527.10053	765.42583	157	2019-12-18T07:26:51.892
208229.53248	201921.64600	527.34126	776.32951	160	2019-12-18T08:08:14.426
208039.02854	201673.18517	527.50814	787.12852	163	2019-12-18T08:49:59.139
207828.89805	201427.60185	527.64404	797.74905	166	2019-12-18T09:31:00.675
207615.50868	201197.77563	527.76849	808.16331	169	2019-12-18T10:11:41.167
207398.03636	200968.08636	527.81193	818.43764	172	2019-12-18T10:52:12.33
207265.13403	200744.80272	527.72221	828.62151	175	2019-12-18T11:31:50.643
206992.41290	200533.29997	527.58898	838.54153	178	2019-12-18T12:13:02.604
206888.85725	200327.05371	527.44559	848.42995	181	2019-12-18T12:55:09.777
206713.50342	200130.29242	527.31162	858.17649	184	2019-12-18T13:35:45.937
206522.75567	199931.24614	527.16278	867.79752	187	2019-12-18T14:15:52.819
206338.49745	199740.61402	526.98528	877.34016	190	2019-12-18T14:56:40.896
206173.65054	199556.73751	526.70788	886.83349	193	2019-12-18T15:37:13.998
206008.20579	199378.72231	526.34126	896.11154	196	2019-12-18T16:14:44.957
205921.40346	199204.29732	525.95123	905.40840	199	2019-12-18T16:49:49.281
205785.75136	199037.81748	525.58005	914.42295	202	2019-12-18T17:24:40.141
