	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.744363123540699	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-6.425840542292182	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-7.576594282869603	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.028019962456011	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.695845775507602	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.033802141122509	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-6.969854416878507	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.699069969281637
O1	2.2026262034578997e-5	-3.1360540395411536	2.202664456437645e-5	2.2026628105238565e-5	2.2026640155555886e-5	0.688998876780736	2.2026660154228854e-5	2.202667555734586e-5
O2	1.272052210052644	-0.0007826447582572221	-0.0007826969617681438	-0.0007826931676114968	1.2721002223615057	-0.000782681817707869	-0.000782700832479845	-0.000782705269312109
O3	0.002804452620728463	0.0028055318933814253	0.0028097309752706003	-2.19988164997488	0.002809608198609455	0.00280821704549769	0.16990582063818502	0.0028110148862947786
O4	-0.0024838415280539826	-0.0024839294203784874	1.9819066719329155	-0.002484175757060301	-0.0024841905689329436	-0.00248411613415573	-0.002484217519106053	1.981855285181948
