"SUID","interaction","name","selected","shared interaction","shared name","WP","WT"
"282817","T","MAL63 (T) YOR145C","false","T","MAL63 (T) YOR145C",,"1.0"
"282818","T","MAL63 (T) YGL008C","false","T","MAL63 (T) YGL008C",,"1.0"
"282819","T","MAL63 (T) YML037C","false","T","MAL63 (T) YML037C",,"1.0"
"282820","T","MAL63 (T) YKR100C","false","T","MAL63 (T) YKR100C",,"1.0"
"282821","T","MAL63 (T) YKR101W","false","T","MAL63 (T) YKR101W",,"1.0"
"282822","T","MAL63 (T) YBR299W","false","T","MAL63 (T) YBR299W",,"1.0"
"282823","T","MAL63 (T) YNL291C","false","T","MAL63 (T) YNL291C",,"1.0"
"282824","T","MAL63 (T) YGR206W","false","T","MAL63 (T) YGR206W",,"1.0"
"282825","T","MAL63 (T) YLR237W","false","T","MAL63 (T) YLR237W",,"1.0"
"282826","T","MAL63 (T) YLR131C","false","T","MAL63 (T) YLR131C",,"1.0"
"282827","T","MAL63 (T) YHR011W","false","T","MAL63 (T) YHR011W",,"1.0"
"282828","T","MAL63 (T) YNL299W","false","T","MAL63 (T) YNL299W",,"1.0"
"282829","T","MAL63 (T) YBL010C","false","T","MAL63 (T) YBL010C",,"1.0"
"282830","T","MAL63 (T) YJR070C","false","T","MAL63 (T) YJR070C",,"1.0"
"282831","T","MAL63 (T) YLR097C","false","T","MAL63 (T) YLR097C",,"1.0"
"282832","T","MAL63 (T) YPL098C","false","T","MAL63 (T) YPL098C",,"1.0"
"282833","T","MAL63 (T) YGL047W","false","T","MAL63 (T) YGL047W",,"1.0"
"282834","T","MAL63 (T) YGL048C","false","T","MAL63 (T) YGL048C",,"1.0"
"282835","T","MAL63 (T) YLL026W","false","T","MAL63 (T) YLL026W",,"1.0"
"282836","T","MAL63 (T) YNL024C","false","T","MAL63 (T) YNL024C",,"1.0"
"282837","T","MAL63 (T) YLR396C","false","T","MAL63 (T) YLR396C",,"1.0"
"282838","T","MAL63 (T) YBR053C","false","T","MAL63 (T) YBR053C",,"1.0"
"282839","T","MAL63 (T) YNL289W","false","T","MAL63 (T) YNL289W",,"1.0"
"282840","T","MAL63 (T) YKR006C","false","T","MAL63 (T) YKR006C",,"1.0"
"282841","T","MAL63 (T) YNL298W","false","T","MAL63 (T) YNL298W",,"1.0"
"282842","T","MAL63 (T) YDR493W","false","T","MAL63 (T) YDR493W",,"1.0"
"282843","T","MAL63 (T) YKR008W","false","T","MAL63 (T) YKR008W",,"1.0"
"282844","T","MAL63 (T) YLR134W","false","T","MAL63 (T) YLR134W",,"1.0"
"282845","T","MAL63 (T) YDR208W","false","T","MAL63 (T) YDR208W",,"1.0"
"282846","T","MAL63 (T) YKL088W","false","T","MAL63 (T) YKL088W",,"1.0"
"282847","T","MAL63 (T) YDR207C","false","T","MAL63 (T) YDR207C",,"1.0"
"282848","T","MAL63 (T) YLR423C","false","T","MAL63 (T) YLR423C",,"1.0"
"282849","T","MAL63 (T) YDR463W","false","T","MAL63 (T) YDR463W",,"1.0"
