	r	p	ψ
T1	1.0	1.0	0.006685985139612397
T2	1.0	1.0	0.31762955440267926
T3	1.0	1.0	0.6555632269435708
T4	1.0	1.0	0.38539451464692914
P1	0.0005111800380957928	0.000750212190842114	0.000750212190842114
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.06930327678880716	0.0693062608411932	0.0
O2	0.9980320730140808	0.9927791075364336	0.0
O3	0.4220681313037315	0.422060822773637	0.0
O4	0.27948722924783503	0.279487862321233	0.0
