	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.428743651733459	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.829583201746275	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-6.828876487042589	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-7.574685420412798	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.64485262294888	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-8.233241484619056	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.442672197343441	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.8105090627848845
O1	-0.00029377916004591715	-0.3499282955040834	-0.0002935871103240873	-0.0002937289082797603	-0.00029378660506216707	2.041511092001811	-0.0002937744355591534	-0.00029377039892139115
O2	0.34162775760244396	-0.0022882968308218063	-0.0022860602555914993	-0.002299318444467374	0.3415560183699463	-0.0023092444865939975	-0.0023061452741076948	-0.0023053629248371717
O3	4.580073149332628e-5	4.577935287906943e-5	4.5775599838470555e-5	-1.4131498679972108	4.58016475543399e-5	4.580165878550773e-5	0.3798929130593427	4.579963330923215e-5
O4	-3.810507465125722e-12	-3.810507465125722e-12	1.274767001495043	-3.810507465125722e-12	-3.810507465125722e-12	-3.810507465125722e-12	-3.810507465125722e-12	1.2747500221229604
