	T1	T2	T3	T4
T1	-0.0	2.686480104527268e-6	5.99339858798705e-6	2.9059051851273645e-5
T2	-3.401572567729976e-8	0.0	-1.4627287572515646e-5	-6.593426203453729e-6
T3	-1.4073714466045094e-8	-5.991253006296232e-8	-0.0	3.6463219676971347e-6
T4	4.8159104351038863e-8	-9.177829216692647e-8	-5.187917649796018e-6	-0.0
P1	-3.478591002835036e-8	-6.291149674711567e-8	3.0755439929483177e-6	4.6577856129635716e-6
P2	-1.4041011166215909e-8	-6.223346803583468e-8	3.135239563634463e-6	5.4458293971962925e-6
P3	5.87099767323819e-7	3.9730318229236284e-7	-1.5598065921348714e-6	1.0709475851716092e-5
P4	-3.963835128771993e-8	1.150662261751175e-7	-1.5011386680521997e-6	2.0768620424397792e-6
O1	-0.01165117452225045	0.053049657478441405	0.002177182424027836	0.00541296168272398
O2	9.482163967336073e-5	0.004803354532065205	-0.011215648081522527	-0.0036639404086688467
O3	0.0003119120642945374	0.00039421423990839143	0.00031294484270533315	0.18700652658023448
O4	-0.0018507254899850145	-0.0002001127424674232	-0.1863234464523164	4.192901649370014e-6
