	r	p	ψ
T1	1.0	1.0	0.6729663624042983
T2	1.0	1.0	0.37659986326996625
T3	1.0	1.0	0.7432417132142902
T4	1.0	1.0	0.2227679550684854
P1	1.0	1.0	1.0
P2	1.0	1.0	1.0
P3	1.0	1.0	1.0
P4	1.0	1.0	1.0
O1	0.3427274729963575	0.34263680868213525	0.0
O2	0.7964831275027086	0.8010514427872941	0.0
O3	0.9612344701047095	0.9594663616186613	0.0
O4	0.5879842789555949	0.5888917019239094	0.0
