	T1	T2	T3	T4
T1	-0.0	-2.3908951998185943e-5	-2.2276139608807616e-5	-4.581089505701448e-5
T2	4.104065074469608e-5	0.0	4.4869159288027084e-5	-0.00011498282155037766
T3	-3.000465849699889e-5	-4.700807524975678e-5	-0.0	9.125648114425712e-6
T4	-1.7673809170442312e-5	9.757421494663343e-5	-1.0166854725438417e-5	-0.0
P1	-2.9074230401778114e-5	-5.085979843628103e-5	-1.0093639146660827e-5	-1.7825214341267635e-5
P2	4.68786091062355e-5	-5.126713809352291e-5	-1.3355499558759676e-5	-4.126493820642452e-5
P3	-2.180107164290979e-5	9.942032896135137e-6	0.00012053379928849565	-2.0926801589726293e-5
P4	-6.0758094449996615e-5	-2.9379037037849998e-5	0.000136307576843715	-4.88507463983256e-6
O1	-3.876257004218012e-7	0.4541052508355128	2.0846444148927628e-5	-8.897189009369992e-5
O2	-0.03036770223032533	9.776376994351726e-5	0.0002089191395503849	0.00015280594115425338
O3	-1.809102975491037e-5	-8.862516353551538e-5	-6.682467131115385e-5	0.4449902098001335
O4	-2.9211146976035653e-5	9.940880004198638e-6	-0.08563331595273219	1.2480828801071805e-5
