t	r_T1	r_T2	r_T3	r_T4	r_P1	r_P2	r_P3	r_P4	r_O1	r_O2	r_O3	r_O4	p_T1	p_T2	p_T3	p_T4	p_P1	p_P2	p_P3	p_P4	p_O1	p_O2	p_O3	p_O4	ψ_T1	ψ_T2	ψ_T3	ψ_T4	ψ_P1	ψ_P2	ψ_P3	ψ_P4
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3427274729963575	0.7964831275027086	0.9612344701047095	0.5879842789555949	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.34263680868213525	0.8010514427872941	0.9594663616186613	0.5888917019239094	0.6729663624042983	0.37659986326996625	0.7432417132142902	0.2227679550684854	1.0	1.0	1.0	1.0
0.31352645822999803	1.0	1.0	0.9938037760220336	1.0	1.0	1.0	1.0	1.0	0.3427273964688834	0.7964758418644294	0.9612375193739184	0.5879838199523879	1.0	1.0	0.9999672207412076	1.0	1.0	1.0	1.0	1.0	0.34263761017855643	0.8010204789846794	0.959483230428485	0.5888837997042102	0.6729663624073536	0.37659986326945527	0.7432415179460503	0.22276795506848504	1.0	1.0	1.0	1.0
1.313526458229998	1.0	1.0	0.9742962606044403	1.0	1.0	1.0	1.0	1.0	0.3427271565161289	0.7964528970725556	0.9612470745395231	0.5879824706461596	1.0	1.0	0.999434833313475	1.0	1.0	1.0	1.0	1.0	0.3426401150672338	0.8009227877819164	0.9595361578574845	0.5888590265454591	0.6729663624166227	0.3765998632679113	0.7432278138172501	0.22276795506848399	1.0	1.0	1.0	1.0
2.313526458229998	1.0	1.0	0.9551718553341668	1.0	1.0	1.0	1.0	1.0	0.3427269227320424	0.7964303916956514	0.9612563753611819	0.5879817845602103	1.0	1.0	0.9982776676407916	1.0	1.0	1.0	1.0	1.0	0.34264254336293803	0.8008267039924309	0.9595877764571579	0.5888349049248636	0.6729663624252084	0.37659986326648986	0.7431681879538893	0.22276795506848304	1.0	1.0	1.0	1.0
3.313526458229998	1.0	1.0	0.9364230362707298	1.0	1.0	1.0	1.0	1.0	0.3427266949580441	0.796408317318503	0.9612654286091431	0.5879828544003798	1.0	1.0	0.9965291248524104	1.0	1.0	1.0	1.0	1.0	0.3426448973754641	0.8007322024818306	0.9596381180572429	0.5888114490717865	0.672966362433161	0.37659986326518124	0.7430325493585457	0.2227679550684822	1.0	1.0	1.0	1.0
4.3135264582299975	1.0	1.0	0.9180424272371045	1.0	1.0	1.0	1.0	1.0	0.34272647303963033	0.7963866656870554	0.9612742408734412	0.5879872462175203	1.0	1.0	0.9942212471854848	1.0	1.0	1.0	1.0	1.0	0.3426471793457078	0.8006392584759457	0.9596872137307605	0.5887887096243857	0.6729663624405273	0.37659986326397654	0.7427948412081188	0.22276795506848146	1.0	1.0	1.0	1.0
5.3135264582299975	1.0	1.0	0.9000227969177829	1.0	1.0	1.0	1.0	1.0	0.34272625682626934	0.7963654287053258	0.9612828185686939	0.5879969148529136	1.0	1.0	0.9913847680552418	1.0	1.0	1.0	1.0	1.0	0.34264939144770307	0.8005478475565279	0.9597350938114337	0.5887667844561375	0.6729663624473504	0.3765998632628675	0.7424326682068986	0.2227679550684808	1.0	1.0	1.0	1.0
6.3135264582299975	1.0	1.0	0.8823570560138225	1.0	1.0	1.0	1.0	1.0	0.34272604617129876	0.7963445984323769	0.9612911679387719	0.588014129039079	1.0	1.0	0.9880491603639957	1.0	1.0	1.0	1.0	1.0	0.34265153579059926	0.8004579456569748	0.9597817879107244	0.5887458270143014	0.6729663624536705	0.37659986326184647	0.7419269542836986	0.22276795506848018	1.0	1.0	1.0	1.0
7.3135264582299975	1.0	1.0	0.8650382544537689	1.0	1.0	1.0	1.0	1.0	0.3427258409318264	0.7963241670793474	0.9612992950613433	0.5880414053049484	1.0	1.0	0.9842426831094633	1.0	1.0	1.0	1.0	1.0	0.34265361442058045	0.8003695290580833	0.959827324934496	0.5887260524924962	0.6729663624595246	0.37659986326090644	0.7412616282874993	0.22276795506847966	1.0	1.0	1.0	1.0
8.313526458229997	1.0	1.0	0.8480595786593518	1.0	1.0	1.0	1.0	1.0	0.3427256409686333	0.7963041270065395	0.9613072058522979	0.5880814498713406	1.0	1.0	0.9799924263507948	1.0	1.0	1.0	1.0	1.0	0.3426556293227285	0.8002825743838297	0.9598717330993094	0.5887077421277837	0.672966362464947	0.3765998632600411	0.7404233355132608	0.22276795506847918	1.0	1.0	1.0	1.0
9.313526458229997	1.0	1.0	0.8314143488648813	1.0	1.0	1.0	1.0	1.0	0.34272544614607925	0.7962844707205629	0.9613149060700538	0.5881371077668225	1.0	1.0	0.975324354588755	1.0	1.0	1.0	1.0	1.0	0.3426575824228313	0.8001970585971785	0.9599150399483609	0.5886912458828718	0.6729663624699697	0.3765998632592444	0.7394011730535214	0.22276795506847874	1.0	1.0	1.0	1.0
10.313526458229997	1.0	1.0	0.8150960164892888	1.0	1.0	1.0	1.0	1.0	0.34272525633201095	0.796265190871532	0.9613224013197486	0.5882113184426386	1.0	1.0	0.9702633486145772	1.0	1.0	1.0	1.0	1.0	0.34265947558913756	0.8001129589959217	0.9599572723670676	0.5886769837463697	0.672966362474622	0.3765998632585109	0.7381864471230921	0.22276795506847835	1.0	1.0	1.0	1.0
11.313526458229997	1.0	1.0	0.7990981615597778	1.0	1.0	1.0	1.0	1.0	0.3427250713976722	0.7962462802503186	0.9613296970573195	0.5883070772162893	1.0	1.0	0.9648332458801622	1.0	1.0	1.0	1.0	1.0	0.34266131063406086	0.8000302532085464	0.9599984565983085	0.5886654458584804	0.6729663624789314	0.3765998632578357	0.736772450644498	0.22276795506847802	1.0	1.0	1.0	1.0
12.313526458229997	1.0	1.0	0.783414490186073	1.0	1.0	1.0	1.0	1.0	0.34272489121761673	0.7962277317858558	0.9613367985934754	0.5884274019249006	1.0	1.0	0.9590568794405101	1.0	1.0	1.0	1.0	1.0	0.3426630893158327	0.7999489191901329	0.960038618257328	0.5886571916460859	0.672966362482923	0.37659986325721406	0.7351542595116491	0.2227679550684777	1.0	1.0	1.0	1.0
13.313526458229997	1.0	1.0	0.7680388320842725	1.0	1.0	1.0	1.0	1.0	0.34272471566962304	0.796209538542494	0.961343711097562	0.5885753042205301	1.0	1.0	0.9529561155175468	1.0	1.0	1.0	1.0	1.0	0.34266481334010784	0.7998689352182844	0.960077782346309	0.5886528481298047	0.6729663624866203	0.3765998632566418	0.7333285460693342	0.22276795506847744	1.0	1.0	1.0	1.0
14.313526458229997	1.0	1.0	0.7529651381493289	1.0	1.0	1.0	1.0	1.0	0.3427245446346116	0.7961916937174078	0.9613504396013247	0.588753764989084	1.0	1.0	0.9465518897328367	1.0	1.0	1.0	1.0	1.0	0.34266648436152153	0.7997902798890866	0.9601159732686231	0.588653107546199	0.672966362490045	0.37659986325611494	0.7312934084572371	0.22276795506847719	1.0	1.0	1.0	1.0
15.313526458229997	1.0	1.0	0.7381874780752049	1.0	1.0	1.0	1.0	1.0	0.34272437799656397	0.7961741906380522	0.9613569890025718	0.5889657134219533	1.0	1.0	0.9398642420550641	1.0	1.0	1.0	1.0	1.0	0.3426681039852017	0.7997129321130999	0.9601532148427616	0.5886587244107776	0.6729663624932173	0.3765998632556299	0.7290482145699574	0.22276795506847696	1.0	1.0	1.0	1.0
16.313526458229997	1.0	1.0	0.7237000380217676	1.0	1.0	1.0	1.0	1.0	0.34272421564244426	0.7961570227596674	0.9613633640687395	0.5892140093143657	1.0	1.0	0.9329123505066059	1.0	1.0	1.0	1.0	1.0	0.3426696737682364	0.7996368711113829	0.9601895303159588	0.588670512131655	0.6729663624961556	0.37659986325518335	0.7265934594795815	0.22276795506847677	1.0	1.0	1.0	1.0
17.313526458229997	1.0	1.0	0.709497118327502	1.0	1.0	1.0	1.0	1.0	0.3427240574621223	0.7961401836628321	0.9613695694403616	0.589501428206547	1.0	1.0	0.9257145636720134	1.0	1.0	1.0	1.0	1.0	0.34267119522109807	0.7995620764115483	0.960224942377509	0.588689339269582	0.6729663624988773	0.37659986325477224	0.7239306352552927	0.22276795506847658	1.0	1.0	1.0	1.0
