t	r_T1	r_T2	r_T3	r_T4	r_P1	r_P2	r_P3	r_P4	r_O1	r_O2	r_O3	r_O4	p_T1	p_T2	p_T3	p_T4	p_P1	p_P2	p_P3	p_P4	p_O1	p_O2	p_O3	p_O4	ψ_T1	ψ_T2	ψ_T3	ψ_T4	ψ_P1	ψ_P2	ψ_P3	ψ_P4
0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.019033386512940786	1.0	0.028714874949339747	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.019033386512940786	1.0	0.028714874949339747	1.0	0.05154222095193925	0.9484401485323151	0.05726610262376362	0.9150253572023269	1.0	1.0	1.0	1.0
0.12625308062211504	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021712837516926986	0.9999999259839923	0.03188705472344244	0.9999648057367356	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.019038177634846526	0.9999999999054243	0.02872098805640716	0.9999999400637051	0.0575222297860839	0.942500017825034	0.0639067066210129	0.9055356162637123	1.0	1.0	1.0	1.0
1.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.042418507789612245	0.9999972728639124	0.05663451699995432	0.9994109878229681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.019405618694405068	0.999999978569174	0.029192112442261397	0.9999925266263617	0.10289897387743248	0.8975790966955297	0.11428320394022898	0.8348245806697073	1.0	1.0	1.0	1.0
2.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06220475832954345	0.9999855786724475	0.08072323953624534	0.9982679557377078	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.020328327557237073	0.9999998192595622	0.030383648073299147	0.9999622091291852	0.14493008707432226	0.8562239797786757	0.16092400170464813	0.7714367544761354	1.0	1.0	1.0	1.0
3.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08107193785627725	0.9999541589926868	0.10417075697587808	0.9964568617642623	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021765106577593844	0.9999992225404685	0.03225436595376717	0.9998921613380158	0.1838622430045354	0.818151615005119	0.20410612296879682	0.7146137073266584	1.0	1.0	1.0	1.0
4.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.09902307020702222	0.9998894139993633	0.12699413721545272	0.9939559158435975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.023675955172291246	0.9999976324847195	0.0347647980545097	0.9997646958369488	0.2199239280299653	0.7831014188621593	0.24408604797544323	0.6636755559300246	1.0	1.0	1.0	1.0
5.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.11606428342383768	0.9997762174530049	0.14920999382834285	0.9907800535631189	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026022117383098203	0.9999941946190046	0.03787717047515584	0.9995625579055636	0.25332678219515453	0.7508334928489789	0.28110123752019855	0.6180128293099463	1.0	1.0	1.0	1.0
6.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1322051203604352	0.9995991936300134	0.17083449815770319	0.9869669843779815	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.028766138484354033	0.9999877436862588	0.04155533898607174	0.999269719262137	0.2842668413075919	0.721126981508921	0.31537154335009665	0.5770791765327903	1.0	1.0	1.0	1.0
7.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.14745871417132972	0.9993437568315943	0.191883391087575	0.9825675630980615	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.031871926817333696	0.9999768166227968	0.045764726868659546	0.9988718294018397	0.3129256874393322	0.6937785608004897	0.3471005139732163	0.5403848296616158	1.0	1.0	1.0	1.0
8.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.16184182221945007	0.9989968756122901	0.21237199450068864	0.9776392409237883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03530481681546459	0.999959684600436	0.05047226497529661	0.9983564346028758	0.33947151460204134	0.6686010464608374	0.37647660363520286	0.5074907437213182	1.0	1.0	1.0	1.0
9.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.17537472234266693	0.9985475706708884	0.23231522243134048	0.9722417086644661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.039031629263682824	0.9999343978586377	0.05564633393283221	0.9977130428010358	0.36406011584973696	0.6454221128367847	0.40367429164340685	0.47800334356002305	1.0	1.0	1.0	1.0
10.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.18808098479406096	0.9979871798944546	0.25172759192150324	0.9664340809767424	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04302072519110895	0.9998988376725225	0.06125670841609667	0.9969330894070196	0.38683579760236675	0.6240831134145065	0.42885511868686493	0.45156981475334057	1.0	1.0	1.0	1.0
11.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.19998714051098518	0.9973094348679765	0.2706232335881108	0.9602731479983017	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0472420503774177	0.9998507707777551	0.06727450342033282	0.9960098422793784	0.40793222655623773	0.6044379949750858	0.4521686463073482	0.4278738822075185	1.0	1.0	1.0	1.0
12.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.21112227107277443	0.9965103952347628	0.2890159019092413	0.9538123552414343	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05166716818718172	0.9997879026582619	0.07367212246383449	0.9949382719342319	0.42747321415167316	0.5863522979439516	0.47375334522025553	0.40663202595281356	1.0	1.0	1.0	1.0
13.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2215175476227088	0.99558828402486	0.3069189852367042	0.9471012724843964	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.05626927925201909	0.9997079271462859	0.08042320765437297	0.9937149044782375	0.4455734432018081	0.5697022360921677	0.4937374177615351	0.38759008884934637	1.0	1.0	1.0	1.0
14.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.23120574540040886	0.994543260931212	0.3243455155423209	0.9401853849799297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06102322732026631	0.9996085707007742	0.08750259155521359	0.9923376687469088	0.4623391409469863	0.5543738492906531	0.5122395593455583	0.37052023561690633	1.0	1.0	1.0	1.0
15.126253080622115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.24022075788196395	0.9933771632596459	0.3413081779049733	0.9331060921206832	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0659054913240708	0.9994876304807645	0.09488625078867213	0.9908057449868489	0.4778687024848045	0.5402622235184238	0.5293696634566256	0.35521822680373843	1.0	1.0	1.0	1.0
16.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2485971305229811	0.9920932370687124	0.35781931974528686	0.9259008352011281	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07089416432896914	0.9993430059083447	0.10255126131723728	0.9891194195934347	0.49225326823461	0.5272707727862586	0.5452294743614019	0.34150097507756194	1.0	1.0	1.0	1.0
17.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.25636962941978064	0.9906958745314488	0.37389095981461246	0.918603301362339	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07596892050618669	0.9991727238336373	0.11047575534429341	0.9872799485089292	0.5055772588254962	0.5153105780609691	0.5599131914190671	0.3292043546000354	1.0	1.0	1.0	1.0
18.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2635728554330522	0.9891903681189781	0.3895347969447837	0.9112436684062128	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0811109715965587	0.9989749576951341	0.11863887977841982	0.9852894306171214	0.517918870546964	0.5042997786655886	0.5735080285784835	0.3181812372740058	1.0	1.0	1.0	1.0
19.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.27024090989965266	0.9875826879075742	0.40476221856494626	0.9038488672586651	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08630301452527613	0.9987480412393037	0.12702075620712003	0.9831506916400927	0.5293505342699673	0.4941630119899625	0.5860947323855122	0.3082997323673947	1.0	1.0	1.0	1.0
20.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2764071142755793	0.9858792850796783	0.4195843089915921	0.8964428471199164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0915291718966508	0.9984904774498595	0.13560244232765098	0.9808671785114917	0.5399393405316738	0.4848308976768824	0.5977480615771855	0.29944160845095896	1.0	1.0	1.0	1.0
21.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.28210378304383704	0.9840869223816388	0.434011857497778	0.8890468339442315	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.09677492707114398	0.9982009433626369	0.14436589478437853	0.9784428638723195	0.5497474332786935	0.4762395627533118	0.6085372311112832	0.2915008787685364	1.0	1.0	1.0	1.0
22.126253080622114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2873620470058281	0.982212530745119	0.44805536616736247	0.8816795766662751	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.10202705542784249	0.9978782914259603	0.15329393336378508	0.975882160143188	0.5588323745795872	0.46833020445649914	0.618526323268628	0.2843825331138419	1.0	1.0	1.0	1.0
