	T1	T2	T3	T4	P1	P2	P3	P4
T1	-7.414976941078079	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T2	0.0	-7.423962189797165	0.0	0.0	0.0	0.0	0.0	0.0
T3	0.0	0.0	-6.800031455594012	0.0	0.0	0.0	0.0	0.0
T4	0.0	0.0	0.0	-6.466787323725809	0.0	0.0	0.0	0.0
P1	0.0	0.0	0.0	0.0	-7.862040320188004	0.0	0.0	0.0
P2	0.0	0.0	0.0	0.0	0.0	-7.761610095459924	0.0	0.0
P3	0.0	0.0	0.0	0.0	0.0	0.0	-7.349232087718037	0.0
P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.918325713521474
O1	-0.005423435466861054	-0.9708138626057524	-0.005422881658845747	-0.005423435737757411	-0.005424217865717723	3.3350212292226034	-0.0054241410303027425	-0.00542314317749742
O2	0.4060733443997971	-0.0007310485626298417	-0.0007310922960002668	-0.0007311776952577589	0.4061216857316138	-0.0007313034794905852	-0.000731288372579112	-0.0007311325041318506
O3	0.0003863423894653862	0.0003860244107278949	0.00038612707541760055	-1.3147595594230548	0.00038674838130314744	0.0003867650617970979	1.0537966909568024	0.0003862255763141016
O4	-0.0011617230779527414	-0.0011610602295209398	0.2097740183242643	-0.001161723307558428	-0.0011625097367343488	-0.0011625373517781953	-0.001162404678981698	0.20978705150986132
