loss	sse	Lt	Lp	epoch	time
2232349194.02266	2232238130.60992	21775.01433	14193.07296	0	2020-01-29T11:19:31.666
72858233.04387	72794321.58621	21761.45233	14197.54940	1	2020-01-29T11:41:33.771
67438276.75164	67387703.39297	21749.64799	14204.75255	2	2020-01-29T12:03:40.281
63094055.24259	63049523.73186	21738.65902	14212.41747	3	2020-01-29T12:25:17.046
58823836.73327	58782934.44876	21728.16798	14220.00943	4	2020-01-29T12:47:02.317
54694955.74321	54656705.11514	21718.04259	14227.33327	5	2020-01-29T13:09:21.64
50802699.55149	50766551.41434	21708.20795	14234.35895	6	2020-01-29T13:31:13.827
47201768.69448	47167297.93702	21698.61460	14241.07946	7	2020-01-29T13:53:31.222
43912230.94475	43879078.60792	21689.22489	14247.47877	8	2020-01-29T14:15:15.634
40931504.47624	40899435.07037	21680.00846	14253.57506	9	2020-01-29T14:37:24.443
38243972.77425	38212812.25057	21670.93931	14259.36649	10	2020-01-29T14:59:34.058
35827339.74819	35796960.07465	21661.99399	14264.88873	11	2020-01-29T15:21:41.253
33656669.84113	33626967.36773	21653.15099	14270.17261	12	2020-01-29T15:43:43.788
31706779.30398	31677672.74371	21644.39044	14275.23716	13	2020-01-29T16:05:27.417
29953595.37305	29925021.02694	21635.69458	14280.10524	14	2020-01-29T16:27:18.177
28374850.67731	28346755.72630	21627.04713	14284.78776	15	2020-01-29T16:49:27.293
26950365.28744	26922706.53118	21618.43372	14289.29302	16	2020-01-29T17:11:51.41
25662087.55396	25634838.93457	21609.84232	14293.64384	17	2020-01-29T17:34:03.086
24494032.23750	24467170.74494	21601.26160	14297.83889	18	2020-01-29T17:56:23.152
23432107.19382	23405620.29080	21592.68138	14301.88218	19	2020-01-29T18:18:31.654
22463951.39856	22437825.68004	21584.09224	14305.78705	20	2020-01-29T18:40:18.441
21578731.78402	21552957.97859	21575.48576	14309.56239	21	2020-01-29T19:02:19.41
20766968.99007	20741541.07388	21566.85411	14313.20863	22	2020-01-29T19:24:52.198
20020374.05529	19995284.82276	21558.19085	14316.73344	23	2020-01-29T19:46:56.603
19331690.04297	19306934.51043	21549.48935	14320.14282	24	2020-01-29T20:07:55.702
18694569.43882	18670136.85895	21540.74370	14323.43210	25	2020-01-29T20:28:39.547
18103441.71773	18079322.40403	21531.94852	14326.61102	26	2020-01-29T20:49:21.779
17553417.97877	17529602.82228	21523.09881	14329.69340	27	2020-01-29T21:09:30.235
17040200.46993	17016681.78300	21514.18916	14332.67131	28	2020-01-29T21:29:49.107
16560007.23203	16536777.95085	21505.21491	14335.55347	29	2020-01-29T21:49:54.921
16109508.10385	16086558.34845	21496.17131	14338.34356	30	2020-01-29T22:10:04.002
15685757.32029	15663080.94782	21487.05429	14341.05342	31	2020-01-29T22:30:14.155
15286153.63082	15263745.12106	21477.85997	14343.68247	32	2020-01-29T22:50:30.769
14908396.45907	14886248.93002	21468.58418	14346.23709	33	2020-01-29T23:10:53.051
14550444.24680	14528552.42486	21459.22296	14348.71194	34	2020-01-29T23:31:12.246
14210489.59249	14188845.78291	21449.77252	14351.11210	35	2020-01-29T23:51:21.62
13886925.34795	13865521.60681	21440.22938	14353.44062	36	2020-01-30T00:12:03.905
13578320.25808	13557151.25316	21430.59028	14355.70022	37	2020-01-30T00:32:25.927
13283405.53164	13262464.07538	21420.85234	14357.89500	38	2020-01-30T00:52:59.759
13001048.88812	12980329.48331	21411.01242	14360.03244	39	2020-01-30T01:14:06.139
12730243.68633	12709741.34687	21401.06724	14362.11064	40	2020-01-30T01:34:44.641
12470094.83015	12449804.34910	21391.01482	14364.13266	41	2020-01-30T01:55:18.536
12219806.00763	12199722.04472	21380.85331	14366.10200	42	2020-01-30T02:15:34.586
11978667.80668	11958786.42221	21370.58112	14368.01257	43	2020-01-30T02:36:22.549
11746052.52239	11726368.62642	21360.19727	14369.86953	44	2020-01-30T02:57:06.571
11521401.42470	11501910.81661	21349.69973	14371.67282	45	2020-01-30T03:17:38.015
11304219.04902	11284918.80684	21339.08782	14373.42198	46	2020-01-30T03:37:59.779
11094069.01097	11074955.54255	21328.36103	14375.11671	47	2020-01-30T03:58:55.707
10890565.81040	10871635.22167	21317.51885	14376.76591	48	2020-01-30T04:19:35.504
