loss	sse	Lt	Lp	epoch	time
4734901949.07079	4734894316.07087	21775.01433	14193.07296	0	2020-02-10T11:32:27.863
135808372.15415	135801145.59699	21761.00333	14197.53066	1	2020-02-10T11:53:19.999
126282315.94485	126275295.97481	21748.08978	14204.69277	2	2020-02-10T12:14:40.807
118961182.23928	118954301.06691	21735.80148	14212.28338	3	2020-02-10T12:36:10.455
111714312.36902	111707538.59899	21723.90998	14219.77091	4	2020-02-10T12:56:57.507
104616535.59165	104609844.47768	21712.31929	14226.96191	5	2020-02-10T13:17:28.62
97836146.80011	97829520.26403	21700.98160	14233.85392	6	2020-02-10T13:38:06.512
91483066.45866	91476491.23104	21689.86746	14240.43483	7	2020-02-10T13:58:03.226
85609940.03669	85603405.84790	21678.95519	14246.69357	8	2020-02-10T14:17:40.725
80229284.12289	80222786.63624	21668.22715	14252.65052	9	2020-02-10T14:37:09.156
75328464.48135	75322000.75234	21657.66782	14258.33574	10	2020-02-10T14:56:48.229
70880417.06772	70873984.68176	21647.26290	14263.76882	11	2020-02-10T15:16:20.116
66850795.58571	66844390.81184	21636.99868	14268.97604	12	2020-02-10T15:36:17.861
63202519.29464	63196138.55554	21626.86192	14273.98356	13	2020-02-10T15:56:04.226
59898547.82329	59892189.58962	21616.83978	14278.81777	14	2020-02-10T16:15:09.849
56903488.41456	56897149.81770	21606.91989	14283.47716	15	2020-02-10T16:34:02.608
54184435.60645	54178114.46439	21597.09029	14287.97291	16	2020-02-10T16:53:47.181
51711342.74536	51705037.86065	21587.33934	14292.31489	17	2020-02-10T17:13:18.2
49457103.39645	49450813.59301	21577.65581	14296.51534	18	2020-02-10T17:33:22.361
47397461.46704	47391185.57412	21568.02878	14300.59981	19	2020-02-10T17:55:34.099
45510830.31299	45504567.09205	21558.44778	14304.55522	20	2020-02-10T18:17:05.919
43778067.77755	43771816.22100	21548.90277	14308.38992	21	2020-02-10T18:38:56.455
42182237.60719	42175997.13933	21539.38416	14312.10491	22	2020-02-10T19:01:14.393
40708375.30562	40702144.81364	21529.88284	14315.70797	23	2020-02-10T19:23:02.974
39343264.45635	39337042.92287	21520.39017	14319.20877	24	2020-02-10T19:44:41.794
38075232.09649	38069019.53062	21510.89800	14322.61358	25	2020-02-10T20:06:40.892
36893967.01128	36887762.96590	21501.39861	14325.92730	26	2020-02-10T20:28:36.446
35790353.64148	35784157.59081	21491.88475	14329.14720	27	2020-02-10T20:50:39.675
34756327.17726	34750138.71248	21482.34962	14332.28360	28	2020-02-10T21:12:35.748
33784746.47867	33778565.21590	21472.78681	14335.34323	29	2020-02-10T21:34:27.852
32869282.57207	32863108.21174	21463.19032	14338.32339	30	2020-02-10T21:56:07.13
32004321.75800	31998154.01088	21453.55451	14341.22849	31	2020-02-10T22:17:28.912
31184881.13698	31178719.72522	21443.87412	14344.06421	32	2020-02-10T22:38:55.143
30406535.31039	30400379.94897	21434.14421	14346.83467	33	2020-02-10T23:00:55.108
29665352.63499	29659203.11658	21424.36015	14349.54308	34	2020-02-10T23:22:16.258
28957839.87424	28951696.20156	21414.51759	14352.18850	35	2020-02-10T23:43:33.533
28280894.64727	28274756.74366	21404.61249	14354.77708	36	2020-02-11T00:05:46.379
27631763.36700	27625631.16438	21394.64099	14357.30609	37	2020-02-11T00:27:28.666
27008004.98065	27001878.46523	21384.59952	14359.77790	38	2020-02-11T00:48:59.98
26407459.55270	26401338.57145	21374.48467	14362.19199	39	2020-02-11T01:10:47.124
25828220.19213	25822104.62790	21364.29322	14364.55307	40	2020-02-11T01:32:28.066
25268608.93728	25262498.65142	21354.02214	14366.85960	41	2020-02-11T01:54:00.568
24727155.08480	24721049.99448	21343.66850	14369.11495	42	2020-02-11T02:15:26.049
24202576.24639	24196476.20083	21333.22953	14371.32161	43	2020-02-11T02:36:39.89
23693760.97145	23687665.86288	21322.70257	14373.48785	44	2020-02-11T02:57:59.263
23199753.24853	23193663.08737	21312.08504	14375.60499	45	2020-02-11T03:20:02.889
22719738.53843	22713653.35634	21301.37446	14377.67465	46	2020-02-11T03:42:01.735
22253030.72750	22246950.46923	21290.56841	14379.70150	47	2020-02-11T04:03:17.712
21799059.63662	21792984.36236	21279.66455	14381.68614	48	2020-02-11T04:24:54.957
