loss	sse	Lp	epoch	time
4734901949.07079	4734894316.07087	14193.07296	0	2020-02-10T11:27:06.753
136182300.02254	136175065.70774	14197.53066	1	2020-02-10T11:42:51.157
126916216.41736	126909180.94148	14204.69321	2	2020-02-10T11:58:55.393
119872562.19997	119865657.97632	14212.28518	3	2020-02-10T12:14:56.478
112879375.34927	112872571.13873	14219.77490	4	2020-02-10T12:30:46.169
106001323.63919	105994594.77641	14226.96885	5	2020-02-10T12:47:03.714
99405597.34584	99398925.88625	14233.86573	6	2020-02-10T13:03:29.798
93204621.09982	93197993.88031	14240.45343	7	2020-02-10T13:19:23.028
87454910.33720	87448317.18164	14246.72170	8	2020-02-10T13:35:01.522
82173147.19571	82166583.85543	14252.68968	9	2020-02-10T13:50:12.951
77350648.12698	77344111.79793	14258.38911	10	2020-02-10T14:04:40.071
72963865.85062	72957354.28790	14263.83927	11	2020-02-10T14:19:00.847
68981470.81117	68974980.27272	14269.06617	12	2020-02-10T14:33:34.775
65368909.12565	65362436.33068	14274.09791	13	2020-02-10T14:48:01.705
62091224.51657	62084768.04613	14278.95975	14	2020-02-10T15:02:56.998
59114723.73054	59108280.82522	14283.65047	15	2020-02-10T15:17:40.691
56407876.28946	56401444.84831	14288.17964	16	2020-02-10T15:32:31.897
53941741.20684	53935320.16483	14292.55809	17	2020-02-10T15:47:07.114
51690097.06578	51683685.35710	14296.79926	18	2020-02-10T16:01:35.095
49629393.26001	49622989.83867	14300.92991	19	2020-02-10T16:16:13.331
47738603.53194	47732207.29211	14304.93183	20	2020-02-10T16:30:42.53
45999029.32336	45992639.37039	14308.81619	21	2020-02-10T16:45:27.266
44394084.21661	44387700.10950	14312.58388	22	2020-02-10T17:00:11.65
42909078.95178	42902699.38471	14316.24131	23	2020-02-10T17:15:08.319
