loss	sse	Lp	epoch	time
15526988330.08634	15526978622.76336	16846.52147	0	2020-02-10T16:44:04.732
190919497.34037	190910760.83707	16851.95656	1	2020-02-10T16:51:58.265
164619912.61188	164611736.29682	16860.72062	2	2020-02-10T16:59:39.044
140379414.62002	140371637.76609	16869.75358	3	2020-02-10T17:07:02.64
119978264.02695	119970803.18069	16878.38948	4	2020-02-10T17:14:41.22
103543836.59754	103536632.85411	16886.45927	5	2020-02-10T17:22:31.917
90481722.50221	90474730.92430	16893.90598	6	2020-02-10T17:30:21.036
80095415.73556	80088599.66356	16900.75066	7	2020-02-10T17:38:45.866
71781042.93679	71774375.70910	16907.04702	8	2020-02-10T17:46:48.429
65062335.45081	65055798.29180	16912.84200	9	2020-02-10T17:54:40.664
59576645.53306	59570218.52670	16918.18020	10	2020-02-10T18:02:28.766
55050887.06157	55044557.10870	16923.10507	11	2020-02-10T18:10:07.01
51279431.20887	51273187.42378	16927.64852	12	2020-02-10T18:18:28.437
48106600.73720	48100433.56296	16931.84950	13	2020-02-10T18:26:56.29
45413580.23068	45407480.98894	16935.74029	14	2020-02-10T18:34:54.714
43108840.32518	43102803.40084	16939.34227	15	2020-02-10T18:43:36.651
41121189.23045	41115209.17378	16942.68262	16	2020-02-10T18:51:27.667
39394715.12524	39388786.08475	16945.78361	17	2020-02-10T18:59:18.196
37885090.69704	37879207.46623	16948.67033	18	2020-02-10T19:07:43.617
36556855.19688	36551013.74277	16951.36085	19	2020-02-10T19:15:25.853
35381398.53509	35375595.07022	16953.87097	20	2020-02-10T19:23:17.051
34335452.30322	34329681.02393	16956.21743	21	2020-02-10T19:31:37.022
33399943.01596	33394199.81560	16958.41248	22	2020-02-10T19:39:29.276
32559126.32520	32553408.56958	16960.46735	23	2020-02-10T19:47:53.319
31799919.74214	31794225.10359	16962.39449	24	2020-02-10T19:55:55.922
31111383.51000	31105709.83167	16964.20433	25	2020-02-10T20:03:54.389
30484315.95414	30478660.93208	16965.90516	26	2020-02-10T20:12:33.269
29910934.35334	29905295.60333	16967.50940	27	2020-02-10T20:20:14.704
29384621.09322	29378997.12152	16969.02411	28	2020-02-10T20:28:14.477
28899723.43321	28894112.93111	16970.45554	29	2020-02-10T20:36:31.095
